,Energy & Utilities
2014-12-28,34
2015-01-04,32
2015-01-11,35
2015-01-18,35
2015-01-25,39
2015-02-01,42
2015-02-08,50
2015-02-15,53
2015-02-22,45
2015-03-01,51
2015-03-08,39
2015-03-15,40
2015-03-22,52
2015-03-29,64
2015-04-05,57
2015-04-12,43
2015-04-19,45
2015-04-26,73
2015-05-03,53
2015-05-10,52
2015-05-17,43
2015-05-24,44
2015-05-31,33
2015-06-07,33
2015-06-14,33
2015-06-21,36
2015-06-28,42
2015-07-05,41
2015-07-12,37
2015-07-19,38
2015-07-26,30
2015-08-02,62
2015-08-09,60
2015-08-16,63
2015-08-23,57
2015-08-30,59
2015-09-06,68
2015-09-13,48
2015-09-20,46
2015-09-27,60
2015-10-04,56
2015-10-11,58
2015-10-18,54
2015-10-25,56
2015-11-01,46
2015-11-08,50
2015-11-15,38
2015-11-22,36
2015-11-29,38
2015-12-06,51
2015-12-13,40
2015-12-20,33
2015-12-27,38
2016-01-03,40
2016-01-10,39
2016-01-17,43
2016-01-24,48
2016-01-31,54
2016-02-07,66
2016-02-14,54
2016-02-21,74
2016-02-28,57
2016-03-06,56
2016-03-13,52
2016-03-20,59
2016-03-27,61
2016-04-03,69
2016-04-10,62
2016-04-17,67
2016-04-24,49
2016-05-01,66
2016-05-08,64
2016-05-15,67
2016-05-22,68
2016-05-29,56
2016-06-05,40
2016-06-12,40
2016-06-19,42
2016-06-26,52
2016-07-03,42
2016-07-10,74
2016-07-17,67
2016-07-24,68
2016-07-31,66
2016-08-07,50
2016-08-14,71
2016-08-21,89
2016-08-28,55
2016-09-04,51
2016-09-11,56
2016-09-18,38
2016-09-25,23
2016-10-02,17
2016-10-09,24
2016-10-16,14
2016-10-23,30
2016-10-30,19
2016-11-06,16
2016-11-13,19
2016-11-20,26
2016-11-27,13
2016-12-04,19
2016-12-11,16
2016-12-18,32
2016-12-25,14
2017-01-01,20
2017-01-08,19
2017-01-15,22
2017-01-22,24
2017-01-29,30
2017-02-05,48
2017-02-12,72
2017-02-19,58
2017-02-26,71
2017-03-05,72
2017-03-12,49
2017-03-19,53
2017-03-26,45
2017-04-02,47
2017-04-09,69
2017-04-16,68
2017-04-23,62
2017-04-30,69
2017-05-07,53
2017-05-14,55
2017-05-21,52
2017-05-28,41
2017-06-04,42
2017-06-11,52
2017-06-18,47
2017-06-25,46
2017-07-02,67
2017-07-09,69
2017-07-16,89
2017-07-23,49
2017-07-30,85
2017-08-06,67
2017-08-13,66
2017-08-20,53
2017-08-27,47
2017-09-03,51
2017-09-10,63
2017-09-17,69
2017-09-24,70
2017-10-01,61
2017-10-08,58
2017-10-15,61
2017-10-22,49
2017-10-29,43
2017-11-05,58
2017-11-12,47
2017-11-19,54
2017-11-26,47
2017-12-03,50
2017-12-10,29
2017-12-17,48
2017-12-24,47
2017-12-31,44
2018-01-07,49
2018-01-14,63
2018-01-21,48
2018-01-28,55
2018-02-04,65
2018-02-11,60
2018-02-18,63
2018-02-25,72
2018-03-04,67
2018-03-11,63
2018-03-18,63
2018-03-25,66
2018-04-01,100
2018-04-08,79
2018-04-15,74
2018-04-22,69
2018-04-29,68
2018-05-06,61
2018-05-13,38
2018-05-20,49
2018-05-27,51
2018-06-03,56
2018-06-10,36
2018-06-17,46
2018-06-24,72
2018-07-01,67
2018-07-08,60
2018-07-15,75
2018-07-22,60
2018-07-29,63
2018-08-05,70
2018-08-12,63
2018-08-19,41
2018-08-26,61
2018-09-02,76
2018-09-09,67
2018-09-16,61
2018-09-23,64
2018-09-30,69
2018-10-07,71
2018-10-14,63
2018-10-21,75
2018-10-28,62
2018-11-04,57
2018-11-11,56
2018-11-18,52
2018-11-25,46
2018-12-02,39
2018-12-09,49
2018-12-16,52
2018-12-23,66
2018-12-30,59
2019-01-06,77
2019-01-13,62
2019-01-20,63
2019-01-27,58
2019-02-03,65
2019-02-10,75
2019-02-17,74
2019-02-24,74
2019-03-03,69
2019-03-10,54
2019-03-17,88
2019-03-24,79
2019-03-31,58
2019-04-07,64
2019-04-14,53
2019-04-21,63
2019-04-28,56
2019-05-05,46
2019-05-12,46
2019-05-19,54
2019-05-26,60
2019-06-02,49
2019-06-09,78
2019-06-16,75
2019-06-23,68
2019-06-30,88
2019-07-07,65
2019-07-14,71
2019-07-21,67
2019-07-28,60
2019-08-04,68
2019-08-11,56
2019-08-18,85
2019-08-25,61
2019-09-01,61
2019-09-08,70
2019-09-15,62
2019-09-22,56
2019-09-29,75
2019-10-06,70
2019-10-13,75
2019-10-20,66
2019-10-27,50
2019-11-03,60
2019-11-10,50
2019-11-17,57
2019-11-24,46
2019-12-01,48
2019-12-08,59
2019-12-15,62
2019-12-22,67
2019-12-29,53
2020-01-05,56
