,Transportation & Logistics
2023-01-01,69
2023-01-08,76
2023-01-15,71
2023-01-22,75
2023-01-29,76
2023-02-05,80
2023-02-12,68
2023-02-19,72
2023-02-26,78
2023-03-05,77
2023-03-12,73
2023-03-19,74
2023-03-26,73
2023-04-02,76
2023-04-09,84
2023-04-16,80
2023-04-23,70
2023-04-30,80
2023-05-07,79
2023-05-14,74
2023-05-21,77
2023-05-28,80
2023-06-04,79
2023-06-11,76
2023-06-18,67
2023-06-25,55
2023-07-02,77
2023-07-09,72
2023-07-16,67
2023-07-23,64
2023-07-30,61
2023-08-06,68
2023-08-13,90
2023-08-20,79
2023-08-27,77
2023-09-03,74
2023-09-10,71
2023-09-17,81
2023-09-24,65
2023-10-01,73
2023-10-08,79
2023-10-15,75
2023-10-22,72
2023-10-29,85
2023-11-05,77
2023-11-12,79
2023-11-19,81
2023-11-26,88
2023-12-03,86
2023-12-10,87
2023-12-17,87
2023-12-24,94
2023-12-31,89
2024-01-07,95
2024-01-14,95
2024-01-21,82
2024-01-28,80
2024-02-04,91
2024-02-11,94
2024-02-18,79
2024-02-25,88
2024-03-03,93
2024-03-10,81
2024-03-17,88
2024-03-24,88
2024-03-31,76
2024-04-07,68
2024-04-14,90
2024-04-21,82
2024-04-28,79
2024-05-05,75
2024-05-12,81
2024-05-19,76
2024-05-26,90
2024-06-02,83
2024-06-09,80
2024-06-16,68
2024-06-23,75
2024-06-30,78
2024-07-07,85
2024-07-14,90
2024-07-21,81
2024-07-28,89
2024-08-04,95
2024-08-11,90
2024-08-18,95
2024-08-25,78
2024-09-01,75
2024-09-08,77
2024-09-15,86
2024-09-22,77
2024-09-29,74
2024-10-06,89
2024-10-13,80
2024-10-20,81
2024-10-27,90
2024-11-03,79
2024-11-10,86
2024-11-17,89
2024-11-24,96
2024-12-01,95
2024-12-08,99
2024-12-15,93
2024-12-22,100
2024-12-29,96
2025-01-05,96
2025-01-12,98
2025-01-19,88
2025-01-26,88
2025-02-02,94
2025-02-09,90
2025-02-16,90
2025-02-23,86
2025-03-02,88
2025-03-09,94
2025-03-16,81
2025-03-23,73
2025-03-30,85
2025-04-06,99
2025-04-13,99
2025-04-20,87
2025-04-27,83
2025-05-04,91
2025-05-11,86
2025-05-18,99
2025-05-25,88
2025-06-01,81
2025-06-08,81
2025-06-15,84
2025-06-22,93
2025-06-29,90
2025-07-06,82
2025-07-13,89
2025-07-20,77
2025-07-27,81
2025-08-03,77
2025-08-10,93
2025-08-17,85
2025-08-24,83
2025-08-31,89
2025-09-07,73
2025-09-14,86
2025-09-21,71
2025-09-28,82
2025-10-05,84
2025-10-12,88
2025-10-19,91
2025-10-26,84
2025-11-02,92
2025-11-09,88
2025-11-16,96
2025-11-23,92
2025-11-30,93
2025-12-07,93
2025-12-14,99
2025-12-21,99
2025-12-28,91
2026-01-04,95
