,Jobs
2023-01-01,82
2023-01-08,83
2023-01-15,84
2023-01-22,83
2023-01-29,84
2023-02-05,83
2023-02-12,86
2023-02-19,93
2023-02-26,89
2023-03-05,84
2023-03-12,85
2023-03-19,80
2023-03-26,79
2023-04-02,70
2023-04-09,46
2023-04-16,77
2023-04-23,82
2023-04-30,69
2023-05-07,87
2023-05-14,86
2023-05-21,86
2023-05-28,78
2023-06-04,85
2023-06-11,88
2023-06-18,88
2023-06-25,86
2023-07-02,86
2023-07-09,100
2023-07-16,93
2023-07-23,89
2023-07-30,81
2023-08-06,89
2023-08-13,86
2023-08-20,86
2023-08-27,82
2023-09-03,90
2023-09-10,84
2023-09-17,88
2023-09-24,78
2023-10-01,86
2023-10-08,80
2023-10-15,79
2023-10-22,78
2023-10-29,75
2023-11-05,76
2023-11-12,76
2023-11-19,77
2023-11-26,80
2023-12-03,82
2023-12-10,80
2023-12-17,74
2023-12-24,68
2023-12-31,93
2024-01-07,90
2024-01-14,86
2024-01-21,82
2024-01-28,92
2024-02-04,93
2024-02-11,87
2024-02-18,78
2024-02-25,84
2024-03-03,77
2024-03-10,80
2024-03-17,79
2024-03-24,75
2024-03-31,73
2024-04-07,50
2024-04-14,63
2024-04-21,75
2024-04-28,73
2024-05-05,80
2024-05-12,83
2024-05-19,67
2024-05-26,82
2024-06-02,86
2024-06-09,87
2024-06-16,71
2024-06-23,82
2024-06-30,85
2024-07-07,82
2024-07-14,77
2024-07-21,82
2024-07-28,79
2024-08-04,78
2024-08-11,82
2024-08-18,73
2024-08-25,75
2024-09-01,70
2024-09-08,72
2024-09-15,56
2024-09-22,67
2024-09-29,73
2024-10-06,77
2024-10-13,70
2024-10-20,74
2024-10-27,76
2024-11-03,74
2024-11-10,61
2024-11-17,72
2024-11-24,68
2024-12-01,74
2024-12-08,76
2024-12-15,73
2024-12-22,70
2024-12-29,85
2025-01-05,87
2025-01-12,78
2025-01-19,87
2025-01-26,83
2025-02-02,76
2025-02-09,72
2025-02-16,81
2025-02-23,77
2025-03-02,78
2025-03-09,72
2025-03-16,74
2025-03-23,69
2025-03-30,63
2025-04-06,54
2025-04-13,46
2025-04-20,68
2025-04-27,76
2025-05-04,75
2025-05-11,75
2025-05-18,85
2025-05-25,75
2025-06-01,78
2025-06-08,67
2025-06-15,77
2025-06-22,76
2025-06-29,74
2025-07-06,66
2025-07-13,76
2025-07-20,73
2025-07-27,68
2025-08-03,65
2025-08-10,66
2025-08-17,70
2025-08-24,65
2025-08-31,61
2025-09-07,58
2025-09-14,64
2025-09-21,63
2025-09-28,58
2025-10-05,60
2025-10-12,61
2025-10-19,57
2025-10-26,60
2025-11-02,58
2025-11-09,59
2025-11-16,65
2025-11-23,54
2025-11-30,53
2025-12-07,62
2025-12-14,68
2025-12-21,59
2025-12-28,65
