,Jobs
2023-01-01,82
2023-01-08,83
2023-01-15,83
2023-01-22,83
2023-01-29,84
2023-02-05,83
2023-02-12,86
2023-02-19,93
2023-02-26,89
2023-03-05,84
2023-03-12,85
2023-03-19,80
2023-03-26,79
2023-04-02,70
2023-04-09,46
2023-04-16,77
2023-04-23,82
2023-04-30,69
2023-05-07,87
2023-05-14,86
2023-05-21,86
2023-05-28,78
2023-06-04,85
2023-06-11,88
2023-06-18,88
2023-06-25,86
2023-07-02,86
2023-07-09,100
2023-07-16,93
2023-07-23,89
2023-07-30,81
2023-08-06,89
2023-08-13,86
2023-08-20,86
2023-08-27,82
2023-09-03,90
2023-09-10,84
2023-09-17,88
2023-09-24,78
2023-10-01,86
2023-10-08,80
2023-10-15,79
2023-10-22,78
2023-10-29,75
2023-11-05,76
2023-11-12,76
2023-11-19,77
2023-11-26,80
2023-12-03,82
2023-12-10,80
2023-12-17,74
2023-12-24,68
2023-12-31,93
2024-01-07,90
2024-01-14,84
2024-01-21,80
2024-01-28,92
2024-02-04,90
2024-02-11,83
2024-02-18,79
2024-02-25,83
2024-03-03,73
2024-03-10,79
2024-03-17,78
2024-03-24,74
2024-03-31,68
2024-04-07,51
2024-04-14,61
2024-04-21,72
2024-04-28,77
2024-05-05,79
2024-05-12,80
2024-05-19,60
2024-05-26,84
2024-06-02,84
2024-06-09,89
2024-06-16,77
2024-06-23,82
2024-06-30,89
2024-07-07,82
2024-07-14,79
2024-07-21,85
2024-07-28,79
2024-08-04,81
2024-08-11,83
2024-08-18,66
2024-08-25,73
2024-09-01,68
2024-09-08,77
2024-09-15,55
2024-09-22,76
2024-09-29,72
2024-10-06,75
2024-10-13,71
2024-10-20,74
2024-10-27,75
2024-11-03,73
2024-11-10,62
2024-11-17,68
2024-11-24,69
2024-12-01,72
2024-12-08,78
2024-12-15,76
2024-12-22,70
2024-12-29,86
2025-01-05,87
2025-01-12,79
2025-01-19,85
2025-01-26,81
2025-02-02,82
2025-02-09,72
2025-02-16,81
2025-02-23,75
2025-03-02,74
2025-03-09,73
2025-03-16,76
2025-03-23,71
2025-03-30,63
2025-04-06,55
2025-04-13,39
2025-04-20,70
2025-04-27,77
2025-05-04,72
2025-05-11,74
2025-05-18,87
2025-05-25,76
2025-06-01,78
2025-06-08,65
2025-06-15,75
2025-06-22,75
2025-06-29,74
2025-07-06,67
2025-07-13,76
2025-07-20,72
2025-07-27,69
2025-08-03,64
2025-08-10,69
2025-08-17,71
2025-08-24,65
2025-08-31,60
2025-09-07,61
2025-09-14,65
2025-09-21,61
2025-09-28,59
2025-10-05,61
2025-10-12,61
2025-10-19,58
2025-10-26,61
2025-11-02,58
2025-11-09,56
2025-11-16,69
2025-11-23,54
2025-11-30,45
2025-12-07,62
2025-12-14,65
2025-12-21,59
2025-12-28,67
2026-01-04,85
