,Mail & Package Delivery
2014-12-28,77
2015-01-04,58
2015-01-11,64
2015-01-18,70
2015-01-25,70
2015-02-01,66
2015-02-08,69
2015-02-15,67
2015-02-22,66
2015-03-01,62
2015-03-08,63
2015-03-15,72
2015-03-22,68
2015-03-29,58
2015-04-05,75
2015-04-12,42
2015-04-19,67
2015-04-26,69
2015-05-03,71
2015-05-10,75
2015-05-17,70
2015-05-24,74
2015-05-31,73
2015-06-07,82
2015-06-14,73
2015-06-21,72
2015-06-28,72
2015-07-05,82
2015-07-12,83
2015-07-19,79
2015-07-26,75
2015-08-02,74
2015-08-09,75
2015-08-16,61
2015-08-23,64
2015-08-30,70
2015-09-06,73
2015-09-13,73
2015-09-20,66
2015-09-27,69
2015-10-04,80
2015-10-11,79
2015-10-18,71
2015-10-25,79
2015-11-01,81
2015-11-08,68
2015-11-15,79
2015-11-22,75
2015-11-29,78
2015-12-06,75
2015-12-13,84
2015-12-20,65
2015-12-27,72
2016-01-03,71
2016-01-10,58
2016-01-17,63
2016-01-24,74
2016-01-31,62
2016-02-07,73
2016-02-14,57
2016-02-21,64
2016-02-28,66
2016-03-06,71
2016-03-13,72
2016-03-20,63
2016-03-27,67
2016-04-03,69
2016-04-10,31
2016-04-17,61
2016-04-24,64
2016-05-01,65
2016-05-08,71
2016-05-15,63
2016-05-22,65
2016-05-29,82
2016-06-05,74
2016-06-12,81
2016-06-19,75
2016-06-26,71
2016-07-03,69
2016-07-10,67
2016-07-17,64
2016-07-24,70
2016-07-31,76
2016-08-07,70
2016-08-14,70
2016-08-21,75
2016-08-28,71
2016-09-04,72
2016-09-11,63
2016-09-18,78
2016-09-25,72
2016-10-02,70
2016-10-09,74
2016-10-16,84
2016-10-23,70
2016-10-30,79
2016-11-06,77
2016-11-13,71
2016-11-20,77
2016-11-27,73
2016-12-04,75
2016-12-11,70
2016-12-18,94
2016-12-25,69
2017-01-01,76
2017-01-08,70
2017-01-15,81
2017-01-22,72
2017-01-29,70
2017-02-05,65
2017-02-12,71
2017-02-19,72
2017-02-26,74
2017-03-05,77
2017-03-12,79
2017-03-19,82
2017-03-26,83
2017-04-02,79
2017-04-09,49
2017-04-16,67
2017-04-23,70
2017-04-30,82
2017-05-07,72
2017-05-14,74
2017-05-21,76
2017-05-28,69
2017-06-04,69
2017-06-11,83
2017-06-18,78
2017-06-25,74
2017-07-02,75
2017-07-09,82
2017-07-16,83
2017-07-23,77
2017-07-30,77
2017-08-06,68
2017-08-13,73
2017-08-20,77
2017-08-27,74
2017-09-03,75
2017-09-10,83
2017-09-17,86
2017-09-24,84
2017-10-01,73
2017-10-08,81
2017-10-15,79
2017-10-22,76
2017-10-29,74
2017-11-05,84
2017-11-12,89
2017-11-19,83
2017-11-26,76
2017-12-03,84
2017-12-10,82
2017-12-17,93
2017-12-24,77
2017-12-31,72
2018-01-07,81
2018-01-14,81
2018-01-21,75
2018-01-28,75
2018-02-04,81
2018-02-11,78
2018-02-18,74
2018-02-25,71
2018-03-04,75
2018-03-11,76
2018-03-18,81
2018-03-25,85
2018-04-01,83
2018-04-08,66
2018-04-15,67
2018-04-22,82
2018-04-29,65
2018-05-06,75
2018-05-13,91
2018-05-20,86
2018-05-27,79
2018-06-03,83
2018-06-10,85
2018-06-17,87
2018-06-24,74
2018-07-01,85
2018-07-08,85
2018-07-15,89
2018-07-22,75
2018-07-29,78
2018-08-05,82
2018-08-12,80
2018-08-19,76
2018-08-26,78
2018-09-02,83
2018-09-09,78
2018-09-16,76
2018-09-23,76
2018-09-30,71
2018-10-07,81
2018-10-14,84
2018-10-21,74
2018-10-28,78
2018-11-04,72
2018-11-11,79
2018-11-18,69
2018-11-25,75
2018-12-02,90
2018-12-09,82
2018-12-16,82
2018-12-23,75
2018-12-30,73
2019-01-06,83
2019-01-13,70
2019-01-20,84
2019-01-27,83
2019-02-03,68
2019-02-10,84
2019-02-17,77
2019-02-24,82
2019-03-03,82
2019-03-10,82
2019-03-17,74
2019-03-24,86
2019-03-31,75
2019-04-07,76
2019-04-14,50
2019-04-21,54
2019-04-28,70
2019-05-05,80
2019-05-12,66
2019-05-19,75
2019-05-26,86
2019-06-02,73
2019-06-09,83
2019-06-16,83
2019-06-23,84
2019-06-30,83
2019-07-07,85
2019-07-14,79
2019-07-21,89
2019-07-28,86
2019-08-04,85
2019-08-11,85
2019-08-18,84
2019-08-25,86
2019-09-01,75
2019-09-08,72
2019-09-15,88
2019-09-22,91
2019-09-29,92
2019-10-06,84
2019-10-13,90
2019-10-20,87
2019-10-27,87
2019-11-03,94
2019-11-10,77
2019-11-17,91
2019-11-24,90
2019-12-01,100
2019-12-08,79
2019-12-15,99
2019-12-22,84
2019-12-29,81
2020-01-05,84
