,Development Tools
2014-12-28,56
2015-01-04,59
2015-01-11,52
2015-01-18,56
2015-01-25,52
2015-02-01,58
2015-02-08,54
2015-02-15,59
2015-02-22,59
2015-03-01,51
2015-03-08,56
2015-03-15,58
2015-03-22,59
2015-03-29,59
2015-04-05,61
2015-04-12,57
2015-04-19,55
2015-04-26,53
2015-05-03,54
2015-05-10,55
2015-05-17,56
2015-05-24,55
2015-05-31,57
2015-06-07,56
2015-06-14,58
2015-06-21,64
2015-06-28,64
2015-07-05,71
2015-07-12,69
2015-07-19,73
2015-07-26,70
2015-08-02,72
2015-08-09,63
2015-08-16,71
2015-08-23,66
2015-08-30,67
2015-09-06,67
2015-09-13,60
2015-09-20,67
2015-09-27,61
2015-10-04,64
2015-10-11,63
2015-10-18,52
2015-10-25,64
2015-11-01,64
2015-11-08,39
2015-11-15,58
2015-11-22,60
2015-11-29,57
2015-12-06,60
2015-12-13,66
2015-12-20,60
2015-12-27,52
2016-01-03,61
2016-01-10,61
2016-01-17,64
2016-01-24,55
2016-01-31,68
2016-02-07,70
2016-02-14,66
2016-02-21,68
2016-02-28,65
2016-03-06,66
2016-03-13,69
2016-03-20,55
2016-03-27,68
2016-04-03,64
2016-04-10,62
2016-04-17,62
2016-04-24,64
2016-05-01,67
2016-05-08,68
2016-05-15,63
2016-05-22,67
2016-05-29,66
2016-06-05,72
2016-06-12,66
2016-06-19,71
2016-06-26,69
2016-07-03,68
2016-07-10,73
2016-07-17,76
2016-07-24,77
2016-07-31,78
2016-08-07,72
2016-08-14,60
2016-08-21,74
2016-08-28,73
2016-09-04,63
2016-09-11,70
2016-09-18,77
2016-09-25,74
2016-10-02,69
2016-10-09,58
2016-10-16,73
2016-10-23,62
2016-10-30,57
2016-11-06,67
2016-11-13,71
2016-11-20,68
2016-11-27,72
2016-12-04,68
2016-12-11,67
2016-12-18,71
2016-12-25,66
2017-01-01,74
2017-01-08,70
2017-01-15,72
2017-01-22,64
2017-01-29,77
2017-02-05,70
2017-02-12,77
2017-02-19,75
2017-02-26,74
2017-03-05,78
2017-03-12,71
2017-03-19,83
2017-03-26,75
2017-04-02,78
2017-04-09,75
2017-04-16,77
2017-04-23,75
2017-04-30,68
2017-05-07,76
2017-05-14,73
2017-05-21,78
2017-05-28,72
2017-06-04,72
2017-06-11,73
2017-06-18,76
2017-06-25,69
2017-07-02,80
2017-07-09,78
2017-07-16,79
2017-07-23,77
2017-07-30,79
2017-08-06,76
2017-08-13,67
2017-08-20,67
2017-08-27,76
2017-09-03,74
2017-09-10,84
2017-09-17,79
2017-09-24,66
2017-10-01,69
2017-10-08,78
2017-10-15,52
2017-10-22,75
2017-10-29,75
2017-11-05,77
2017-11-12,77
2017-11-19,75
2017-11-26,72
2017-12-03,75
2017-12-10,75
2017-12-17,74
2017-12-24,62
2017-12-31,67
2018-01-07,77
2018-01-14,72
2018-01-21,67
2018-01-28,80
2018-02-04,77
2018-02-11,79
2018-02-18,77
2018-02-25,72
2018-03-04,79
2018-03-11,82
2018-03-18,81
2018-03-25,80
2018-04-01,81
2018-04-08,82
2018-04-15,82
2018-04-22,79
2018-04-29,68
2018-05-06,77
2018-05-13,74
2018-05-20,80
2018-05-27,82
2018-06-03,87
2018-06-10,77
2018-06-17,82
2018-06-24,84
2018-07-01,83
2018-07-08,84
2018-07-15,87
2018-07-22,89
2018-07-29,90
2018-08-05,84
2018-08-12,75
2018-08-19,84
2018-08-26,88
2018-09-02,86
2018-09-09,79
2018-09-16,87
2018-09-23,85
2018-09-30,78
2018-10-07,91
2018-10-14,70
2018-10-21,85
2018-10-28,87
2018-11-04,51
2018-11-11,84
2018-11-18,82
2018-11-25,86
2018-12-02,86
2018-12-09,86
2018-12-16,78
2018-12-23,69
2018-12-30,75
2019-01-06,84
2019-01-13,70
2019-01-20,80
2019-01-27,85
2019-02-03,83
2019-02-10,88
2019-02-17,89
2019-02-24,86
2019-03-03,84
2019-03-10,85
2019-03-17,78
2019-03-24,84
2019-03-31,87
2019-04-07,82
2019-04-14,73
2019-04-21,80
2019-04-28,76
2019-05-05,87
2019-05-12,83
2019-05-19,82
2019-05-26,80
2019-06-02,78
2019-06-09,84
2019-06-16,86
2019-06-23,88
2019-06-30,87
2019-07-07,88
2019-07-14,95
2019-07-21,93
2019-07-28,91
2019-08-04,88
2019-08-11,70
2019-08-18,100
2019-08-25,94
2019-09-01,81
2019-09-08,92
2019-09-15,90
2019-09-22,98
2019-09-29,78
2019-10-06,74
2019-10-13,90
2019-10-20,77
2019-10-27,61
2019-11-03,86
2019-11-10,84
2019-11-17,91
2019-11-24,88
2019-12-01,86
2019-12-08,88
2019-12-15,88
2019-12-22,70
2019-12-29,73
2020-01-05,88
