,Health
2023-01-01,84
2023-01-08,84
2023-01-15,94
2023-01-22,91
2023-01-29,87
2023-02-05,87
2023-02-12,92
2023-02-19,95
2023-02-26,89
2023-03-05,88
2023-03-12,91
2023-03-19,89
2023-03-26,84
2023-04-02,78
2023-04-09,70
2023-04-16,83
2023-04-23,86
2023-04-30,82
2023-05-07,89
2023-05-14,91
2023-05-21,91
2023-05-28,86
2023-06-04,92
2023-06-11,96
2023-06-18,92
2023-06-25,90
2023-07-02,97
2023-07-09,95
2023-07-16,93
2023-07-23,93
2023-07-30,86
2023-08-06,91
2023-08-13,91
2023-08-20,89
2023-08-27,87
2023-09-03,88
2023-09-10,85
2023-09-17,92
2023-09-24,87
2023-10-01,86
2023-10-08,85
2023-10-15,87
2023-10-22,88
2023-10-29,83
2023-11-05,86
2023-11-12,87
2023-11-19,89
2023-11-26,85
2023-12-03,90
2023-12-10,92
2023-12-17,87
2023-12-24,88
2023-12-31,94
2024-01-07,90
2024-01-14,92
2024-01-21,83
2024-01-28,95
2024-02-04,93
2024-02-11,87
2024-02-18,85
2024-02-25,90
2024-03-03,89
2024-03-10,89
2024-03-17,89
2024-03-24,92
2024-03-31,91
2024-04-07,71
2024-04-14,75
2024-04-21,85
2024-04-28,87
2024-05-05,84
2024-05-12,92
2024-05-19,76
2024-05-26,92
2024-06-02,91
2024-06-09,94
2024-06-16,88
2024-06-23,88
2024-06-30,96
2024-07-07,96
2024-07-14,99
2024-07-21,91
2024-07-28,89
2024-08-04,93
2024-08-11,100
2024-08-18,92
2024-08-25,89
2024-09-01,93
2024-09-08,88
2024-09-15,82
2024-09-22,93
2024-09-29,88
2024-10-06,88
2024-10-13,85
2024-10-20,91
2024-10-27,92
2024-11-03,87
2024-11-10,89
2024-11-17,88
2024-11-24,85
2024-12-01,88
2024-12-08,86
2024-12-15,87
2024-12-22,86
2024-12-29,92
2025-01-05,91
2025-01-12,85
2025-01-19,91
2025-01-26,90
2025-02-02,94
2025-02-09,85
2025-02-16,88
2025-02-23,86
2025-03-02,91
2025-03-09,84
2025-03-16,90
2025-03-23,85
2025-03-30,83
2025-04-06,76
2025-04-13,67
2025-04-20,86
2025-04-27,87
2025-05-04,89
2025-05-11,77
2025-05-18,84
2025-05-25,86
2025-06-01,87
2025-06-08,85
2025-06-15,89
2025-06-22,91
2025-06-29,84
2025-07-06,82
2025-07-13,87
2025-07-20,86
2025-07-27,83
2025-08-03,86
2025-08-10,86
2025-08-17,84
2025-08-24,83
2025-08-31,77
2025-09-07,81
2025-09-14,80
2025-09-21,80
2025-09-28,78
2025-10-05,77
2025-10-12,80
2025-10-19,74
2025-10-26,77
2025-11-02,74
2025-11-09,80
2025-11-16,80
2025-11-23,71
2025-11-30,68
2025-12-07,78
2025-12-14,79
2025-12-21,80
2025-12-28,83
