,Vehicle Brands
2023-01-01,59
2023-01-08,58
2023-01-15,58
2023-01-22,59
2023-01-29,61
2023-02-05,61
2023-02-12,62
2023-02-19,62
2023-02-26,61
2023-03-05,60
2023-03-12,62
2023-03-19,62
2023-03-26,60
2023-04-02,61
2023-04-09,56
2023-04-16,58
2023-04-23,65
2023-04-30,66
2023-05-07,62
2023-05-14,68
2023-05-21,66
2023-05-28,68
2023-06-04,68
2023-06-11,67
2023-06-18,68
2023-06-25,70
2023-07-02,68
2023-07-09,70
2023-07-16,69
2023-07-23,70
2023-07-30,70
2023-08-06,68
2023-08-13,68
2023-08-20,66
2023-08-27,68
2023-09-03,69
2023-09-10,64
2023-09-17,68
2023-09-24,66
2023-10-01,66
2023-10-08,62
2023-10-15,62
2023-10-22,61
2023-10-29,59
2023-11-05,61
2023-11-12,65
2023-11-19,78
2023-11-26,84
2023-12-03,69
2023-12-10,70
2023-12-17,69
2023-12-24,72
2023-12-31,70
2024-01-07,69
2024-01-14,67
2024-01-21,69
2024-01-28,71
2024-02-04,70
2024-02-11,69
2024-02-18,69
2024-02-25,69
2024-03-03,66
2024-03-10,66
2024-03-17,67
2024-03-24,70
2024-03-31,69
2024-04-07,65
2024-04-14,62
2024-04-21,74
2024-04-28,66
2024-05-05,69
2024-05-12,70
2024-05-19,64
2024-05-26,66
2024-06-02,66
2024-06-09,71
2024-06-16,67
2024-06-23,69
2024-06-30,71
2024-07-07,68
2024-07-14,71
2024-07-21,63
2024-07-28,66
2024-08-04,64
2024-08-11,73
2024-08-18,70
2024-08-25,67
2024-09-01,66
2024-09-08,68
2024-09-15,63
2024-09-22,60
2024-09-29,68
2024-10-06,67
2024-10-13,62
2024-10-20,64
2024-10-27,66
2024-11-03,66
2024-11-10,60
2024-11-17,62
2024-11-24,68
2024-12-01,71
2024-12-08,66
2024-12-15,68
2024-12-22,70
2024-12-29,68
2025-01-05,63
2025-01-12,68
2025-01-19,66
2025-01-26,68
2025-02-02,74
2025-02-09,71
2025-02-16,68
2025-02-23,71
2025-03-02,70
2025-03-09,69
2025-03-16,71
2025-03-23,69
2025-03-30,98
2025-04-06,86
2025-04-13,70
2025-04-20,85
2025-04-27,90
2025-05-04,76
2025-05-11,81
2025-05-18,84
2025-05-25,89
2025-06-01,85
2025-06-08,87
2025-06-15,88
2025-06-22,87
2025-06-29,86
2025-07-06,100
2025-07-13,95
2025-07-20,94
2025-07-27,92
2025-08-03,89
2025-08-10,87
2025-08-17,84
2025-08-24,84
2025-08-31,78
2025-09-07,76
2025-09-14,75
2025-09-21,71
2025-09-28,70
2025-10-05,77
2025-10-12,71
2025-10-19,75
2025-10-26,72
2025-11-02,75
2025-11-09,76
2025-11-16,80
2025-11-23,72
2025-11-30,65
