,Agricultural Equipment
2014-12-28,23
2015-01-04,21
2015-01-11,21
2015-01-18,21
2015-01-25,20
2015-02-01,23
2015-02-08,21
2015-02-15,22
2015-02-22,22
2015-03-01,21
2015-03-08,21
2015-03-15,22
2015-03-22,23
2015-03-29,24
2015-04-05,22
2015-04-12,22
2015-04-19,20
2015-04-26,21
2015-05-03,22
2015-05-10,23
2015-05-17,23
2015-05-24,24
2015-05-31,24
2015-06-07,25
2015-06-14,26
2015-06-21,28
2015-06-28,30
2015-07-05,30
2015-07-12,30
2015-07-19,31
2015-07-26,30
2015-08-02,32
2015-08-09,34
2015-08-16,29
2015-08-23,28
2015-08-30,36
2015-09-06,44
2015-09-13,37
2015-09-20,33
2015-09-27,35
2015-10-04,32
2015-10-11,31
2015-10-18,29
2015-10-25,30
2015-11-01,28
2015-11-08,25
2015-11-15,26
2015-11-22,27
2015-11-29,26
2015-12-06,26
2015-12-13,27
2015-12-20,28
2015-12-27,28
2016-01-03,27
2016-01-10,28
2016-01-17,25
2016-01-24,28
2016-01-31,28
2016-02-07,27
2016-02-14,26
2016-02-21,26
2016-02-28,27
2016-03-06,29
2016-03-13,29
2016-03-20,29
2016-03-27,33
2016-04-03,30
2016-04-10,29
2016-04-17,28
2016-04-24,27
2016-05-01,30
2016-05-08,31
2016-05-15,29
2016-05-22,30
2016-05-29,34
2016-06-05,36
2016-06-12,38
2016-06-19,37
2016-06-26,36
2016-07-03,36
2016-07-10,33
2016-07-17,34
2016-07-24,34
2016-07-31,33
2016-08-07,32
2016-08-14,32
2016-08-21,34
2016-08-28,35
2016-09-04,36
2016-09-11,37
2016-09-18,36
2016-09-25,38
2016-10-02,40
2016-10-09,37
2016-10-16,45
2016-10-23,42
2016-10-30,45
2016-11-06,36
2016-11-13,37
2016-11-20,38
2016-11-27,38
2016-12-04,39
2016-12-11,39
2016-12-18,42
2016-12-25,48
2017-01-01,40
2017-01-08,38
2017-01-15,38
2017-01-22,41
2017-01-29,37
2017-02-05,38
2017-02-12,38
2017-02-19,36
2017-02-26,39
2017-03-05,39
2017-03-12,40
2017-03-19,43
2017-03-26,43
2017-04-02,40
2017-04-09,46
2017-04-16,42
2017-04-23,43
2017-04-30,41
2017-05-07,41
2017-05-14,52
2017-05-21,50
2017-05-28,53
2017-06-04,52
2017-06-11,58
2017-06-18,58
2017-06-25,59
2017-07-02,58
2017-07-09,56
2017-07-16,56
2017-07-23,55
2017-07-30,51
2017-08-06,52
2017-08-13,52
2017-08-20,50
2017-08-27,44
2017-09-03,52
2017-09-10,54
2017-09-17,57
2017-09-24,54
2017-10-01,53
2017-10-08,60
2017-10-15,50
2017-10-22,54
2017-10-29,56
2017-11-05,55
2017-11-12,59
2017-11-19,51
2017-11-26,53
2017-12-03,54
2017-12-10,52
2017-12-17,57
2017-12-24,60
2017-12-31,55
2018-01-07,53
2018-01-14,54
2018-01-21,52
2018-01-28,55
2018-02-04,52
2018-02-11,51
2018-02-18,53
2018-02-25,49
2018-03-04,54
2018-03-11,58
2018-03-18,62
2018-03-25,58
2018-04-01,57
2018-04-08,56
2018-04-15,56
2018-04-22,56
2018-04-29,59
2018-05-06,62
2018-05-13,63
2018-05-20,64
2018-05-27,69
2018-06-03,72
2018-06-10,78
2018-06-17,73
2018-06-24,76
2018-07-01,73
2018-07-08,73
2018-07-15,72
2018-07-22,77
2018-07-29,80
2018-08-05,81
2018-08-12,77
2018-08-19,76
2018-08-26,82
2018-09-02,85
2018-09-09,79
2018-09-16,80
2018-09-23,85
2018-09-30,88
2018-10-07,92
2018-10-14,88
2018-10-21,93
2018-10-28,100
2018-11-04,82
2018-11-11,84
2018-11-18,84
2018-11-25,75
2018-12-02,74
2018-12-09,79
2018-12-16,82
2018-12-23,86
2018-12-30,80
2019-01-06,79
2019-01-13,70
2019-01-20,74
2019-01-27,72
2019-02-03,71
2019-02-10,68
2019-02-17,66
2019-02-24,63
2019-03-03,67
2019-03-10,67
2019-03-17,72
2019-03-24,78
2019-03-31,73
2019-04-07,72
2019-04-14,72
2019-04-21,73
2019-04-28,71
2019-05-05,73
2019-05-12,74
2019-05-19,75
2019-05-26,81
2019-06-02,86
2019-06-09,90
2019-06-16,82
2019-06-23,87
2019-06-30,80
2019-07-07,80
2019-07-14,80
2019-07-21,80
2019-07-28,78
2019-08-04,67
2019-08-11,71
2019-08-18,74
2019-08-25,70
2019-09-01,71
2019-09-08,75
2019-09-15,75
2019-09-22,78
2019-09-29,75
2019-10-06,75
2019-10-13,80
2019-10-20,75
2019-10-27,76
2019-11-03,78
2019-11-10,80
2019-11-17,77
2019-11-24,76
2019-12-01,70
2019-12-08,68
2019-12-15,69
2019-12-22,77
2019-12-29,74
2020-01-05,67
