,Health
2014-12-28,53
2015-01-04,47
2015-01-11,48
2015-01-18,51
2015-01-25,62
2015-02-01,63
2015-02-08,65
2015-02-15,66
2015-02-22,59
2015-03-01,61
2015-03-08,59
2015-03-15,58
2015-03-22,56
2015-03-29,68
2015-04-05,68
2015-04-12,60
2015-04-19,63
2015-04-26,61
2015-05-03,56
2015-05-10,62
2015-05-17,57
2015-05-24,55
2015-05-31,52
2015-06-07,54
2015-06-14,55
2015-06-21,51
2015-06-28,66
2015-07-05,62
2015-07-12,58
2015-07-19,63
2015-07-26,56
2015-08-02,64
2015-08-09,66
2015-08-16,68
2015-08-23,64
2015-08-30,64
2015-09-06,65
2015-09-13,61
2015-09-20,53
2015-09-27,61
2015-10-04,64
2015-10-11,68
2015-10-18,70
2015-10-25,64
2015-11-01,64
2015-11-08,62
2015-11-15,61
2015-11-22,60
2015-11-29,57
2015-12-06,59
2015-12-13,59
2015-12-20,68
2015-12-27,67
2016-01-03,61
2016-01-10,62
2016-01-17,65
2016-01-24,63
2016-01-31,67
2016-02-07,69
2016-02-14,65
2016-02-21,65
2016-02-28,67
2016-03-06,74
2016-03-13,69
2016-03-20,71
2016-03-27,69
2016-04-03,72
2016-04-10,69
2016-04-17,70
2016-04-24,71
2016-05-01,70
2016-05-08,69
2016-05-15,69
2016-05-22,70
2016-05-29,62
2016-06-05,54
2016-06-12,59
2016-06-19,60
2016-06-26,59
2016-07-03,57
2016-07-10,69
2016-07-17,78
2016-07-24,71
2016-07-31,79
2016-08-07,57
2016-08-14,79
2016-08-21,78
2016-08-28,48
2016-09-04,69
2016-09-11,57
2016-09-18,37
2016-09-25,25
2016-10-02,26
2016-10-09,29
2016-10-16,26
2016-10-23,25
2016-10-30,23
2016-11-06,25
2016-11-13,23
2016-11-20,23
2016-11-27,25
2016-12-04,24
2016-12-11,24
2016-12-18,24
2016-12-25,27
2017-01-01,25
2017-01-08,27
2017-01-15,26
2017-01-22,29
2017-01-29,39
2017-02-05,76
2017-02-12,72
2017-02-19,73
2017-02-26,73
2017-03-05,73
2017-03-12,86
2017-03-19,74
2017-03-26,77
2017-04-02,80
2017-04-09,79
2017-04-16,73
2017-04-23,68
2017-04-30,67
2017-05-07,64
2017-05-14,59
2017-05-21,53
2017-05-28,48
2017-06-04,51
2017-06-11,54
2017-06-18,47
2017-06-25,47
2017-07-02,60
2017-07-09,56
2017-07-16,65
2017-07-23,61
2017-07-30,65
2017-08-06,67
2017-08-13,66
2017-08-20,62
2017-08-27,53
2017-09-03,57
2017-09-10,63
2017-09-17,60
2017-09-24,69
2017-10-01,65
2017-10-08,67
2017-10-15,70
2017-10-22,64
2017-10-29,65
2017-11-05,65
2017-11-12,68
2017-11-19,64
2017-11-26,60
2017-12-03,59
2017-12-10,57
2017-12-17,62
2017-12-24,67
2017-12-31,61
2018-01-07,60
2018-01-14,67
2018-01-21,67
2018-01-28,66
2018-02-04,72
2018-02-11,77
2018-02-18,76
2018-02-25,71
2018-03-04,73
2018-03-11,79
2018-03-18,76
2018-03-25,74
2018-04-01,84
2018-04-08,78
2018-04-15,79
2018-04-22,76
2018-04-29,73
2018-05-06,72
2018-05-13,60
2018-05-20,66
2018-05-27,72
2018-06-03,62
2018-06-10,60
2018-06-17,64
2018-06-24,74
2018-07-01,77
2018-07-08,76
2018-07-15,77
2018-07-22,76
2018-07-29,77
2018-08-05,84
2018-08-12,76
2018-08-19,63
2018-08-26,77
2018-09-02,75
2018-09-09,76
2018-09-16,72
2018-09-23,72
2018-09-30,82
2018-10-07,83
2018-10-14,82
2018-10-21,82
2018-10-28,82
2018-11-04,76
2018-11-11,75
2018-11-18,72
2018-11-25,71
2018-12-02,71
2018-12-09,71
2018-12-16,78
2018-12-23,90
2018-12-30,81
2019-01-06,79
2019-01-13,78
2019-01-20,84
2019-01-27,86
2019-02-03,87
2019-02-10,91
2019-02-17,90
2019-02-24,90
2019-03-03,88
2019-03-10,82
2019-03-17,100
2019-03-24,95
2019-03-31,89
2019-04-07,86
2019-04-14,90
2019-04-21,85
2019-04-28,75
2019-05-05,65
2019-05-12,68
2019-05-19,68
2019-05-26,71
2019-06-02,69
2019-06-09,84
2019-06-16,86
2019-06-23,86
2019-06-30,94
2019-07-07,92
2019-07-14,96
2019-07-21,88
2019-07-28,87
2019-08-04,84
2019-08-11,70
2019-08-18,90
2019-08-25,82
2019-09-01,82
2019-09-08,85
2019-09-15,82
2019-09-22,77
2019-09-29,82
2019-10-06,85
2019-10-13,88
2019-10-20,89
2019-10-27,88
2019-11-03,85
2019-11-10,87
2019-11-17,89
2019-11-24,85
2019-12-01,83
2019-12-08,84
2019-12-15,90
2019-12-22,93
2019-12-29,92
2020-01-05,90
