,Travel Agencies & Services
2023-01-01,62
2023-01-08,63
2023-01-15,63
2023-01-22,63
2023-01-29,62
2023-02-05,75
2023-02-12,65
2023-02-19,71
2023-02-26,66
2023-03-05,73
2023-03-12,63
2023-03-19,67
2023-03-26,53
2023-04-02,63
2023-04-09,66
2023-04-16,55
2023-04-23,59
2023-04-30,57
2023-05-07,59
2023-05-14,36
2023-05-21,53
2023-05-28,47
2023-06-04,50
2023-06-11,46
2023-06-18,39
2023-06-25,43
2023-07-02,43
2023-07-09,51
2023-07-16,47
2023-07-23,43
2023-07-30,46
2023-08-06,63
2023-08-13,59
2023-08-20,65
2023-08-27,57
2023-09-03,57
2023-09-10,65
2023-09-17,65
2023-09-24,60
2023-10-01,67
2023-10-08,65
2023-10-15,64
2023-10-22,65
2023-10-29,60
2023-11-05,79
2023-11-12,93
2023-11-19,84
2023-11-26,79
2023-12-03,84
2023-12-10,68
2023-12-17,67
2023-12-24,76
2023-12-31,79
2024-01-07,87
2024-01-14,80
2024-01-21,82
2024-01-28,83
2024-02-04,94
2024-02-11,89
2024-02-18,96
2024-02-25,79
2024-03-03,76
2024-03-10,76
2024-03-17,95
2024-03-24,89
2024-03-31,78
2024-04-07,89
2024-04-14,78
2024-04-21,72
2024-04-28,66
2024-05-05,65
2024-05-12,73
2024-05-19,61
2024-05-26,67
2024-06-02,56
2024-06-09,57
2024-06-16,43
2024-06-23,50
2024-06-30,53
2024-07-07,67
2024-07-14,53
2024-07-21,72
2024-07-28,62
2024-08-04,71
2024-08-11,94
2024-08-18,71
2024-08-25,56
2024-09-01,67
2024-09-08,70
2024-09-15,58
2024-09-22,65
2024-09-29,73
2024-10-06,79
2024-10-13,72
2024-10-20,86
2024-10-27,94
2024-11-03,77
2024-11-10,94
2024-11-17,81
2024-11-24,86
2024-12-01,75
2024-12-08,79
2024-12-15,98
2024-12-22,90
2024-12-29,100
2025-01-05,72
2025-01-12,83
2025-01-19,80
2025-01-26,81
2025-02-02,80
2025-02-09,83
2025-02-16,87
2025-02-23,82
2025-03-02,72
2025-03-09,68
2025-03-16,79
2025-03-23,64
2025-03-30,68
2025-04-06,80
2025-04-13,87
2025-04-20,79
2025-04-27,76
2025-05-04,69
2025-05-11,57
2025-05-18,65
2025-05-25,54
2025-06-01,55
2025-06-08,58
2025-06-15,54
2025-06-22,51
2025-06-29,48
2025-07-06,58
2025-07-13,52
2025-07-20,59
2025-07-27,55
2025-08-03,52
2025-08-10,68
2025-08-17,59
2025-08-24,74
2025-08-31,56
2025-09-07,48
2025-09-14,52
2025-09-21,61
2025-09-28,68
2025-10-05,64
2025-10-12,83
2025-10-19,77
2025-10-26,69
2025-11-02,70
2025-11-09,75
2025-11-16,87
2025-11-23,86
2025-11-30,79
2025-12-07,69
2025-12-14,79
2025-12-21,72
2025-12-28,88
2026-01-04,61
