,Travel Agencies & Services
2014-12-28,41
2015-01-04,35
2015-01-11,35
2015-01-18,34
2015-01-25,31
2015-02-01,33
2015-02-08,34
2015-02-15,38
2015-02-22,33
2015-03-01,34
2015-03-08,34
2015-03-15,36
2015-03-22,39
2015-03-29,44
2015-04-05,36
2015-04-12,38
2015-04-19,33
2015-04-26,37
2015-05-03,37
2015-05-10,38
2015-05-17,41
2015-05-24,38
2015-05-31,38
2015-06-07,37
2015-06-14,35
2015-06-21,40
2015-06-28,46
2015-07-05,43
2015-07-12,45
2015-07-19,43
2015-07-26,44
2015-08-02,43
2015-08-09,43
2015-08-16,41
2015-08-23,40
2015-08-30,45
2015-09-06,43
2015-09-13,44
2015-09-20,45
2015-09-27,43
2015-10-04,44
2015-10-11,45
2015-10-18,45
2015-10-25,44
2015-11-01,41
2015-11-08,36
2015-11-15,38
2015-11-22,43
2015-11-29,41
2015-12-06,39
2015-12-13,41
2015-12-20,48
2015-12-27,47
2016-01-03,41
2016-01-10,42
2016-01-17,38
2016-01-24,35
2016-01-31,35
2016-02-07,38
2016-02-14,39
2016-02-21,38
2016-02-28,39
2016-03-06,39
2016-03-13,41
2016-03-20,43
2016-03-27,40
2016-04-03,46
2016-04-10,46
2016-04-17,43
2016-04-24,40
2016-05-01,44
2016-05-08,46
2016-05-15,44
2016-05-22,46
2016-05-29,45
2016-06-05,42
2016-06-12,41
2016-06-19,44
2016-06-26,45
2016-07-03,47
2016-07-10,41
2016-07-17,44
2016-07-24,43
2016-07-31,42
2016-08-07,44
2016-08-14,43
2016-08-21,49
2016-08-28,46
2016-09-04,47
2016-09-11,47
2016-09-18,44
2016-09-25,46
2016-10-02,50
2016-10-09,49
2016-10-16,43
2016-10-23,42
2016-10-30,48
2016-11-06,43
2016-11-13,39
2016-11-20,43
2016-11-27,42
2016-12-04,48
2016-12-11,48
2016-12-18,53
2016-12-25,54
2017-01-01,56
2017-01-08,49
2017-01-15,46
2017-01-22,45
2017-01-29,46
2017-02-05,47
2017-02-12,48
2017-02-19,48
2017-02-26,45
2017-03-05,48
2017-03-12,45
2017-03-19,48
2017-03-26,50
2017-04-02,56
2017-04-09,54
2017-04-16,49
2017-04-23,49
2017-04-30,50
2017-05-07,53
2017-05-14,52
2017-05-21,55
2017-05-28,55
2017-06-04,54
2017-06-11,54
2017-06-18,56
2017-06-25,54
2017-07-02,55
2017-07-09,50
2017-07-16,52
2017-07-23,49
2017-07-30,51
2017-08-06,54
2017-08-13,52
2017-08-20,53
2017-08-27,52
2017-09-03,52
2017-09-10,51
2017-09-17,55
2017-09-24,53
2017-10-01,53
2017-10-08,54
2017-10-15,51
2017-10-22,56
2017-10-29,58
2017-11-05,49
2017-11-12,51
2017-11-19,46
2017-11-26,50
2017-12-03,48
2017-12-10,49
2017-12-17,57
2017-12-24,60
2017-12-31,57
2018-01-07,52
2018-01-14,54
2018-01-21,47
2018-01-28,50
2018-02-04,55
2018-02-11,63
2018-02-18,53
2018-02-25,51
2018-03-04,53
2018-03-11,53
2018-03-18,55
2018-03-25,66
2018-04-01,53
2018-04-08,55
2018-04-15,53
2018-04-22,58
2018-04-29,65
2018-05-06,57
2018-05-13,56
2018-05-20,61
2018-05-27,64
2018-06-03,60
2018-06-10,65
2018-06-17,56
2018-06-24,56
2018-07-01,60
2018-07-08,58
2018-07-15,52
2018-07-22,61
2018-07-29,66
2018-08-05,70
2018-08-12,69
2018-08-19,72
2018-08-26,75
2018-09-02,84
2018-09-09,79
2018-09-16,83
2018-09-23,79
2018-09-30,75
2018-10-07,82
2018-10-14,82
2018-10-21,86
2018-10-28,86
2018-11-04,74
2018-11-11,82
2018-11-18,99
2018-11-25,82
2018-12-02,82
2018-12-09,80
2018-12-16,90
2018-12-23,100
2018-12-30,92
2019-01-06,89
2019-01-13,81
2019-01-20,80
2019-01-27,80
2019-02-03,82
2019-02-10,85
2019-02-17,88
2019-02-24,86
2019-03-03,91
2019-03-10,85
2019-03-17,93
2019-03-24,82
2019-03-31,79
2019-04-07,76
2019-04-14,88
2019-04-21,71
2019-04-28,80
2019-05-05,79
2019-05-12,83
2019-05-19,75
2019-05-26,89
2019-06-02,81
2019-06-09,73
2019-06-16,76
2019-06-23,74
2019-06-30,73
2019-07-07,68
2019-07-14,71
2019-07-21,74
2019-07-28,75
2019-08-04,80
2019-08-11,73
2019-08-18,83
2019-08-25,80
2019-09-01,82
2019-09-08,85
2019-09-15,76
2019-09-22,98
2019-09-29,80
2019-10-06,73
2019-10-13,76
2019-10-20,69
2019-10-27,71
2019-11-03,69
2019-11-10,73
2019-11-17,64
2019-11-24,64
2019-12-01,66
2019-12-08,66
2019-12-15,64
2019-12-22,78
2019-12-29,80
2020-01-05,72
