,Apparel
2014-12-28,41
2015-01-04,39
2015-01-11,35
2015-01-18,37
2015-01-25,36
2015-02-01,36
2015-02-08,36
2015-02-15,36
2015-02-22,37
2015-03-01,35
2015-03-08,36
2015-03-15,36
2015-03-22,36
2015-03-29,38
2015-04-05,39
2015-04-12,40
2015-04-19,39
2015-04-26,36
2015-05-03,38
2015-05-10,36
2015-05-17,37
2015-05-24,34
2015-05-31,36
2015-06-07,36
2015-06-14,36
2015-06-21,42
2015-06-28,47
2015-07-05,47
2015-07-12,49
2015-07-19,51
2015-07-26,49
2015-08-02,51
2015-08-09,51
2015-08-16,47
2015-08-23,47
2015-08-30,47
2015-09-06,48
2015-09-13,48
2015-09-20,50
2015-09-27,52
2015-10-04,51
2015-10-11,52
2015-10-18,48
2015-10-25,52
2015-11-01,55
2015-11-08,45
2015-11-15,48
2015-11-22,48
2015-11-29,48
2015-12-06,50
2015-12-13,49
2015-12-20,51
2015-12-27,53
2016-01-03,47
2016-01-10,44
2016-01-17,46
2016-01-24,46
2016-01-31,47
2016-02-07,48
2016-02-14,46
2016-02-21,44
2016-02-28,45
2016-03-06,43
2016-03-13,46
2016-03-20,43
2016-03-27,44
2016-04-03,45
2016-04-10,46
2016-04-17,44
2016-04-24,42
2016-05-01,46
2016-05-08,47
2016-05-15,43
2016-05-22,45
2016-05-29,48
2016-06-05,47
2016-06-12,47
2016-06-19,50
2016-06-26,52
2016-07-03,54
2016-07-10,50
2016-07-17,54
2016-07-24,53
2016-07-31,53
2016-08-07,54
2016-08-14,53
2016-08-21,51
2016-08-28,53
2016-09-04,52
2016-09-11,53
2016-09-18,55
2016-09-25,55
2016-10-02,60
2016-10-09,57
2016-10-16,61
2016-10-23,57
2016-10-30,56
2016-11-06,53
2016-11-13,50
2016-11-20,55
2016-11-27,57
2016-12-04,56
2016-12-11,60
2016-12-18,63
2016-12-25,61
2017-01-01,62
2017-01-08,55
2017-01-15,56
2017-01-22,57
2017-01-29,55
2017-02-05,55
2017-02-12,54
2017-02-19,50
2017-02-26,49
2017-03-05,50
2017-03-12,49
2017-03-19,54
2017-03-26,54
2017-04-02,54
2017-04-09,58
2017-04-16,55
2017-04-23,53
2017-04-30,52
2017-05-07,51
2017-05-14,54
2017-05-21,53
2017-05-28,55
2017-06-04,58
2017-06-11,61
2017-06-18,62
2017-06-25,58
2017-07-02,57
2017-07-09,59
2017-07-16,61
2017-07-23,56
2017-07-30,57
2017-08-06,59
2017-08-13,61
2017-08-20,57
2017-08-27,58
2017-09-03,57
2017-09-10,56
2017-09-17,60
2017-09-24,59
2017-10-01,62
2017-10-08,66
2017-10-15,59
2017-10-22,60
2017-10-29,61
2017-11-05,66
2017-11-12,65
2017-11-19,67
2017-11-26,65
2017-12-03,66
2017-12-10,67
2017-12-17,69
2017-12-24,71
2017-12-31,64
2018-01-07,67
2018-01-14,62
2018-01-21,64
2018-01-28,65
2018-02-04,68
2018-02-11,67
2018-02-18,65
2018-02-25,56
2018-03-04,61
2018-03-11,64
2018-03-18,65
2018-03-25,68
2018-04-01,64
2018-04-08,65
2018-04-15,67
2018-04-22,62
2018-04-29,65
2018-05-06,68
2018-05-13,65
2018-05-20,64
2018-05-27,66
2018-06-03,72
2018-06-10,66
2018-06-17,64
2018-06-24,66
2018-07-01,65
2018-07-08,69
2018-07-15,68
2018-07-22,72
2018-07-29,72
2018-08-05,77
2018-08-12,74
2018-08-19,71
2018-08-26,71
2018-09-02,77
2018-09-09,72
2018-09-16,78
2018-09-23,78
2018-09-30,79
2018-10-07,89
2018-10-14,85
2018-10-21,88
2018-10-28,94
2018-11-04,76
2018-11-11,84
2018-11-18,87
2018-11-25,86
2018-12-02,87
2018-12-09,86
2018-12-16,93
2018-12-23,96
2018-12-30,88
2019-01-06,85
2019-01-13,80
2019-01-20,84
2019-01-27,79
2019-02-03,82
2019-02-10,78
2019-02-17,77
2019-02-24,72
2019-03-03,79
2019-03-10,77
2019-03-17,79
2019-03-24,76
2019-03-31,83
2019-04-07,80
2019-04-14,77
2019-04-21,74
2019-04-28,83
2019-05-05,80
2019-05-12,76
2019-05-19,78
2019-05-26,77
2019-06-02,74
2019-06-09,75
2019-06-16,71
2019-06-23,74
2019-06-30,70
2019-07-07,72
2019-07-14,74
2019-07-21,72
2019-07-28,80
2019-08-04,77
2019-08-11,72
2019-08-18,78
2019-08-25,78
2019-09-01,72
2019-09-08,83
2019-09-15,87
2019-09-22,87
2019-09-29,97
2019-10-06,84
2019-10-13,91
2019-10-20,88
2019-10-27,80
2019-11-03,97
2019-11-10,100
2019-11-17,88
2019-11-24,82
2019-12-01,82
2019-12-08,81
2019-12-15,85
2019-12-22,98
2019-12-29,89
2020-01-05,84
