,Investment
2023-01-01,50
2023-01-08,50
2023-01-15,48
2023-01-22,56
2023-01-29,52
2023-02-05,67
2023-02-12,66
2023-02-19,63
2023-02-26,63
2023-03-05,67
2023-03-12,74
2023-03-19,73
2023-03-26,64
2023-04-02,60
2023-04-09,49
2023-04-16,58
2023-04-23,60
2023-04-30,61
2023-05-07,71
2023-05-14,71
2023-05-21,69
2023-05-28,60
2023-06-04,62
2023-06-11,73
2023-06-18,62
2023-06-25,54
2023-07-02,62
2023-07-09,72
2023-07-16,72
2023-07-23,67
2023-07-30,74
2023-08-06,100
2023-08-13,93
2023-08-20,70
2023-08-27,57
2023-09-03,58
2023-09-10,51
2023-09-17,57
2023-09-24,56
2023-10-01,58
2023-10-08,53
2023-10-15,52
2023-10-22,49
2023-10-29,53
2023-11-05,51
2023-11-12,63
2023-11-19,56
2023-11-26,63
2023-12-03,59
2023-12-10,50
2023-12-17,48
2023-12-24,50
2023-12-31,55
2024-01-07,58
2024-01-14,55
2024-01-21,55
2024-01-28,51
2024-02-04,49
2024-02-11,50
2024-02-18,52
2024-02-25,46
2024-03-03,56
2024-03-10,54
2024-03-17,47
2024-03-24,69
2024-03-31,64
2024-04-07,51
2024-04-14,50
2024-04-21,62
2024-04-28,55
2024-05-05,57
2024-05-12,55
2024-05-19,49
2024-05-26,51
2024-06-02,50
2024-06-09,45
2024-06-16,49
2024-06-23,54
2024-06-30,46
2024-07-07,54
2024-07-14,57
2024-07-21,45
2024-07-28,46
2024-08-04,45
2024-08-11,51
2024-08-18,50
2024-08-25,55
2024-09-01,50
2024-09-08,49
2024-09-15,42
2024-09-22,51
2024-09-29,56
2024-10-06,56
2024-10-13,51
2024-10-20,54
2024-10-27,59
2024-11-03,55
2024-11-10,45
2024-11-17,55
2024-11-24,56
2024-12-01,58
2024-12-08,57
2024-12-15,59
2024-12-22,56
2024-12-29,60
2025-01-05,59
2025-01-12,60
2025-01-19,68
2025-01-26,63
2025-02-02,58
2025-02-09,57
2025-02-16,57
2025-02-23,57
2025-03-02,51
2025-03-09,62
2025-03-16,56
2025-03-23,57
2025-03-30,49
2025-04-06,55
2025-04-13,46
2025-04-20,55
2025-04-27,47
2025-05-04,54
2025-05-11,54
2025-05-18,60
2025-05-25,60
2025-06-01,59
2025-06-08,57
2025-06-15,63
2025-06-22,56
2025-06-29,66
2025-07-06,59
2025-07-13,61
2025-07-20,65
2025-07-27,61
2025-08-03,65
2025-08-10,63
2025-08-17,63
2025-08-24,56
2025-08-31,56
2025-09-07,57
2025-09-14,53
2025-09-21,60
2025-09-28,59
2025-10-05,59
2025-10-12,57
2025-10-19,61
2025-10-26,65
2025-11-02,72
2025-11-09,73
2025-11-16,71
2025-11-23,69
2025-11-30,72
2025-12-07,80
2025-12-14,69
2025-12-21,51
2025-12-28,52
