,Chemicals Industry
2014-12-28,50
2015-01-04,44
2015-01-11,47
2015-01-18,49
2015-01-25,53
2015-02-01,49
2015-02-08,61
2015-02-15,62
2015-02-22,54
2015-03-01,58
2015-03-08,59
2015-03-15,61
2015-03-22,56
2015-03-29,53
2015-04-05,55
2015-04-12,38
2015-04-19,59
2015-04-26,58
2015-05-03,62
2015-05-10,71
2015-05-17,61
2015-05-24,69
2015-05-31,60
2015-06-07,64
2015-06-14,63
2015-06-21,64
2015-06-28,67
2015-07-05,66
2015-07-12,66
2015-07-19,64
2015-07-26,56
2015-08-02,61
2015-08-09,64
2015-08-16,55
2015-08-23,65
2015-08-30,64
2015-09-06,65
2015-09-13,57
2015-09-20,59
2015-09-27,63
2015-10-04,66
2015-10-11,67
2015-10-18,63
2015-10-25,66
2015-11-01,64
2015-11-08,67
2015-11-15,65
2015-11-22,59
2015-11-29,58
2015-12-06,63
2015-12-13,65
2015-12-20,63
2015-12-27,64
2016-01-03,65
2016-01-10,62
2016-01-17,67
2016-01-24,68
2016-01-31,65
2016-02-07,73
2016-02-14,71
2016-02-21,74
2016-02-28,77
2016-03-06,75
2016-03-13,76
2016-03-20,71
2016-03-27,73
2016-04-03,66
2016-04-10,53
2016-04-17,71
2016-04-24,85
2016-05-01,85
2016-05-08,84
2016-05-15,74
2016-05-22,77
2016-05-29,82
2016-06-05,87
2016-06-12,89
2016-06-19,80
2016-06-26,82
2016-07-03,77
2016-07-10,74
2016-07-17,79
2016-07-24,72
2016-07-31,75
2016-08-07,90
2016-08-14,83
2016-08-21,80
2016-08-28,75
2016-09-04,71
2016-09-11,69
2016-09-18,74
2016-09-25,70
2016-10-02,80
2016-10-09,82
2016-10-16,84
2016-10-23,87
2016-10-30,91
2016-11-06,81
2016-11-13,70
2016-11-20,72
2016-11-27,71
2016-12-04,71
2016-12-11,65
2016-12-18,70
2016-12-25,70
2017-01-01,74
2017-01-08,73
2017-01-15,80
2017-01-22,76
2017-01-29,83
2017-02-05,73
2017-02-12,82
2017-02-19,82
2017-02-26,82
2017-03-05,81
2017-03-12,88
2017-03-19,88
2017-03-26,86
2017-04-02,79
2017-04-09,53
2017-04-16,81
2017-04-23,88
2017-04-30,83
2017-05-07,75
2017-05-14,94
2017-05-21,82
2017-05-28,80
2017-06-04,95
2017-06-11,88
2017-06-18,85
2017-06-25,72
2017-07-02,84
2017-07-09,85
2017-07-16,97
2017-07-23,85
2017-07-30,73
2017-08-06,76
2017-08-13,83
2017-08-20,77
2017-08-27,76
2017-09-03,77
2017-09-10,76
2017-09-17,82
2017-09-24,87
2017-10-01,78
2017-10-08,81
2017-10-15,83
2017-10-22,81
2017-10-29,75
2017-11-05,81
2017-11-12,79
2017-11-19,80
2017-11-26,78
2017-12-03,73
2017-12-10,73
2017-12-17,77
2017-12-24,64
2017-12-31,70
2018-01-07,74
2018-01-14,72
2018-01-21,81
2018-01-28,71
2018-02-04,74
2018-02-11,77
2018-02-18,78
2018-02-25,78
2018-03-04,72
2018-03-11,74
2018-03-18,77
2018-03-25,77
2018-04-01,70
2018-04-08,54
2018-04-15,65
2018-04-22,79
2018-04-29,67
2018-05-06,76
2018-05-13,82
2018-05-20,85
2018-05-27,77
2018-06-03,87
2018-06-10,82
2018-06-17,75
2018-06-24,75
2018-07-01,76
2018-07-08,81
2018-07-15,89
2018-07-22,79
2018-07-29,77
2018-08-05,78
2018-08-12,91
2018-08-19,75
2018-08-26,77
2018-09-02,78
2018-09-09,77
2018-09-16,80
2018-09-23,77
2018-09-30,79
2018-10-07,89
2018-10-14,96
2018-10-21,77
2018-10-28,86
2018-11-04,73
2018-11-11,76
2018-11-18,75
2018-11-25,82
2018-12-02,74
2018-12-09,81
2018-12-16,72
2018-12-23,76
2018-12-30,74
2019-01-06,79
2019-01-13,80
2019-01-20,88
2019-01-27,83
2019-02-03,70
2019-02-10,82
2019-02-17,78
2019-02-24,78
2019-03-03,83
2019-03-10,86
2019-03-17,74
2019-03-24,84
2019-03-31,77
2019-04-07,68
2019-04-14,61
2019-04-21,70
2019-04-28,75
2019-05-05,78
2019-05-12,75
2019-05-19,77
2019-05-26,82
2019-06-02,95
2019-06-09,100
2019-06-16,92
2019-06-23,92
2019-06-30,87
2019-07-07,83
2019-07-14,90
2019-07-21,99
2019-07-28,88
2019-08-04,87
2019-08-11,79
2019-08-18,82
2019-08-25,82
2019-09-01,82
2019-09-08,78
2019-09-15,80
2019-09-22,74
2019-09-29,73
2019-10-06,76
2019-10-13,87
2019-10-20,92
2019-10-27,93
2019-11-03,86
2019-11-10,73
2019-11-17,91
2019-11-24,89
2019-12-01,87
2019-12-08,80
2019-12-15,89
2019-12-22,83
2019-12-29,92
2020-01-05,79
