,Commercial Lending
2023-01-01,60
2023-01-08,57
2023-01-15,66
2023-01-22,58
2023-01-29,63
2023-02-05,66
2023-02-12,66
2023-02-19,67
2023-02-26,72
2023-03-05,66
2023-03-12,100
2023-03-19,80
2023-03-26,65
2023-04-02,65
2023-04-09,64
2023-04-16,63
2023-04-23,66
2023-04-30,55
2023-05-07,57
2023-05-14,62
2023-05-21,62
2023-05-28,61
2023-06-04,59
2023-06-11,66
2023-06-18,63
2023-06-25,62
2023-07-02,65
2023-07-09,62
2023-07-16,62
2023-07-23,64
2023-07-30,66
2023-08-06,64
2023-08-13,57
2023-08-20,61
2023-08-27,57
2023-09-03,53
2023-09-10,61
2023-09-17,59
2023-09-24,66
2023-10-01,65
2023-10-08,63
2023-10-15,57
2023-10-22,51
2023-10-29,56
2023-11-05,52
2023-11-12,47
2023-11-19,57
2023-11-26,66
2023-12-03,64
2023-12-10,64
2023-12-17,62
2023-12-24,57
2023-12-31,58
2024-01-07,59
2024-01-14,60
2024-01-21,55
2024-01-28,63
2024-02-04,64
2024-02-11,66
2024-02-18,64
2024-02-25,73
2024-03-03,61
2024-03-10,64
2024-03-17,61
2024-03-24,57
2024-03-31,63
2024-04-07,55
2024-04-14,53
2024-04-21,55
2024-04-28,58
2024-05-05,58
2024-05-12,55
2024-05-19,57
2024-05-26,56
2024-06-02,59
2024-06-09,61
2024-06-16,54
2024-06-23,58
2024-06-30,57
2024-07-07,57
2024-07-14,56
2024-07-21,63
2024-07-28,63
2024-08-04,62
2024-08-11,59
2024-08-18,59
2024-08-25,58
2024-09-01,57
2024-09-08,60
2024-09-15,59
2024-09-22,64
2024-09-29,57
2024-10-06,51
2024-10-13,58
2024-10-20,62
2024-10-27,41
2024-11-03,57
2024-11-10,57
2024-11-17,52
2024-11-24,58
2024-12-01,66
2024-12-08,59
2024-12-15,59
2024-12-22,60
2024-12-29,57
2025-01-05,58
2025-01-12,58
2025-01-19,60
2025-01-26,61
2025-02-02,57
2025-02-09,58
2025-02-16,58
2025-02-23,58
2025-03-02,56
2025-03-09,53
2025-03-16,58
2025-03-23,62
2025-03-30,65
2025-04-06,74
2025-04-13,54
2025-04-20,58
2025-04-27,56
2025-05-04,51
2025-05-11,54
2025-05-18,57
2025-05-25,56
2025-06-01,57
2025-06-08,57
2025-06-15,56
2025-06-22,58
2025-06-29,53
2025-07-06,49
2025-07-13,54
2025-07-20,53
2025-07-27,56
2025-08-03,51
2025-08-10,49
2025-08-17,52
2025-08-24,51
2025-08-31,50
2025-09-07,50
2025-09-14,48
2025-09-21,51
2025-09-28,44
2025-10-05,52
2025-10-12,49
2025-10-19,36
2025-10-26,50
2025-11-02,51
2025-11-09,53
2025-11-16,52
2025-11-23,49
2025-11-30,52
2025-12-07,50
2025-12-14,52
2025-12-21,50
2025-12-28,49
2026-01-04,50
