,Fuel Economy & Gas Prices
2014-12-28,27
2015-01-04,33
2015-01-11,42
2015-01-18,72
2015-01-25,69
2015-02-01,53
2015-02-08,38
2015-02-15,0
2015-02-22,43
2015-03-01,39
2015-03-08,40
2015-03-15,52
2015-03-22,37
2015-03-29,0
2015-04-05,47
2015-04-12,0
2015-04-19,0
2015-04-26,26
2015-05-03,39
2015-05-10,42
2015-05-17,34
2015-05-24,43
2015-05-31,33
2015-06-07,46
2015-06-14,42
2015-06-21,44
2015-06-28,30
2015-07-05,27
2015-07-12,32
2015-07-19,33
2015-07-26,31
2015-08-02,44
2015-08-09,40
2015-08-16,24
2015-08-23,37
2015-08-30,47
2015-09-06,33
2015-09-13,32
2015-09-20,65
2015-09-27,38
2015-10-04,33
2015-10-11,48
2015-10-18,0
2015-10-25,28
2015-11-01,39
2015-11-08,46
2015-11-15,38
2015-11-22,29
2015-11-29,38
2015-12-06,42
2015-12-13,43
2015-12-20,30
2015-12-27,34
2016-01-03,54
2016-01-10,39
2016-01-17,50
2016-01-24,32
2016-01-31,43
2016-02-07,39
2016-02-14,28
2016-02-21,40
2016-02-28,31
2016-03-06,47
2016-03-13,27
2016-03-20,26
2016-03-27,39
2016-04-03,41
2016-04-10,0
2016-04-17,28
2016-04-24,39
2016-05-01,38
2016-05-08,0
2016-05-15,0
2016-05-22,65
2016-05-29,66
2016-06-05,28
2016-06-12,36
2016-06-19,0
2016-06-26,32
2016-07-03,47
2016-07-10,29
2016-07-17,29
2016-07-24,32
2016-07-31,49
2016-08-07,0
2016-08-14,36
2016-08-21,30
2016-08-28,28
2016-09-04,38
2016-09-11,0
2016-09-18,35
2016-09-25,31
2016-10-02,0
2016-10-09,31
2016-10-16,30
2016-10-23,35
2016-10-30,50
2016-11-06,37
2016-11-13,28
2016-11-20,38
2016-11-27,35
2016-12-04,0
2016-12-11,24
2016-12-18,37
2016-12-25,50
2017-01-01,22
2017-01-08,31
2017-01-15,43
2017-01-22,46
2017-01-29,61
2017-02-05,31
2017-02-12,32
2017-02-19,32
2017-02-26,36
2017-03-05,40
2017-03-12,30
2017-03-19,37
2017-03-26,45
2017-04-02,37
2017-04-09,25
2017-04-16,51
2017-04-23,37
2017-04-30,54
2017-05-07,27
2017-05-14,43
2017-05-21,35
2017-05-28,32
2017-06-04,41
2017-06-11,33
2017-06-18,40
2017-06-25,22
2017-07-02,29
2017-07-09,48
2017-07-16,0
2017-07-23,42
2017-07-30,44
2017-08-06,0
2017-08-13,29
2017-08-20,28
2017-08-27,34
2017-09-03,36
2017-09-10,38
2017-09-17,39
2017-09-24,49
2017-10-01,24
2017-10-08,44
2017-10-15,33
2017-10-22,34
2017-10-29,71
2017-11-05,67
2017-11-12,38
2017-11-19,37
2017-11-26,39
2017-12-03,50
2017-12-10,34
2017-12-17,39
2017-12-24,64
2017-12-31,33
2018-01-07,44
2018-01-14,31
2018-01-21,30
2018-01-28,27
2018-02-04,48
2018-02-11,52
2018-02-18,27
2018-02-25,40
2018-03-04,0
2018-03-11,40
2018-03-18,40
2018-03-25,33
2018-04-01,46
2018-04-08,33
2018-04-15,33
2018-04-22,49
2018-04-29,38
2018-05-06,74
2018-05-13,48
2018-05-20,51
2018-05-27,51
2018-06-03,65
2018-06-10,67
2018-06-17,57
2018-06-24,36
2018-07-01,83
2018-07-08,62
2018-07-15,66
2018-07-22,63
2018-07-29,62
2018-08-05,49
2018-08-12,53
2018-08-19,47
2018-08-26,38
2018-09-02,59
2018-09-09,55
2018-09-16,70
2018-09-23,38
2018-09-30,55
2018-10-07,97
2018-10-14,55
2018-10-21,53
2018-10-28,81
2018-11-04,59
2018-11-11,64
2018-11-18,57
2018-11-25,82
2018-12-02,84
2018-12-09,62
2018-12-16,69
2018-12-23,82
2018-12-30,57
2019-01-06,45
2019-01-13,56
2019-01-20,63
2019-01-27,59
2019-02-03,56
2019-02-10,64
2019-02-17,57
2019-02-24,56
2019-03-03,63
2019-03-10,77
2019-03-17,80
2019-03-24,74
2019-03-31,65
2019-04-07,54
2019-04-14,43
2019-04-21,44
2019-04-28,46
2019-05-05,62
2019-05-12,56
2019-05-19,62
2019-05-26,50
2019-06-02,63
2019-06-09,59
2019-06-16,74
2019-06-23,60
2019-06-30,74
2019-07-07,72
2019-07-14,77
2019-07-21,63
2019-07-28,70
2019-08-04,76
2019-08-11,74
2019-08-18,55
2019-08-25,60
2019-09-01,72
2019-09-08,47
2019-09-15,66
2019-09-22,55
2019-09-29,55
2019-10-06,73
2019-10-13,64
2019-10-20,78
2019-10-27,75
2019-11-03,100
2019-11-10,47
2019-11-17,48
2019-11-24,61
2019-12-01,82
2019-12-08,49
2019-12-15,60
2019-12-22,64
2019-12-29,65
2020-01-05,54
