,Hotels & Accommodations
2014-12-28,43
2015-01-04,36
2015-01-11,37
2015-01-18,40
2015-01-25,42
2015-02-01,40
2015-02-08,39
2015-02-15,40
2015-02-22,36
2015-03-01,38
2015-03-08,43
2015-03-15,43
2015-03-22,41
2015-03-29,46
2015-04-05,49
2015-04-12,45
2015-04-19,46
2015-04-26,48
2015-05-03,42
2015-05-10,46
2015-05-17,40
2015-05-24,41
2015-05-31,40
2015-06-07,42
2015-06-14,39
2015-06-21,40
2015-06-28,41
2015-07-05,45
2015-07-12,47
2015-07-19,51
2015-07-26,53
2015-08-02,58
2015-08-09,55
2015-08-16,46
2015-08-23,55
2015-08-30,48
2015-09-06,47
2015-09-13,45
2015-09-20,48
2015-09-27,43
2015-10-04,42
2015-10-11,44
2015-10-18,45
2015-10-25,42
2015-11-01,43
2015-11-08,45
2015-11-15,46
2015-11-22,45
2015-11-29,48
2015-12-06,51
2015-12-13,58
2015-12-20,67
2015-12-27,58
2016-01-03,58
2016-01-10,55
2016-01-17,52
2016-01-24,52
2016-01-31,52
2016-02-07,53
2016-02-14,56
2016-02-21,48
2016-02-28,48
2016-03-06,51
2016-03-13,50
2016-03-20,63
2016-03-27,55
2016-04-03,60
2016-04-10,59
2016-04-17,59
2016-04-24,54
2016-05-01,56
2016-05-08,55
2016-05-15,42
2016-05-22,47
2016-05-29,48
2016-06-05,50
2016-06-12,52
2016-06-19,50
2016-06-26,55
2016-07-03,57
2016-07-10,59
2016-07-17,63
2016-07-24,62
2016-07-31,71
2016-08-07,73
2016-08-14,72
2016-08-21,67
2016-08-28,62
2016-09-04,64
2016-09-11,67
2016-09-18,58
2016-09-25,58
2016-10-02,60
2016-10-09,64
2016-10-16,57
2016-10-23,54
2016-10-30,55
2016-11-06,59
2016-11-13,54
2016-11-20,58
2016-11-27,58
2016-12-04,65
2016-12-11,64
2016-12-18,72
2016-12-25,68
2017-01-01,66
2017-01-08,63
2017-01-15,59
2017-01-22,59
2017-01-29,62
2017-02-05,61
2017-02-12,59
2017-02-19,58
2017-02-26,56
2017-03-05,59
2017-03-12,56
2017-03-19,59
2017-03-26,60
2017-04-02,63
2017-04-09,62
2017-04-16,68
2017-04-23,60
2017-04-30,58
2017-05-07,52
2017-05-14,55
2017-05-21,51
2017-05-28,47
2017-06-04,50
2017-06-11,54
2017-06-18,55
2017-06-25,56
2017-07-02,59
2017-07-09,61
2017-07-16,65
2017-07-23,63
2017-07-30,74
2017-08-06,70
2017-08-13,80
2017-08-20,73
2017-08-27,67
2017-09-03,61
2017-09-10,55
2017-09-17,56
2017-09-24,55
2017-10-01,69
2017-10-08,59
2017-10-15,59
2017-10-22,58
2017-10-29,63
2017-11-05,59
2017-11-12,61
2017-11-19,59
2017-11-26,59
2017-12-03,59
2017-12-10,67
2017-12-17,76
2017-12-24,77
2017-12-31,64
2018-01-07,68
2018-01-14,64
2018-01-21,65
2018-01-28,65
2018-02-04,63
2018-02-11,63
2018-02-18,62
2018-02-25,62
2018-03-04,57
2018-03-11,57
2018-03-18,63
2018-03-25,70
2018-04-01,65
2018-04-08,67
2018-04-15,70
2018-04-22,64
2018-04-29,64
2018-05-06,63
2018-05-13,59
2018-05-20,56
2018-05-27,54
2018-06-03,58
2018-06-10,65
2018-06-17,59
2018-06-24,61
2018-07-01,66
2018-07-08,69
2018-07-15,70
2018-07-22,74
2018-07-29,71
2018-08-05,82
2018-08-12,80
2018-08-19,84
2018-08-26,71
2018-09-02,67
2018-09-09,69
2018-09-16,65
2018-09-23,64
2018-09-30,65
2018-10-07,66
2018-10-14,64
2018-10-21,61
2018-10-28,57
2018-11-04,63
2018-11-11,65
2018-11-18,66
2018-11-25,71
2018-12-02,72
2018-12-09,78
2018-12-16,85
2018-12-23,85
2018-12-30,75
2019-01-06,73
2019-01-13,70
2019-01-20,70
2019-01-27,70
2019-02-03,70
2019-02-10,70
2019-02-17,69
2019-02-24,68
2019-03-03,69
2019-03-10,64
2019-03-17,69
2019-03-24,61
2019-03-31,69
2019-04-07,72
2019-04-14,82
2019-04-21,49
2019-04-28,44
2019-05-05,56
2019-05-12,52
2019-05-19,60
2019-05-26,58
2019-06-02,58
2019-06-09,64
2019-06-16,63
2019-06-23,64
2019-06-30,66
2019-07-07,68
2019-07-14,73
2019-07-21,73
2019-07-28,75
2019-08-04,86
2019-08-11,81
2019-08-18,100
2019-08-25,78
2019-09-01,71
2019-09-08,76
2019-09-15,64
2019-09-22,61
2019-09-29,60
2019-10-06,65
2019-10-13,63
2019-10-20,63
2019-10-27,62
2019-11-03,64
2019-11-10,64
2019-11-17,66
2019-11-24,67
2019-12-01,71
2019-12-08,75
2019-12-15,84
2019-12-22,91
2019-12-29,83
2020-01-05,80
