,Flooring
2023-01-01,75
2023-01-08,43
2023-01-15,0
2023-01-22,38
2023-01-29,46
2023-02-05,53
2023-02-12,30
2023-02-19,58
2023-02-26,36
2023-03-05,33
2023-03-12,54
2023-03-19,54
2023-03-26,45
2023-04-02,35
2023-04-09,46
2023-04-16,34
2023-04-23,32
2023-04-30,42
2023-05-07,39
2023-05-14,49
2023-05-21,35
2023-05-28,40
2023-06-04,38
2023-06-11,43
2023-06-18,41
2023-06-25,35
2023-07-02,26
2023-07-09,48
2023-07-16,41
2023-07-23,28
2023-07-30,43
2023-08-06,41
2023-08-13,54
2023-08-20,63
2023-08-27,72
2023-09-03,29
2023-09-10,54
2023-09-17,44
2023-09-24,34
2023-10-01,52
2023-10-08,43
2023-10-15,65
2023-10-22,41
2023-10-29,35
2023-11-05,46
2023-11-12,67
2023-11-19,60
2023-11-26,59
2023-12-03,57
2023-12-10,34
2023-12-17,37
2023-12-24,67
2023-12-31,61
2024-01-07,79
2024-01-14,57
2024-01-21,70
2024-01-28,56
2024-02-04,49
2024-02-11,77
2024-02-18,68
2024-02-25,49
2024-03-03,40
2024-03-10,43
2024-03-17,57
2024-03-24,54
2024-03-31,44
2024-04-07,0
2024-04-14,0
2024-04-21,34
2024-04-28,41
2024-05-05,51
2024-05-12,42
2024-05-19,56
2024-05-26,0
2024-06-02,56
2024-06-09,37
2024-06-16,30
2024-06-23,60
2024-06-30,31
2024-07-07,43
2024-07-14,51
2024-07-21,30
2024-07-28,0
2024-08-04,43
2024-08-11,55
2024-08-18,52
2024-08-25,91
2024-09-01,52
2024-09-08,42
2024-09-15,35
2024-09-22,75
2024-09-29,62
2024-10-06,56
2024-10-13,55
2024-10-20,47
2024-10-27,75
2024-11-03,43
2024-11-10,56
2024-11-17,33
2024-11-24,47
2024-12-01,45
2024-12-08,40
2024-12-15,44
2024-12-22,52
2024-12-29,62
2025-01-05,0
2025-01-12,100
2025-01-19,37
2025-01-26,37
2025-02-02,74
2025-02-09,89
2025-02-16,49
2025-02-23,45
2025-03-02,36
2025-03-09,53
2025-03-16,50
2025-03-23,42
2025-03-30,38
2025-04-06,49
2025-04-13,59
2025-04-20,72
2025-04-27,62
2025-05-04,37
2025-05-11,39
2025-05-18,51
2025-05-25,65
2025-06-01,57
2025-06-08,45
2025-06-15,41
2025-06-22,49
2025-06-29,49
2025-07-06,56
2025-07-13,55
2025-07-20,60
2025-07-27,59
2025-08-03,67
2025-08-10,56
2025-08-17,48
2025-08-24,0
2025-08-31,48
2025-09-07,47
2025-09-14,52
2025-09-21,45
2025-09-28,37
2025-10-05,37
2025-10-12,49
2025-10-19,74
2025-10-26,60
2025-11-02,51
2025-11-09,0
2025-11-16,92
2025-11-23,80
2025-11-30,60
2025-12-07,40
2025-12-14,70
2025-12-21,72
2025-12-28,81
2026-01-04,46
