,Maritime Transport
2014-12-28,0
2015-01-04,0
2015-01-11,0
2015-01-18,48
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,44
2015-03-08,49
2015-03-15,69
2015-03-22,0
2015-03-29,45
2015-04-05,0
2015-04-12,0
2015-04-19,47
2015-04-26,54
2015-05-03,0
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,0
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,0
2015-07-12,57
2015-07-19,0
2015-07-26,45
2015-08-02,48
2015-08-09,52
2015-08-16,0
2015-08-23,49
2015-08-30,71
2015-09-06,60
2015-09-13,0
2015-09-20,0
2015-09-27,48
2015-10-04,0
2015-10-11,51
2015-10-18,55
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,70
2015-11-22,39
2015-11-29,0
2015-12-06,52
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,50
2016-01-17,47
2016-01-24,48
2016-01-31,61
2016-02-07,62
2016-02-14,0
2016-02-21,0
2016-02-28,63
2016-03-06,61
2016-03-13,0
2016-03-20,55
2016-03-27,0
2016-04-03,45
2016-04-10,59
2016-04-17,45
2016-04-24,78
2016-05-01,0
2016-05-08,71
2016-05-15,44
2016-05-22,73
2016-05-29,53
2016-06-05,58
2016-06-12,71
2016-06-19,63
2016-06-26,46
2016-07-03,0
2016-07-10,0
2016-07-17,72
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,71
2016-08-21,69
2016-08-28,0
2016-09-04,0
2016-09-11,58
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,38
2017-01-15,0
2017-01-22,0
2017-01-29,46
2017-02-05,0
2017-02-12,45
2017-02-19,66
2017-02-26,42
2017-03-05,46
2017-03-12,55
2017-03-19,53
2017-03-26,0
2017-04-02,71
2017-04-09,72
2017-04-16,0
2017-04-23,0
2017-04-30,50
2017-05-07,49
2017-05-14,60
2017-05-21,41
2017-05-28,42
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,74
2017-07-09,41
2017-07-16,0
2017-07-23,64
2017-07-30,69
2017-08-06,39
2017-08-13,58
2017-08-20,48
2017-08-27,45
2017-09-03,40
2017-09-10,0
2017-09-17,45
2017-09-24,47
2017-10-01,0
2017-10-08,45
2017-10-15,73
2017-10-22,0
2017-10-29,0
2017-11-05,43
2017-11-12,50
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,62
2017-12-24,57
2017-12-31,0
2018-01-07,52
2018-01-14,91
2018-01-21,45
2018-01-28,66
2018-02-04,89
2018-02-11,0
2018-02-18,38
2018-02-25,100
2018-03-04,63
2018-03-11,61
2018-03-18,74
2018-03-25,41
2018-04-01,57
2018-04-08,64
2018-04-15,55
2018-04-22,40
2018-04-29,57
2018-05-06,63
2018-05-13,43
2018-05-20,70
2018-05-27,50
2018-06-03,64
2018-06-10,67
2018-06-17,0
2018-06-24,49
2018-07-01,70
2018-07-08,45
2018-07-15,50
2018-07-22,47
2018-07-29,52
2018-08-05,70
2018-08-12,39
2018-08-19,42
2018-08-26,39
2018-09-02,44
2018-09-09,48
2018-09-16,0
2018-09-23,52
2018-09-30,62
2018-10-07,62
2018-10-14,38
2018-10-21,65
2018-10-28,0
2018-11-04,60
2018-11-11,0
2018-11-18,47
2018-11-25,52
2018-12-02,47
2018-12-09,0
2018-12-16,0
2018-12-23,53
2018-12-30,0
2019-01-06,0
2019-01-13,53
2019-01-20,40
2019-01-27,53
2019-02-03,59
2019-02-10,0
2019-02-17,83
2019-02-24,38
2019-03-03,39
2019-03-10,66
2019-03-17,37
2019-03-24,56
2019-03-31,54
2019-04-07,41
2019-04-14,44
2019-04-21,43
2019-04-28,61
2019-05-05,0
2019-05-12,39
2019-05-19,0
2019-05-26,44
2019-06-02,42
2019-06-09,64
2019-06-16,68
2019-06-23,48
2019-06-30,65
2019-07-07,45
2019-07-14,50
2019-07-21,59
2019-07-28,64
2019-08-04,47
2019-08-11,56
2019-08-18,66
2019-08-25,39
2019-09-01,68
2019-09-08,45
2019-09-15,59
2019-09-22,44
2019-09-29,0
2019-10-06,44
2019-10-13,88
2019-10-20,57
2019-10-27,67
2019-11-03,0
2019-11-10,46
2019-11-17,0
2019-11-24,80
2019-12-01,43
2019-12-08,63
2019-12-15,47
2019-12-22,54
2019-12-29,0
2020-01-05,67
