,Maritime Transport
2023-01-01,52
2023-01-08,59
2023-01-15,58
2023-01-22,58
2023-01-29,55
2023-02-05,56
2023-02-12,62
2023-02-19,67
2023-02-26,57
2023-03-05,57
2023-03-12,56
2023-03-19,59
2023-03-26,58
2023-04-02,53
2023-04-09,41
2023-04-16,55
2023-04-23,55
2023-04-30,45
2023-05-07,57
2023-05-14,58
2023-05-21,53
2023-05-28,53
2023-06-04,54
2023-06-11,58
2023-06-18,63
2023-06-25,64
2023-07-02,60
2023-07-09,70
2023-07-16,68
2023-07-23,61
2023-07-30,60
2023-08-06,62
2023-08-13,63
2023-08-20,65
2023-08-27,62
2023-09-03,59
2023-09-10,60
2023-09-17,56
2023-09-24,58
2023-10-01,61
2023-10-08,58
2023-10-15,61
2023-10-22,57
2023-10-29,55
2023-11-05,56
2023-11-12,56
2023-11-19,62
2023-11-26,57
2023-12-03,57
2023-12-10,65
2023-12-17,67
2023-12-24,61
2023-12-31,68
2024-01-07,68
2024-01-14,63
2024-01-21,62
2024-01-28,68
2024-02-04,69
2024-02-11,68
2024-02-18,68
2024-02-25,71
2024-03-03,64
2024-03-10,67
2024-03-17,69
2024-03-24,78
2024-03-31,66
2024-04-07,56
2024-04-14,62
2024-04-21,59
2024-04-28,59
2024-05-05,66
2024-05-12,68
2024-05-19,56
2024-05-26,69
2024-06-02,67
2024-06-09,72
2024-06-16,62
2024-06-23,71
2024-06-30,75
2024-07-07,73
2024-07-14,76
2024-07-21,71
2024-07-28,72
2024-08-04,74
2024-08-11,75
2024-08-18,65
2024-08-25,70
2024-09-01,72
2024-09-08,68
2024-09-15,57
2024-09-22,67
2024-09-29,69
2024-10-06,65
2024-10-13,61
2024-10-20,70
2024-10-27,66
2024-11-03,65
2024-11-10,60
2024-11-17,67
2024-11-24,72
2024-12-01,71
2024-12-08,69
2024-12-15,78
2024-12-22,67
2024-12-29,73
2025-01-05,70
2025-01-12,62
2025-01-19,69
2025-01-26,73
2025-02-02,71
2025-02-09,62
2025-02-16,77
2025-02-23,67
2025-03-02,71
2025-03-09,68
2025-03-16,76
2025-03-23,70
2025-03-30,71
2025-04-06,65
2025-04-13,51
2025-04-20,73
2025-04-27,66
2025-05-04,67
2025-05-11,60
2025-05-18,80
2025-05-25,74
2025-06-01,81
2025-06-08,79
2025-06-15,80
2025-06-22,89
2025-06-29,80
2025-07-06,73
2025-07-13,80
2025-07-20,100
2025-07-27,78
2025-08-03,73
2025-08-10,80
2025-08-17,73
2025-08-24,78
2025-08-31,73
2025-09-07,76
2025-09-14,74
2025-09-21,79
2025-09-28,77
2025-10-05,77
2025-10-12,77
2025-10-19,73
2025-10-26,72
2025-11-02,71
2025-11-09,66
2025-11-16,80
2025-11-23,70
2025-11-30,70
2025-12-07,84
2025-12-14,85
2025-12-21,73
2025-12-28,88
