,Book Retailers
2014-12-28,44
2015-01-04,26
2015-01-11,34
2015-01-18,51
2015-01-25,34
2015-02-01,57
2015-02-08,50
2015-02-15,52
2015-02-22,27
2015-03-01,38
2015-03-08,40
2015-03-15,42
2015-03-22,42
2015-03-29,54
2015-04-05,47
2015-04-12,49
2015-04-19,34
2015-04-26,0
2015-05-03,40
2015-05-10,44
2015-05-17,0
2015-05-24,41
2015-05-31,41
2015-06-07,0
2015-06-14,38
2015-06-21,40
2015-06-28,33
2015-07-05,62
2015-07-12,28
2015-07-19,36
2015-07-26,49
2015-08-02,53
2015-08-09,51
2015-08-16,0
2015-08-23,34
2015-08-30,41
2015-09-06,55
2015-09-13,35
2015-09-20,34
2015-09-27,35
2015-10-04,31
2015-10-11,27
2015-10-18,33
2015-10-25,37
2015-11-01,38
2015-11-08,52
2015-11-15,40
2015-11-22,37
2015-11-29,43
2015-12-06,36
2015-12-13,55
2015-12-20,47
2015-12-27,38
2016-01-03,48
2016-01-10,45
2016-01-17,43
2016-01-24,53
2016-01-31,39
2016-02-07,35
2016-02-14,44
2016-02-21,27
2016-02-28,64
2016-03-06,28
2016-03-13,43
2016-03-20,53
2016-03-27,0
2016-04-03,30
2016-04-10,26
2016-04-17,43
2016-04-24,35
2016-05-01,47
2016-05-08,39
2016-05-15,39
2016-05-22,36
2016-05-29,53
2016-06-05,35
2016-06-12,32
2016-06-19,51
2016-06-26,48
2016-07-03,32
2016-07-10,49
2016-07-17,34
2016-07-24,57
2016-07-31,50
2016-08-07,32
2016-08-14,0
2016-08-21,59
2016-08-28,31
2016-09-04,54
2016-09-11,0
2016-09-18,57
2016-09-25,37
2016-10-02,61
2016-10-09,37
2016-10-16,57
2016-10-23,48
2016-10-30,24
2016-11-06,51
2016-11-13,44
2016-11-20,33
2016-11-27,26
2016-12-04,56
2016-12-11,65
2016-12-18,42
2016-12-25,56
2017-01-01,55
2017-01-08,62
2017-01-15,55
2017-01-22,46
2017-01-29,54
2017-02-05,70
2017-02-12,53
2017-02-19,32
2017-02-26,32
2017-03-05,53
2017-03-12,39
2017-03-19,44
2017-03-26,46
2017-04-02,40
2017-04-09,30
2017-04-16,36
2017-04-23,26
2017-04-30,26
2017-05-07,26
2017-05-14,54
2017-05-21,36
2017-05-28,54
2017-06-04,51
2017-06-11,37
2017-06-18,45
2017-06-25,0
2017-07-02,50
2017-07-09,34
2017-07-16,40
2017-07-23,50
2017-07-30,41
2017-08-06,45
2017-08-13,44
2017-08-20,52
2017-08-27,41
2017-09-03,58
2017-09-10,34
2017-09-17,52
2017-09-24,52
2017-10-01,57
2017-10-08,41
2017-10-15,44
2017-10-22,36
2017-10-29,40
2017-11-05,41
2017-11-12,40
2017-11-19,38
2017-11-26,49
2017-12-03,33
2017-12-10,49
2017-12-17,67
2017-12-24,74
2017-12-31,67
2018-01-07,65
2018-01-14,76
2018-01-21,46
2018-01-28,51
2018-02-04,61
2018-02-11,44
2018-02-18,58
2018-02-25,45
2018-03-04,50
2018-03-11,39
2018-03-18,59
2018-03-25,21
2018-04-01,34
2018-04-08,32
2018-04-15,48
2018-04-22,60
2018-04-29,26
2018-05-06,39
2018-05-13,61
2018-05-20,45
2018-05-27,49
2018-06-03,55
2018-06-10,44
2018-06-17,60
2018-06-24,38
2018-07-01,40
2018-07-08,37
2018-07-15,39
2018-07-22,45
2018-07-29,48
2018-08-05,46
2018-08-12,57
2018-08-19,46
2018-08-26,58
2018-09-02,40
2018-09-09,45
2018-09-16,58
2018-09-23,58
2018-09-30,58
2018-10-07,38
2018-10-14,38
2018-10-21,52
2018-10-28,43
2018-11-04,43
2018-11-11,61
2018-11-18,47
2018-11-25,62
2018-12-02,67
2018-12-09,72
2018-12-16,67
2018-12-23,65
2018-12-30,72
2019-01-06,100
2019-01-13,81
2019-01-20,58
2019-01-27,72
2019-02-03,40
2019-02-10,64
2019-02-17,60
2019-02-24,62
2019-03-03,76
2019-03-10,56
2019-03-17,61
2019-03-24,44
2019-03-31,64
2019-04-07,45
2019-04-14,39
2019-04-21,36
2019-04-28,41
2019-05-05,44
2019-05-12,43
2019-05-19,55
2019-05-26,68
2019-06-02,59
2019-06-09,42
2019-06-16,62
2019-06-23,76
2019-06-30,71
2019-07-07,52
2019-07-14,62
2019-07-21,59
2019-07-28,41
2019-08-04,49
2019-08-11,72
2019-08-18,58
2019-08-25,66
2019-09-01,89
2019-09-08,65
2019-09-15,70
2019-09-22,68
2019-09-29,65
2019-10-06,47
2019-10-13,62
2019-10-20,44
2019-10-27,50
2019-11-03,51
2019-11-10,66
2019-11-17,35
2019-11-24,51
2019-12-01,87
2019-12-08,96
2019-12-15,96
2019-12-22,66
2019-12-29,100
2020-01-05,99
