,Exportation
2023-01-01,94
2023-01-08,62
2023-01-15,0
2023-01-22,0
2023-01-29,71
2023-02-05,0
2023-02-12,0
2023-02-19,79
2023-02-26,88
2023-03-05,89
2023-03-12,71
2023-03-19,54
2023-03-26,0
2023-04-02,0
2023-04-09,69
2023-04-16,0
2023-04-23,0
2023-04-30,93
2023-05-07,86
2023-05-14,68
2023-05-21,74
2023-05-28,73
2023-06-04,60
2023-06-11,54
2023-06-18,68
2023-06-25,0
2023-07-02,0
2023-07-09,80
2023-07-16,80
2023-07-23,92
2023-07-30,55
2023-08-06,0
2023-08-13,53
2023-08-20,0
2023-08-27,0
2023-09-03,62
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,56
2023-10-08,0
2023-10-15,0
2023-10-22,46
2023-10-29,59
2023-11-05,54
2023-11-12,76
2023-11-19,67
2023-11-26,0
2023-12-03,47
2023-12-10,75
2023-12-17,0
2023-12-24,51
2023-12-31,0
2024-01-07,56
2024-01-14,64
2024-01-21,0
2024-01-28,52
2024-02-04,59
2024-02-11,0
2024-02-18,0
2024-02-25,53
2024-03-03,71
2024-03-10,74
2024-03-17,51
2024-03-24,0
2024-03-31,0
2024-04-07,69
2024-04-14,0
2024-04-21,50
2024-04-28,53
2024-05-05,0
2024-05-12,51
2024-05-19,0
2024-05-26,68
2024-06-02,0
2024-06-09,84
2024-06-16,0
2024-06-23,0
2024-06-30,60
2024-07-07,0
2024-07-14,75
2024-07-21,62
2024-07-28,0
2024-08-04,52
2024-08-11,65
2024-08-18,56
2024-08-25,0
2024-09-01,52
2024-09-08,58
2024-09-15,0
2024-09-22,66
2024-09-29,0
2024-10-06,70
2024-10-13,57
2024-10-20,0
2024-10-27,74
2024-11-03,0
2024-11-10,77
2024-11-17,60
2024-11-24,0
2024-12-01,0
2024-12-08,74
2024-12-15,72
2024-12-22,0
2024-12-29,83
2025-01-05,68
2025-01-12,0
2025-01-19,0
2025-01-26,91
2025-02-02,0
2025-02-09,78
2025-02-16,64
2025-02-23,0
2025-03-02,0
2025-03-09,61
2025-03-16,61
2025-03-23,55
2025-03-30,64
2025-04-06,57
2025-04-13,71
2025-04-20,74
2025-04-27,0
2025-05-04,51
2025-05-11,0
2025-05-18,66
2025-05-25,0
2025-06-01,58
2025-06-08,79
2025-06-15,68
2025-06-22,0
2025-06-29,61
2025-07-06,59
2025-07-13,0
2025-07-20,72
2025-07-27,0
2025-08-03,100
2025-08-10,60
2025-08-17,64
2025-08-24,71
2025-08-31,80
2025-09-07,67
2025-09-14,0
2025-09-21,0
2025-09-28,53
2025-10-05,74
2025-10-12,52
2025-10-19,59
2025-10-26,62
2025-11-02,60
2025-11-09,0
2025-11-16,96
2025-11-23,62
2025-11-30,99
2025-12-07,47
2025-12-14,85
2025-12-21,95
2025-12-28,94
2026-01-04,64
2026-01-11,63
2026-01-18,79
2026-01-25,80
