,Distribution & Logistics
2014-12-28,51
2015-01-04,0
2015-01-11,0
2015-01-18,61
2015-01-25,0
2015-02-01,0
2015-02-08,51
2015-02-15,37
2015-02-22,41
2015-03-01,67
2015-03-08,54
2015-03-15,48
2015-03-22,67
2015-03-29,53
2015-04-05,0
2015-04-12,44
2015-04-19,0
2015-04-26,60
2015-05-03,53
2015-05-10,59
2015-05-17,57
2015-05-24,65
2015-05-31,78
2015-06-07,54
2015-06-14,54
2015-06-21,40
2015-06-28,66
2015-07-05,40
2015-07-12,53
2015-07-19,54
2015-07-26,49
2015-08-02,0
2015-08-09,61
2015-08-16,50
2015-08-23,53
2015-08-30,62
2015-09-06,77
2015-09-13,74
2015-09-20,0
2015-09-27,63
2015-10-04,80
2015-10-11,58
2015-10-18,58
2015-10-25,44
2015-11-01,41
2015-11-08,53
2015-11-15,56
2015-11-22,42
2015-11-29,52
2015-12-06,58
2015-12-13,59
2015-12-20,0
2015-12-27,43
2016-01-03,71
2016-01-10,44
2016-01-17,91
2016-01-24,64
2016-01-31,70
2016-02-07,53
2016-02-14,62
2016-02-21,46
2016-02-28,67
2016-03-06,46
2016-03-13,89
2016-03-20,41
2016-03-27,51
2016-04-03,93
2016-04-10,51
2016-04-17,60
2016-04-24,63
2016-05-01,60
2016-05-08,68
2016-05-15,62
2016-05-22,37
2016-05-29,71
2016-06-05,79
2016-06-12,41
2016-06-19,85
2016-06-26,77
2016-07-03,66
2016-07-10,49
2016-07-17,51
2016-07-24,0
2016-07-31,60
2016-08-07,81
2016-08-14,72
2016-08-21,100
2016-08-28,76
2016-09-04,55
2016-09-11,43
2016-09-18,56
2016-09-25,50
2016-10-02,37
2016-10-09,55
2016-10-16,66
2016-10-23,71
2016-10-30,73
2016-11-06,68
2016-11-13,40
2016-11-20,56
2016-11-27,63
2016-12-04,66
2016-12-11,45
2016-12-18,88
2016-12-25,39
2017-01-01,73
2017-01-08,0
2017-01-15,48
2017-01-22,69
2017-01-29,38
2017-02-05,61
2017-02-12,62
2017-02-19,60
2017-02-26,57
2017-03-05,74
2017-03-12,44
2017-03-19,66
2017-03-26,66
2017-04-02,44
2017-04-09,0
2017-04-16,65
2017-04-23,84
2017-04-30,70
2017-05-07,50
2017-05-14,56
2017-05-21,71
2017-05-28,56
2017-06-04,71
2017-06-11,37
2017-06-18,70
2017-06-25,55
2017-07-02,41
2017-07-09,70
2017-07-16,90
2017-07-23,71
2017-07-30,53
2017-08-06,53
2017-08-13,51
2017-08-20,49
2017-08-27,57
2017-09-03,63
2017-09-10,69
2017-09-17,44
2017-09-24,97
2017-10-01,79
2017-10-08,46
2017-10-15,53
2017-10-22,60
2017-10-29,55
2017-11-05,58
2017-11-12,52
2017-11-19,54
2017-11-26,45
2017-12-03,62
2017-12-10,47
2017-12-17,40
2017-12-24,46
2017-12-31,68
2018-01-07,47
2018-01-14,74
2018-01-21,51
2018-01-28,69
2018-02-04,52
2018-02-11,75
2018-02-18,75
2018-02-25,47
2018-03-04,61
2018-03-11,54
2018-03-18,61
2018-03-25,37
2018-04-01,72
2018-04-08,66
2018-04-15,44
2018-04-22,96
2018-04-29,67
2018-05-06,70
2018-05-13,81
2018-05-20,50
2018-05-27,75
2018-06-03,68
2018-06-10,72
2018-06-17,66
2018-06-24,55
2018-07-01,71
2018-07-08,95
2018-07-15,68
2018-07-22,39
2018-07-29,75
2018-08-05,85
2018-08-12,61
2018-08-19,100
2018-08-26,74
2018-09-02,73
2018-09-09,56
2018-09-16,52
2018-09-23,39
2018-09-30,62
2018-10-07,81
2018-10-14,80
2018-10-21,78
2018-10-28,93
2018-11-04,55
2018-11-11,84
2018-11-18,57
2018-11-25,76
2018-12-02,61
2018-12-09,67
2018-12-16,99
2018-12-23,68
2018-12-30,0
2019-01-06,71
2019-01-13,72
2019-01-20,84
2019-01-27,58
2019-02-03,61
2019-02-10,66
2019-02-17,58
2019-02-24,69
2019-03-03,72
2019-03-10,71
2019-03-17,63
2019-03-24,63
2019-03-31,56
2019-04-07,40
2019-04-14,47
2019-04-21,34
2019-04-28,56
2019-05-05,58
2019-05-12,35
2019-05-19,78
2019-05-26,51
2019-06-02,58
2019-06-09,85
2019-06-16,50
2019-06-23,75
2019-06-30,82
2019-07-07,76
2019-07-14,59
2019-07-21,65
2019-07-28,61
2019-08-04,77
2019-08-11,75
2019-08-18,77
2019-08-25,91
2019-09-01,62
2019-09-08,46
2019-09-15,71
2019-09-22,75
2019-09-29,68
2019-10-06,76
2019-10-13,70
2019-10-20,67
2019-10-27,90
2019-11-03,74
2019-11-10,67
2019-11-17,60
2019-11-24,86
2019-12-01,74
2019-12-08,56
2019-12-15,67
2019-12-22,52
2019-12-29,70
2020-01-05,70
