,Grocery & Food Retailers
2014-12-28,57
2015-01-04,33
2015-01-11,59
2015-01-18,60
2015-01-25,46
2015-02-01,45
2015-02-08,61
2015-02-15,76
2015-02-22,55
2015-03-01,58
2015-03-08,62
2015-03-15,68
2015-03-22,70
2015-03-29,60
2015-04-05,57
2015-04-12,35
2015-04-19,49
2015-04-26,50
2015-05-03,38
2015-05-10,47
2015-05-17,50
2015-05-24,56
2015-05-31,63
2015-06-07,53
2015-06-14,56
2015-06-21,63
2015-06-28,53
2015-07-05,59
2015-07-12,51
2015-07-19,80
2015-07-26,50
2015-08-02,73
2015-08-09,74
2015-08-16,56
2015-08-23,51
2015-08-30,72
2015-09-06,54
2015-09-13,62
2015-09-20,49
2015-09-27,69
2015-10-04,55
2015-10-11,59
2015-10-18,66
2015-10-25,42
2015-11-01,53
2015-11-08,54
2015-11-15,57
2015-11-22,58
2015-11-29,69
2015-12-06,51
2015-12-13,61
2015-12-20,54
2015-12-27,56
2016-01-03,66
2016-01-10,58
2016-01-17,64
2016-01-24,49
2016-01-31,77
2016-02-07,57
2016-02-14,82
2016-02-21,68
2016-02-28,89
2016-03-06,53
2016-03-13,72
2016-03-20,57
2016-03-27,58
2016-04-03,64
2016-04-10,53
2016-04-17,49
2016-04-24,53
2016-05-01,59
2016-05-08,61
2016-05-15,54
2016-05-22,55
2016-05-29,54
2016-06-05,53
2016-06-12,61
2016-06-19,67
2016-06-26,58
2016-07-03,53
2016-07-10,53
2016-07-17,57
2016-07-24,60
2016-07-31,68
2016-08-07,63
2016-08-14,48
2016-08-21,73
2016-08-28,73
2016-09-04,65
2016-09-11,78
2016-09-18,56
2016-09-25,64
2016-10-02,60
2016-10-09,56
2016-10-16,63
2016-10-23,68
2016-10-30,57
2016-11-06,46
2016-11-13,55
2016-11-20,69
2016-11-27,77
2016-12-04,71
2016-12-11,52
2016-12-18,49
2016-12-25,59
2017-01-01,49
2017-01-08,66
2017-01-15,66
2017-01-22,55
2017-01-29,49
2017-02-05,65
2017-02-12,70
2017-02-19,55
2017-02-26,66
2017-03-05,63
2017-03-12,72
2017-03-19,79
2017-03-26,67
2017-04-02,53
2017-04-09,49
2017-04-16,50
2017-04-23,58
2017-04-30,47
2017-05-07,54
2017-05-14,78
2017-05-21,58
2017-05-28,63
2017-06-04,60
2017-06-11,61
2017-06-18,86
2017-06-25,76
2017-07-02,67
2017-07-09,59
2017-07-16,70
2017-07-23,65
2017-07-30,58
2017-08-06,51
2017-08-13,56
2017-08-20,66
2017-08-27,56
2017-09-03,55
2017-09-10,40
2017-09-17,69
2017-09-24,58
2017-10-01,57
2017-10-08,57
2017-10-15,63
2017-10-22,39
2017-10-29,57
2017-11-05,59
2017-11-12,54
2017-11-19,75
2017-11-26,83
2017-12-03,62
2017-12-10,58
2017-12-17,72
2017-12-24,77
2017-12-31,87
2018-01-07,82
2018-01-14,57
2018-01-21,68
2018-01-28,62
2018-02-04,53
2018-02-11,65
2018-02-18,68
2018-02-25,75
2018-03-04,67
2018-03-11,70
2018-03-18,70
2018-03-25,71
2018-04-01,84
2018-04-08,45
2018-04-15,59
2018-04-22,76
2018-04-29,65
2018-05-06,92
2018-05-13,71
2018-05-20,62
2018-05-27,60
2018-06-03,60
2018-06-10,83
2018-06-17,72
2018-06-24,66
2018-07-01,81
2018-07-08,78
2018-07-15,67
2018-07-22,58
2018-07-29,83
2018-08-05,74
2018-08-12,70
2018-08-19,98
2018-08-26,78
2018-09-02,83
2018-09-09,84
2018-09-16,65
2018-09-23,75
2018-09-30,60
2018-10-07,78
2018-10-14,83
2018-10-21,83
2018-10-28,68
2018-11-04,70
2018-11-11,75
2018-11-18,81
2018-11-25,72
2018-12-02,78
2018-12-09,85
2018-12-16,73
2018-12-23,82
2018-12-30,70
2019-01-06,83
2019-01-13,74
2019-01-20,73
2019-01-27,74
2019-02-03,76
2019-02-10,87
2019-02-17,100
2019-02-24,77
2019-03-03,89
2019-03-10,92
2019-03-17,83
2019-03-24,89
2019-03-31,80
2019-04-07,79
2019-04-14,60
2019-04-21,56
2019-04-28,55
2019-05-05,72
2019-05-12,60
2019-05-19,73
2019-05-26,86
2019-06-02,79
2019-06-09,67
2019-06-16,73
2019-06-23,81
2019-06-30,76
2019-07-07,85
2019-07-14,93
2019-07-21,85
2019-07-28,80
2019-08-04,91
2019-08-11,63
2019-08-18,84
2019-08-25,79
2019-09-01,88
2019-09-08,83
2019-09-15,73
2019-09-22,93
2019-09-29,79
2019-10-06,91
2019-10-13,84
2019-10-20,89
2019-10-27,83
2019-11-03,84
2019-11-10,85
2019-11-17,92
2019-11-24,87
2019-12-01,75
2019-12-08,67
2019-12-15,76
2019-12-22,77
2019-12-29,86
2020-01-05,83
