,Fitness
2014-12-28,57
2015-01-04,56
2015-01-11,54
2015-01-18,58
2015-01-25,59
2015-02-01,59
2015-02-08,56
2015-02-15,62
2015-02-22,62
2015-03-01,61
2015-03-08,61
2015-03-15,57
2015-03-22,61
2015-03-29,59
2015-04-05,58
2015-04-12,49
2015-04-19,63
2015-04-26,57
2015-05-03,62
2015-05-10,66
2015-05-17,66
2015-05-24,63
2015-05-31,65
2015-06-07,67
2015-06-14,60
2015-06-21,73
2015-06-28,68
2015-07-05,65
2015-07-12,75
2015-07-19,72
2015-07-26,68
2015-08-02,70
2015-08-09,72
2015-08-16,67
2015-08-23,63
2015-08-30,64
2015-09-06,72
2015-09-13,67
2015-09-20,65
2015-09-27,62
2015-10-04,74
2015-10-11,69
2015-10-18,64
2015-10-25,63
2015-11-01,68
2015-11-08,66
2015-11-15,65
2015-11-22,63
2015-11-29,68
2015-12-06,69
2015-12-13,77
2015-12-20,72
2015-12-27,70
2016-01-03,71
2016-01-10,69
2016-01-17,71
2016-01-24,71
2016-01-31,67
2016-02-07,75
2016-02-14,78
2016-02-21,70
2016-02-28,77
2016-03-06,67
2016-03-13,62
2016-03-20,65
2016-03-27,69
2016-04-03,65
2016-04-10,53
2016-04-17,67
2016-04-24,67
2016-05-01,73
2016-05-08,83
2016-05-15,66
2016-05-22,78
2016-05-29,78
2016-06-05,76
2016-06-12,73
2016-06-19,80
2016-06-26,83
2016-07-03,84
2016-07-10,83
2016-07-17,76
2016-07-24,88
2016-07-31,84
2016-08-07,92
2016-08-14,88
2016-08-21,79
2016-08-28,89
2016-09-04,83
2016-09-11,92
2016-09-18,90
2016-09-25,85
2016-10-02,92
2016-10-09,89
2016-10-16,84
2016-10-23,87
2016-10-30,89
2016-11-06,85
2016-11-13,79
2016-11-20,83
2016-11-27,84
2016-12-04,85
2016-12-11,82
2016-12-18,87
2016-12-25,90
2017-01-01,94
2017-01-08,91
2017-01-15,88
2017-01-22,87
2017-01-29,84
2017-02-05,83
2017-02-12,86
2017-02-19,87
2017-02-26,84
2017-03-05,86
2017-03-12,87
2017-03-19,82
2017-03-26,86
2017-04-02,80
2017-04-09,67
2017-04-16,87
2017-04-23,80
2017-04-30,80
2017-05-07,73
2017-05-14,82
2017-05-21,83
2017-05-28,98
2017-06-04,83
2017-06-11,78
2017-06-18,84
2017-06-25,81
2017-07-02,99
2017-07-09,88
2017-07-16,89
2017-07-23,90
2017-07-30,86
2017-08-06,89
2017-08-13,90
2017-08-20,90
2017-08-27,87
2017-09-03,89
2017-09-10,91
2017-09-17,96
2017-09-24,100
2017-10-01,84
2017-10-08,87
2017-10-15,85
2017-10-22,82
2017-10-29,88
2017-11-05,82
2017-11-12,87
2017-11-19,84
2017-11-26,83
2017-12-03,86
2017-12-10,81
2017-12-17,83
2017-12-24,84
2017-12-31,89
2018-01-07,92
2018-01-14,85
2018-01-21,80
2018-01-28,84
2018-02-04,85
2018-02-11,85
2018-02-18,84
2018-02-25,82
2018-03-04,82
2018-03-11,78
2018-03-18,82
2018-03-25,89
2018-04-01,77
2018-04-08,68
2018-04-15,75
2018-04-22,78
2018-04-29,79
2018-05-06,80
2018-05-13,79
2018-05-20,78
2018-05-27,77
2018-06-03,76
2018-06-10,81
2018-06-17,81
2018-06-24,77
2018-07-01,87
2018-07-08,84
2018-07-15,87
2018-07-22,86
2018-07-29,89
2018-08-05,83
2018-08-12,86
2018-08-19,80
2018-08-26,81
2018-09-02,88
2018-09-09,87
2018-09-16,85
2018-09-23,75
2018-09-30,81
2018-10-07,83
2018-10-14,89
2018-10-21,86
2018-10-28,83
2018-11-04,79
2018-11-11,76
2018-11-18,79
2018-11-25,81
2018-12-02,86
2018-12-09,83
2018-12-16,89
2018-12-23,88
2018-12-30,85
2019-01-06,90
2019-01-13,91
2019-01-20,85
2019-01-27,86
2019-02-03,85
2019-02-10,83
2019-02-17,91
2019-02-24,85
2019-03-03,79
2019-03-10,84
2019-03-17,81
2019-03-24,83
2019-03-31,81
2019-04-07,72
2019-04-14,71
2019-04-21,68
2019-04-28,79
2019-05-05,81
2019-05-12,72
2019-05-19,73
2019-05-26,83
2019-06-02,85
2019-06-09,85
2019-06-16,84
2019-06-23,84
2019-06-30,91
2019-07-07,82
2019-07-14,82
2019-07-21,89
2019-07-28,90
2019-08-04,92
2019-08-11,80
2019-08-18,85
2019-08-25,90
2019-09-01,82
2019-09-08,79
2019-09-15,81
2019-09-22,79
2019-09-29,81
2019-10-06,83
2019-10-13,79
2019-10-20,88
2019-10-27,82
2019-11-03,81
2019-11-10,75
2019-11-17,82
2019-11-24,81
2019-12-01,80
2019-12-08,80
2019-12-15,87
2019-12-22,85
2019-12-29,87
2020-01-05,86
