,Manufacturing
2023-01-01,71
2023-01-08,81
2023-01-15,70
2023-01-22,70
2023-01-29,76
2023-02-05,86
2023-02-12,76
2023-02-19,75
2023-02-26,83
2023-03-05,65
2023-03-12,78
2023-03-19,71
2023-03-26,76
2023-04-02,57
2023-04-09,47
2023-04-16,66
2023-04-23,78
2023-04-30,72
2023-05-07,82
2023-05-14,78
2023-05-21,94
2023-05-28,99
2023-06-04,86
2023-06-11,81
2023-06-18,91
2023-06-25,80
2023-07-02,75
2023-07-09,77
2023-07-16,86
2023-07-23,87
2023-07-30,71
2023-08-06,82
2023-08-13,79
2023-08-20,72
2023-08-27,71
2023-09-03,84
2023-09-10,72
2023-09-17,76
2023-09-24,71
2023-10-01,70
2023-10-08,70
2023-10-15,79
2023-10-22,67
2023-10-29,76
2023-11-05,73
2023-11-12,83
2023-11-19,79
2023-11-26,77
2023-12-03,78
2023-12-10,84
2023-12-17,73
2023-12-24,69
2023-12-31,76
2024-01-07,82
2024-01-14,73
2024-01-21,73
2024-01-28,78
2024-02-04,83
2024-02-11,86
2024-02-18,72
2024-02-25,83
2024-03-03,76
2024-03-10,69
2024-03-17,81
2024-03-24,90
2024-03-31,72
2024-04-07,69
2024-04-14,68
2024-04-21,72
2024-04-28,80
2024-05-05,84
2024-05-12,80
2024-05-19,68
2024-05-26,78
2024-06-02,74
2024-06-09,92
2024-06-16,93
2024-06-23,77
2024-06-30,84
2024-07-07,81
2024-07-14,86
2024-07-21,81
2024-07-28,84
2024-08-04,80
2024-08-11,79
2024-08-18,73
2024-08-25,88
2024-09-01,74
2024-09-08,76
2024-09-15,65
2024-09-22,63
2024-09-29,81
2024-10-06,79
2024-10-13,75
2024-10-20,88
2024-10-27,80
2024-11-03,79
2024-11-10,69
2024-11-17,88
2024-11-24,85
2024-12-01,90
2024-12-08,87
2024-12-15,72
2024-12-22,73
2024-12-29,80
2025-01-05,77
2025-01-12,81
2025-01-19,83
2025-01-26,85
2025-02-02,80
2025-02-09,73
2025-02-16,85
2025-02-23,83
2025-03-02,86
2025-03-09,86
2025-03-16,90
2025-03-23,71
2025-03-30,77
2025-04-06,69
2025-04-13,52
2025-04-20,75
2025-04-27,79
2025-05-04,71
2025-05-11,67
2025-05-18,96
2025-05-25,87
2025-06-01,100
2025-06-08,86
2025-06-15,88
2025-06-22,89
2025-06-29,90
2025-07-06,80
2025-07-13,91
2025-07-20,81
2025-07-27,86
2025-08-03,81
2025-08-10,84
2025-08-17,90
2025-08-24,76
2025-08-31,82
2025-09-07,91
2025-09-14,77
2025-09-21,86
2025-09-28,78
2025-10-05,85
2025-10-12,83
2025-10-19,77
2025-10-26,82
2025-11-02,79
2025-11-09,85
2025-11-16,84
2025-11-23,70
2025-11-30,61
2025-12-07,81
2025-12-14,82
2025-12-21,81
2025-12-28,75
