,Manufacturing
2014-12-28,0
2015-01-04,0
2015-01-11,0
2015-01-18,0
2015-01-25,0
2015-02-01,74
2015-02-08,0
2015-02-15,50
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,47
2015-04-12,50
2015-04-19,0
2015-04-26,0
2015-05-03,0
2015-05-10,77
2015-05-17,45
2015-05-24,0
2015-05-31,0
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,65
2015-08-09,0
2015-08-16,52
2015-08-23,53
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,43
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,77
2015-11-01,72
2015-11-08,45
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,70
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,57
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,64
2016-02-28,0
2016-03-06,0
2016-03-13,88
2016-03-20,83
2016-03-27,56
2016-04-03,0
2016-04-10,86
2016-04-17,54
2016-04-24,59
2016-05-01,47
2016-05-08,49
2016-05-15,61
2016-05-22,64
2016-05-29,0
2016-06-05,45
2016-06-12,0
2016-06-19,0
2016-06-26,49
2016-07-03,56
2016-07-10,58
2016-07-17,64
2016-07-24,59
2016-07-31,0
2016-08-07,0
2016-08-14,98
2016-08-21,50
2016-08-28,0
2016-09-04,0
2016-09-11,61
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,67
2017-02-12,66
2017-02-19,0
2017-02-26,45
2017-03-05,0
2017-03-12,0
2017-03-19,54
2017-03-26,42
2017-04-02,54
2017-04-09,0
2017-04-16,0
2017-04-23,66
2017-04-30,51
2017-05-07,49
2017-05-14,100
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,55
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,46
2017-07-16,62
2017-07-23,58
2017-07-30,72
2017-08-06,0
2017-08-13,53
2017-08-20,46
2017-08-27,62
2017-09-03,0
2017-09-10,49
2017-09-17,0
2017-09-24,46
2017-10-01,65
2017-10-08,64
2017-10-15,56
2017-10-22,54
2017-10-29,44
2017-11-05,63
2017-11-12,58
2017-11-19,44
2017-11-26,46
2017-12-03,49
2017-12-10,0
2017-12-17,43
2017-12-24,68
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,40
2018-02-04,0
2018-02-11,53
2018-02-18,46
2018-02-25,0
2018-03-04,56
2018-03-11,0
2018-03-18,0
2018-03-25,56
2018-04-01,51
2018-04-08,50
2018-04-15,67
2018-04-22,49
2018-04-29,42
2018-05-06,0
2018-05-13,40
2018-05-20,41
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,38
2018-07-08,0
2018-07-15,54
2018-07-22,44
2018-07-29,55
2018-08-05,0
2018-08-12,0
2018-08-19,41
2018-08-26,56
2018-09-02,83
2018-09-09,43
2018-09-16,51
2018-09-23,41
2018-09-30,39
2018-10-07,71
2018-10-14,98
2018-10-21,74
2018-10-28,66
2018-11-04,66
2018-11-11,0
2018-11-18,55
2018-11-25,0
2018-12-02,53
2018-12-09,65
2018-12-16,59
2018-12-23,0
2018-12-30,43
2019-01-06,41
2019-01-13,51
2019-01-20,0
2019-01-27,38
2019-02-03,38
2019-02-10,59
2019-02-17,52
2019-02-24,49
2019-03-03,54
2019-03-10,37
2019-03-17,82
2019-03-24,74
2019-03-31,0
2019-04-07,65
2019-04-14,65
2019-04-21,38
2019-04-28,61
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,43
2019-06-09,0
2019-06-16,81
2019-06-23,0
2019-06-30,41
2019-07-07,49
2019-07-14,66
2019-07-21,39
2019-07-28,54
2019-08-04,69
2019-08-11,0
2019-08-18,46
2019-08-25,0
2019-09-01,49
2019-09-08,57
2019-09-15,82
2019-09-22,63
2019-09-29,71
2019-10-06,40
2019-10-13,56
2019-10-20,39
2019-10-27,58
2019-11-03,41
2019-11-10,66
2019-11-17,35
2019-11-24,0
2019-12-01,57
2019-12-08,36
2019-12-15,0
2019-12-22,38
2019-12-29,38
2020-01-05,47
