,Retail Trade
2023-01-01,62
2023-01-08,64
2023-01-15,64
2023-01-22,62
2023-01-29,64
2023-02-05,61
2023-02-12,64
2023-02-19,67
2023-02-26,69
2023-03-05,66
2023-03-12,70
2023-03-19,70
2023-03-26,69
2023-04-02,68
2023-04-09,56
2023-04-16,58
2023-04-23,70
2023-04-30,60
2023-05-07,69
2023-05-14,66
2023-05-21,69
2023-05-28,65
2023-06-04,66
2023-06-11,68
2023-06-18,68
2023-06-25,66
2023-07-02,77
2023-07-09,78
2023-07-16,71
2023-07-23,70
2023-07-30,63
2023-08-06,76
2023-08-13,68
2023-08-20,74
2023-08-27,67
2023-09-03,75
2023-09-10,74
2023-09-17,76
2023-09-24,73
2023-10-01,76
2023-10-08,69
2023-10-15,79
2023-10-22,62
2023-10-29,69
2023-11-05,72
2023-11-12,73
2023-11-19,76
2023-11-26,77
2023-12-03,82
2023-12-10,74
2023-12-17,84
2023-12-24,86
2023-12-31,73
2024-01-07,71
2024-01-14,76
2024-01-21,72
2024-01-28,77
2024-02-04,73
2024-02-11,78
2024-02-18,67
2024-02-25,76
2024-03-03,76
2024-03-10,74
2024-03-17,83
2024-03-24,81
2024-03-31,78
2024-04-07,62
2024-04-14,60
2024-04-21,71
2024-04-28,82
2024-05-05,74
2024-05-12,68
2024-05-19,63
2024-05-26,71
2024-06-02,77
2024-06-09,80
2024-06-16,65
2024-06-23,73
2024-06-30,84
2024-07-07,81
2024-07-14,78
2024-07-21,81
2024-07-28,80
2024-08-04,84
2024-08-11,78
2024-08-18,65
2024-08-25,77
2024-09-01,80
2024-09-08,73
2024-09-15,62
2024-09-22,62
2024-09-29,73
2024-10-06,76
2024-10-13,75
2024-10-20,79
2024-10-27,76
2024-11-03,70
2024-11-10,72
2024-11-17,76
2024-11-24,81
2024-12-01,74
2024-12-08,86
2024-12-15,94
2024-12-22,90
2024-12-29,84
2025-01-05,86
2025-01-12,77
2025-01-19,74
2025-01-26,79
2025-02-02,77
2025-02-09,70
2025-02-16,80
2025-02-23,78
2025-03-02,84
2025-03-09,78
2025-03-16,96
2025-03-23,78
2025-03-30,80
2025-04-06,78
2025-04-13,64
2025-04-20,83
2025-04-27,74
2025-05-04,77
2025-05-11,64
2025-05-18,81
2025-05-25,79
2025-06-01,84
2025-06-08,80
2025-06-15,89
2025-06-22,80
2025-06-29,79
2025-07-06,79
2025-07-13,94
2025-07-20,85
2025-07-27,82
2025-08-03,75
2025-08-10,80
2025-08-17,90
2025-08-24,83
2025-08-31,83
2025-09-07,71
2025-09-14,81
2025-09-21,80
2025-09-28,84
2025-10-05,69
2025-10-12,82
2025-10-19,71
2025-10-26,77
2025-11-02,77
2025-11-09,85
2025-11-16,88
2025-11-23,79
2025-11-30,76
2025-12-07,97
2025-12-14,100
2025-12-21,100
2025-12-28,97
