,Sports
2014-12-28,23
2015-01-04,20
2015-01-11,22
2015-01-18,21
2015-01-25,22
2015-02-01,20
2015-02-08,21
2015-02-15,27
2015-02-22,25
2015-03-01,23
2015-03-08,30
2015-03-15,28
2015-03-22,26
2015-03-29,21
2015-04-05,21
2015-04-12,22
2015-04-19,23
2015-04-26,23
2015-05-03,25
2015-05-10,26
2015-05-17,22
2015-05-24,21
2015-05-31,19
2015-06-07,19
2015-06-14,20
2015-06-21,21
2015-06-28,21
2015-07-05,23
2015-07-12,21
2015-07-19,21
2015-07-26,19
2015-08-02,23
2015-08-09,25
2015-08-16,26
2015-08-23,25
2015-08-30,21
2015-09-06,18
2015-09-13,20
2015-09-20,19
2015-09-27,19
2015-10-04,19
2015-10-11,20
2015-10-18,21
2015-10-25,21
2015-11-01,21
2015-11-08,22
2015-11-15,19
2015-11-22,23
2015-11-29,19
2015-12-06,21
2015-12-13,20
2015-12-20,25
2015-12-27,26
2016-01-03,21
2016-01-10,26
2016-01-17,25
2016-01-24,27
2016-01-31,24
2016-02-07,26
2016-02-14,26
2016-02-21,25
2016-02-28,30
2016-03-06,30
2016-03-13,34
2016-03-20,32
2016-03-27,29
2016-04-03,29
2016-04-10,30
2016-04-17,28
2016-04-24,29
2016-05-01,27
2016-05-08,31
2016-05-15,28
2016-05-22,29
2016-05-29,22
2016-06-05,34
2016-06-12,51
2016-06-19,51
2016-06-26,50
2016-07-03,36
2016-07-10,35
2016-07-17,28
2016-07-24,26
2016-07-31,26
2016-08-07,28
2016-08-14,43
2016-08-21,32
2016-08-28,15
2016-09-04,22
2016-09-11,21
2016-09-18,12
2016-09-25,8
2016-10-02,8
2016-10-09,7
2016-10-16,8
2016-10-23,10
2016-10-30,8
2016-11-06,8
2016-11-13,8
2016-11-20,8
2016-11-27,9
2016-12-04,9
2016-12-11,9
2016-12-18,9
2016-12-25,9
2017-01-01,9
2017-01-08,8
2017-01-15,11
2017-01-22,10
2017-01-29,13
2017-02-05,23
2017-02-12,24
2017-02-19,22
2017-02-26,23
2017-03-05,29
2017-03-12,26
2017-03-19,25
2017-03-26,26
2017-04-02,29
2017-04-09,30
2017-04-16,32
2017-04-23,30
2017-04-30,27
2017-05-07,27
2017-05-14,24
2017-05-21,22
2017-05-28,23
2017-06-04,26
2017-06-11,26
2017-06-18,20
2017-06-25,16
2017-07-02,19
2017-07-09,20
2017-07-16,20
2017-07-23,20
2017-07-30,18
2017-08-06,24
2017-08-13,25
2017-08-20,24
2017-08-27,24
2017-09-03,19
2017-09-10,18
2017-09-17,22
2017-09-24,23
2017-10-01,19
2017-10-08,22
2017-10-15,21
2017-10-22,24
2017-10-29,23
2017-11-05,19
2017-11-12,23
2017-11-19,24
2017-11-26,25
2017-12-03,27
2017-12-10,28
2017-12-17,26
2017-12-24,25
2017-12-31,23
2018-01-07,25
2018-01-14,31
2018-01-21,36
2018-01-28,31
2018-02-04,29
2018-02-11,31
2018-02-18,29
2018-02-25,23
2018-03-04,30
2018-03-11,30
2018-03-18,24
2018-03-25,20
2018-04-01,29
2018-04-08,35
2018-04-15,31
2018-04-22,32
2018-04-29,33
2018-05-06,29
2018-05-13,28
2018-05-20,31
2018-05-27,25
2018-06-03,25
2018-06-10,54
2018-06-17,93
2018-06-24,100
2018-07-01,88
2018-07-08,55
2018-07-15,37
2018-07-22,23
2018-07-29,26
2018-08-05,27
2018-08-12,26
2018-08-19,23
2018-08-26,23
2018-09-02,23
2018-09-09,30
2018-09-16,36
2018-09-23,37
2018-09-30,25
2018-10-07,23
2018-10-14,23
2018-10-21,32
2018-10-28,29
2018-11-04,26
2018-11-11,24
2018-11-18,21
2018-11-25,22
2018-12-02,25
2018-12-09,27
2018-12-16,30
2018-12-23,30
2018-12-30,31
2019-01-06,28
2019-01-13,29
2019-01-20,32
2019-01-27,31
2019-02-03,31
2019-02-10,29
2019-02-17,31
2019-02-24,32
2019-03-03,33
2019-03-10,37
2019-03-17,26
2019-03-24,28
2019-03-31,29
2019-04-07,31
2019-04-14,36
2019-04-21,32
2019-04-28,32
2019-05-05,33
2019-05-12,28
2019-05-19,22
2019-05-26,30
2019-06-02,47
2019-06-09,41
2019-06-16,51
2019-06-23,50
2019-06-30,60
2019-07-07,42
2019-07-14,28
2019-07-21,23
2019-07-28,24
2019-08-04,25
2019-08-11,26
2019-08-18,26
2019-08-25,24
2019-09-01,23
2019-09-08,23
2019-09-15,26
2019-09-22,24
2019-09-29,28
2019-10-06,24
2019-10-13,20
2019-10-20,26
2019-10-27,27
2019-11-03,28
2019-11-10,28
2019-11-17,23
2019-11-24,24
2019-12-01,28
2019-12-08,33
2019-12-15,40
2019-12-22,34
2019-12-29,30
2020-01-05,31
