,Mass Merchants & Department Stores
2023-01-01,68
2023-01-08,64
2023-01-15,65
2023-01-22,70
2023-01-29,72
2023-02-05,68
2023-02-12,75
2023-02-19,65
2023-02-26,72
2023-03-05,67
2023-03-12,68
2023-03-19,66
2023-03-26,70
2023-04-02,75
2023-04-09,69
2023-04-16,71
2023-04-23,64
2023-04-30,64
2023-05-07,67
2023-05-14,69
2023-05-21,68
2023-05-28,73
2023-06-04,83
2023-06-11,70
2023-06-18,71
2023-06-25,74
2023-07-02,73
2023-07-09,74
2023-07-16,78
2023-07-23,77
2023-07-30,69
2023-08-06,78
2023-08-13,80
2023-08-20,74
2023-08-27,79
2023-09-03,73
2023-09-10,65
2023-09-17,70
2023-09-24,78
2023-10-01,67
2023-10-08,67
2023-10-15,73
2023-10-22,75
2023-10-29,73
2023-11-05,73
2023-11-12,74
2023-11-19,76
2023-11-26,68
2023-12-03,71
2023-12-10,73
2023-12-17,80
2023-12-24,81
2023-12-31,78
2024-01-07,77
2024-01-14,67
2024-01-21,71
2024-01-28,78
2024-02-04,74
2024-02-11,76
2024-02-18,74
2024-02-25,71
2024-03-03,70
2024-03-10,71
2024-03-17,71
2024-03-24,86
2024-03-31,72
2024-04-07,79
2024-04-14,76
2024-04-21,68
2024-04-28,70
2024-05-05,76
2024-05-12,78
2024-05-19,69
2024-05-26,76
2024-06-02,78
2024-06-09,70
2024-06-16,69
2024-06-23,73
2024-06-30,72
2024-07-07,73
2024-07-14,73
2024-07-21,73
2024-07-28,71
2024-08-04,76
2024-08-11,84
2024-08-18,79
2024-08-25,75
2024-09-01,71
2024-09-08,73
2024-09-15,75
2024-09-22,68
2024-09-29,71
2024-10-06,73
2024-10-13,75
2024-10-20,77
2024-10-27,73
2024-11-03,76
2024-11-10,77
2024-11-17,81
2024-11-24,86
2024-12-01,80
2024-12-08,81
2024-12-15,83
2024-12-22,96
2024-12-29,83
2025-01-05,73
2025-01-12,78
2025-01-19,88
2025-01-26,78
2025-02-02,83
2025-02-09,77
2025-02-16,77
2025-02-23,78
2025-03-02,80
2025-03-09,83
2025-03-16,82
2025-03-23,79
2025-03-30,83
2025-04-06,74
2025-04-13,73
2025-04-20,70
2025-04-27,71
2025-05-04,72
2025-05-11,68
2025-05-18,79
2025-05-25,83
2025-06-01,80
2025-06-08,78
2025-06-15,80
2025-06-22,77
2025-06-29,82
2025-07-06,78
2025-07-13,77
2025-07-20,72
2025-07-27,80
2025-08-03,79
2025-08-10,87
2025-08-17,80
2025-08-24,78
2025-08-31,80
2025-09-07,72
2025-09-14,69
2025-09-21,68
2025-09-28,68
2025-10-05,73
2025-10-12,77
2025-10-19,76
2025-10-26,76
2025-11-02,72
2025-11-09,80
2025-11-16,77
2025-11-23,82
2025-11-30,73
2025-12-07,89
2025-12-14,90
2025-12-21,100
2025-12-28,90
