,Doctors' Offices
2014-12-28,22
2015-01-04,23
2015-01-11,21
2015-01-18,21
2015-01-25,21
2015-02-01,23
2015-02-08,25
2015-02-15,26
2015-02-22,24
2015-03-01,23
2015-03-08,25
2015-03-15,25
2015-03-22,24
2015-03-29,27
2015-04-05,29
2015-04-12,26
2015-04-19,26
2015-04-26,24
2015-05-03,26
2015-05-10,27
2015-05-17,27
2015-05-24,24
2015-05-31,25
2015-06-07,25
2015-06-14,25
2015-06-21,30
2015-06-28,43
2015-07-05,38
2015-07-12,36
2015-07-19,35
2015-07-26,40
2015-08-02,40
2015-08-09,37
2015-08-16,39
2015-08-23,37
2015-08-30,38
2015-09-06,38
2015-09-13,33
2015-09-20,33
2015-09-27,32
2015-10-04,34
2015-10-11,34
2015-10-18,29
2015-10-25,30
2015-11-01,31
2015-11-08,23
2015-11-15,27
2015-11-22,29
2015-11-29,26
2015-12-06,28
2015-12-13,30
2015-12-20,26
2015-12-27,29
2016-01-03,31
2016-01-10,30
2016-01-17,31
2016-01-24,30
2016-01-31,35
2016-02-07,36
2016-02-14,33
2016-02-21,36
2016-02-28,41
2016-03-06,36
2016-03-13,36
2016-03-20,29
2016-03-27,32
2016-04-03,32
2016-04-10,35
2016-04-17,32
2016-04-24,32
2016-05-01,33
2016-05-08,35
2016-05-15,32
2016-05-22,34
2016-05-29,35
2016-06-05,35
2016-06-12,35
2016-06-19,36
2016-06-26,47
2016-07-03,37
2016-07-10,38
2016-07-17,40
2016-07-24,40
2016-07-31,40
2016-08-07,41
2016-08-14,38
2016-08-21,42
2016-08-28,40
2016-09-04,40
2016-09-11,40
2016-09-18,41
2016-09-25,38
2016-10-02,40
2016-10-09,34
2016-10-16,40
2016-10-23,35
2016-10-30,39
2016-11-06,39
2016-11-13,36
2016-11-20,35
2016-11-27,35
2016-12-04,41
2016-12-11,39
2016-12-18,42
2016-12-25,43
2017-01-01,41
2017-01-08,40
2017-01-15,39
2017-01-22,36
2017-01-29,39
2017-02-05,39
2017-02-12,39
2017-02-19,40
2017-02-26,36
2017-03-05,35
2017-03-12,39
2017-03-19,43
2017-03-26,40
2017-04-02,37
2017-04-09,38
2017-04-16,38
2017-04-23,37
2017-04-30,37
2017-05-07,40
2017-05-14,40
2017-05-21,40
2017-05-28,42
2017-06-04,42
2017-06-11,44
2017-06-18,44
2017-06-25,60
2017-07-02,48
2017-07-09,50
2017-07-16,53
2017-07-23,47
2017-07-30,46
2017-08-06,48
2017-08-13,47
2017-08-20,44
2017-08-27,46
2017-09-03,47
2017-09-10,47
2017-09-17,45
2017-09-24,45
2017-10-01,45
2017-10-08,48
2017-10-15,43
2017-10-22,48
2017-10-29,49
2017-11-05,47
2017-11-12,50
2017-11-19,47
2017-11-26,47
2017-12-03,51
2017-12-10,49
2017-12-17,53
2017-12-24,54
2017-12-31,49
2018-01-07,52
2018-01-14,50
2018-01-21,50
2018-01-28,54
2018-02-04,53
2018-02-11,55
2018-02-18,54
2018-02-25,51
2018-03-04,57
2018-03-11,60
2018-03-18,56
2018-03-25,62
2018-04-01,60
2018-04-08,59
2018-04-15,57
2018-04-22,55
2018-04-29,58
2018-05-06,58
2018-05-13,57
2018-05-20,59
2018-05-27,57
2018-06-03,59
2018-06-10,62
2018-06-17,64
2018-06-24,66
2018-07-01,80
2018-07-08,93
2018-07-15,70
2018-07-22,70
2018-07-29,71
2018-08-05,69
2018-08-12,73
2018-08-19,70
2018-08-26,75
2018-09-02,82
2018-09-09,78
2018-09-16,82
2018-09-23,84
2018-09-30,83
2018-10-07,84
2018-10-14,73
2018-10-21,81
2018-10-28,83
2018-11-04,63
2018-11-11,75
2018-11-18,74
2018-11-25,77
2018-12-02,74
2018-12-09,75
2018-12-16,77
2018-12-23,84
2018-12-30,80
2019-01-06,79
2019-01-13,75
2019-01-20,78
2019-01-27,77
2019-02-03,78
2019-02-10,83
2019-02-17,84
2019-02-24,74
2019-03-03,79
2019-03-10,79
2019-03-17,81
2019-03-24,87
2019-03-31,77
2019-04-07,80
2019-04-14,79
2019-04-21,75
2019-04-28,81
2019-05-05,80
2019-05-12,82
2019-05-19,76
2019-05-26,85
2019-06-02,80
2019-06-09,92
2019-06-16,90
2019-06-23,86
2019-06-30,100
2019-07-07,85
2019-07-14,91
2019-07-21,88
2019-07-28,92
2019-08-04,84
2019-08-11,83
2019-08-18,98
2019-08-25,95
2019-09-01,88
2019-09-08,93
2019-09-15,94
2019-09-22,94
2019-09-29,83
2019-10-06,80
2019-10-13,89
2019-10-20,72
2019-10-27,80
2019-11-03,87
2019-11-10,81
2019-11-17,89
2019-11-24,83
2019-12-01,86
2019-12-08,80
2019-12-15,80
2019-12-22,87
2019-12-29,78
2020-01-05,80
