,Architecture
2014-12-28,35
2015-01-04,41
2015-01-11,38
2015-01-18,39
2015-01-25,39
2015-02-01,42
2015-02-08,42
2015-02-15,45
2015-02-22,44
2015-03-01,41
2015-03-08,46
2015-03-15,48
2015-03-22,47
2015-03-29,47
2015-04-05,46
2015-04-12,46
2015-04-19,43
2015-04-26,41
2015-05-03,44
2015-05-10,44
2015-05-17,45
2015-05-24,44
2015-05-31,44
2015-06-07,44
2015-06-14,52
2015-06-21,55
2015-06-28,61
2015-07-05,62
2015-07-12,60
2015-07-19,65
2015-07-26,66
2015-08-02,67
2015-08-09,62
2015-08-16,65
2015-08-23,60
2015-08-30,64
2015-09-06,65
2015-09-13,60
2015-09-20,61
2015-09-27,61
2015-10-04,67
2015-10-11,59
2015-10-18,52
2015-10-25,55
2015-11-01,53
2015-11-08,40
2015-11-15,51
2015-11-22,51
2015-11-29,52
2015-12-06,50
2015-12-13,52
2015-12-20,52
2015-12-27,49
2016-01-03,52
2016-01-10,49
2016-01-17,52
2016-01-24,50
2016-01-31,54
2016-02-07,53
2016-02-14,54
2016-02-21,54
2016-02-28,51
2016-03-06,55
2016-03-13,54
2016-03-20,49
2016-03-27,55
2016-04-03,54
2016-04-10,51
2016-04-17,53
2016-04-24,53
2016-05-01,55
2016-05-08,54
2016-05-15,54
2016-05-22,57
2016-05-29,57
2016-06-05,58
2016-06-12,59
2016-06-19,58
2016-06-26,59
2016-07-03,61
2016-07-10,59
2016-07-17,65
2016-07-24,62
2016-07-31,66
2016-08-07,64
2016-08-14,55
2016-08-21,67
2016-08-28,68
2016-09-04,69
2016-09-11,72
2016-09-18,72
2016-09-25,69
2016-10-02,67
2016-10-09,62
2016-10-16,67
2016-10-23,59
2016-10-30,59
2016-11-06,60
2016-11-13,58
2016-11-20,58
2016-11-27,62
2016-12-04,60
2016-12-11,61
2016-12-18,66
2016-12-25,65
2017-01-01,65
2017-01-08,58
2017-01-15,62
2017-01-22,61
2017-01-29,63
2017-02-05,63
2017-02-12,64
2017-02-19,62
2017-02-26,63
2017-03-05,62
2017-03-12,60
2017-03-19,71
2017-03-26,70
2017-04-02,67
2017-04-09,73
2017-04-16,77
2017-04-23,81
2017-04-30,86
2017-05-07,83
2017-05-14,77
2017-05-21,83
2017-05-28,79
2017-06-04,81
2017-06-11,87
2017-06-18,85
2017-06-25,82
2017-07-02,89
2017-07-09,85
2017-07-16,86
2017-07-23,82
2017-07-30,81
2017-08-06,77
2017-08-13,80
2017-08-20,85
2017-08-27,80
2017-09-03,77
2017-09-10,79
2017-09-17,80
2017-09-24,72
2017-10-01,72
2017-10-08,84
2017-10-15,77
2017-10-22,74
2017-10-29,81
2017-11-05,80
2017-11-12,80
2017-11-19,90
2017-11-26,100
2017-12-03,80
2017-12-10,82
2017-12-17,87
2017-12-24,79
2017-12-31,77
2018-01-07,79
2018-01-14,78
2018-01-21,73
2018-01-28,84
2018-02-04,83
2018-02-11,80
2018-02-18,80
2018-02-25,73
2018-03-04,93
2018-03-11,91
2018-03-18,87
2018-03-25,90
2018-04-01,92
2018-04-08,90
2018-04-15,83
2018-04-22,89
2018-04-29,93
2018-05-06,79
2018-05-13,86
2018-05-20,92
2018-05-27,91
2018-06-03,89
2018-06-10,83
2018-06-17,82
2018-06-24,86
2018-07-01,85
2018-07-08,88
2018-07-15,90
2018-07-22,89
2018-07-29,93
2018-08-05,88
2018-08-12,84
2018-08-19,84
2018-08-26,89
2018-09-02,88
2018-09-09,85
2018-09-16,98
2018-09-23,90
2018-09-30,90
2018-10-07,93
2018-10-14,80
2018-10-21,91
2018-10-28,89
2018-11-04,71
2018-11-11,87
2018-11-18,87
2018-11-25,83
2018-12-02,88
2018-12-09,84
2018-12-16,87
2018-12-23,89
2018-12-30,83
2019-01-06,87
2019-01-13,77
2019-01-20,79
2019-01-27,86
2019-02-03,78
2019-02-10,77
2019-02-17,82
2019-02-24,77
2019-03-03,81
2019-03-10,89
2019-03-17,91
2019-03-24,90
2019-03-31,92
2019-04-07,92
2019-04-14,98
2019-04-21,77
2019-04-28,76
2019-05-05,83
2019-05-12,80
2019-05-19,78
2019-05-26,83
2019-06-02,89
2019-06-09,85
2019-06-16,90
2019-06-23,85
2019-06-30,80
2019-07-07,81
2019-07-14,88
2019-07-21,86
2019-07-28,84
2019-08-04,85
2019-08-11,77
2019-08-18,93
2019-08-25,96
2019-09-01,93
2019-09-08,82
2019-09-15,87
2019-09-22,85
2019-09-29,77
2019-10-06,73
2019-10-13,82
2019-10-20,77
2019-10-27,72
2019-11-03,86
2019-11-10,99
2019-11-17,95
2019-11-24,92
2019-12-01,90
2019-12-08,81
2019-12-15,78
2019-12-22,82
2019-12-29,82
2020-01-05,78
