,Chemicals Industry
2014-12-28,36
2015-01-04,37
2015-01-11,34
2015-01-18,37
2015-01-25,35
2015-02-01,39
2015-02-08,36
2015-02-15,39
2015-02-22,38
2015-03-01,34
2015-03-08,39
2015-03-15,38
2015-03-22,38
2015-03-29,37
2015-04-05,39
2015-04-12,37
2015-04-19,38
2015-04-26,36
2015-05-03,37
2015-05-10,39
2015-05-17,39
2015-05-24,37
2015-05-31,38
2015-06-07,37
2015-06-14,37
2015-06-21,43
2015-06-28,50
2015-07-05,50
2015-07-12,48
2015-07-19,53
2015-07-26,50
2015-08-02,53
2015-08-09,50
2015-08-16,53
2015-08-23,48
2015-08-30,51
2015-09-06,51
2015-09-13,47
2015-09-20,49
2015-09-27,47
2015-10-04,51
2015-10-11,49
2015-10-18,41
2015-10-25,50
2015-11-01,49
2015-11-08,35
2015-11-15,47
2015-11-22,46
2015-11-29,46
2015-12-06,46
2015-12-13,47
2015-12-20,46
2015-12-27,43
2016-01-03,45
2016-01-10,43
2016-01-17,46
2016-01-24,43
2016-01-31,47
2016-02-07,49
2016-02-14,48
2016-02-21,48
2016-02-28,47
2016-03-06,47
2016-03-13,47
2016-03-20,40
2016-03-27,47
2016-04-03,46
2016-04-10,44
2016-04-17,44
2016-04-24,46
2016-05-01,49
2016-05-08,46
2016-05-15,47
2016-05-22,49
2016-05-29,48
2016-06-05,48
2016-06-12,49
2016-06-19,50
2016-06-26,54
2016-07-03,51
2016-07-10,50
2016-07-17,54
2016-07-24,53
2016-07-31,51
2016-08-07,57
2016-08-14,49
2016-08-21,55
2016-08-28,57
2016-09-04,57
2016-09-11,54
2016-09-18,57
2016-09-25,55
2016-10-02,51
2016-10-09,46
2016-10-16,56
2016-10-23,49
2016-10-30,48
2016-11-06,53
2016-11-13,52
2016-11-20,58
2016-11-27,57
2016-12-04,55
2016-12-11,54
2016-12-18,57
2016-12-25,56
2017-01-01,60
2017-01-08,51
2017-01-15,57
2017-01-22,57
2017-01-29,58
2017-02-05,57
2017-02-12,60
2017-02-19,59
2017-02-26,58
2017-03-05,56
2017-03-12,55
2017-03-19,59
2017-03-26,60
2017-04-02,64
2017-04-09,63
2017-04-16,61
2017-04-23,59
2017-04-30,60
2017-05-07,58
2017-05-14,59
2017-05-21,60
2017-05-28,58
2017-06-04,59
2017-06-11,64
2017-06-18,65
2017-06-25,62
2017-07-02,68
2017-07-09,68
2017-07-16,68
2017-07-23,68
2017-07-30,67
2017-08-06,63
2017-08-13,63
2017-08-20,66
2017-08-27,65
2017-09-03,66
2017-09-10,67
2017-09-17,69
2017-09-24,60
2017-10-01,65
2017-10-08,71
2017-10-15,48
2017-10-22,65
2017-10-29,67
2017-11-05,69
2017-11-12,73
2017-11-19,67
2017-11-26,66
2017-12-03,71
2017-12-10,69
2017-12-17,70
2017-12-24,69
2017-12-31,66
2018-01-07,66
2018-01-14,69
2018-01-21,64
2018-01-28,72
2018-02-04,72
2018-02-11,70
2018-02-18,72
2018-02-25,61
2018-03-04,70
2018-03-11,77
2018-03-18,72
2018-03-25,69
2018-04-01,73
2018-04-08,68
2018-04-15,71
2018-04-22,74
2018-04-29,71
2018-05-06,73
2018-05-13,73
2018-05-20,72
2018-05-27,74
2018-06-03,75
2018-06-10,73
2018-06-17,70
2018-06-24,75
2018-07-01,77
2018-07-08,80
2018-07-15,80
2018-07-22,83
2018-07-29,90
2018-08-05,89
2018-08-12,83
2018-08-19,88
2018-08-26,92
2018-09-02,92
2018-09-09,89
2018-09-16,90
2018-09-23,94
2018-09-30,89
2018-10-07,93
2018-10-14,77
2018-10-21,94
2018-10-28,100
2018-11-04,65
2018-11-11,86
2018-11-18,87
2018-11-25,90
2018-12-02,89
2018-12-09,88
2018-12-16,89
2018-12-23,92
2018-12-30,89
2019-01-06,90
2019-01-13,84
2019-01-20,84
2019-01-27,92
2019-02-03,88
2019-02-10,89
2019-02-17,90
2019-02-24,83
2019-03-03,89
2019-03-10,94
2019-03-17,79
2019-03-24,83
2019-03-31,82
2019-04-07,81
2019-04-14,78
2019-04-21,82
2019-04-28,80
2019-05-05,79
2019-05-12,83
2019-05-19,80
2019-05-26,82
2019-06-02,78
2019-06-09,79
2019-06-16,77
2019-06-23,87
2019-06-30,81
2019-07-07,84
2019-07-14,89
2019-07-21,90
2019-07-28,92
2019-08-04,85
2019-08-11,83
2019-08-18,93
2019-08-25,97
2019-09-01,84
2019-09-08,97
2019-09-15,93
2019-09-22,98
2019-09-29,98
2019-10-06,80
2019-10-13,91
2019-10-20,80
2019-10-27,68
2019-11-03,90
2019-11-10,91
2019-11-17,92
2019-11-24,87
2019-12-01,88
2019-12-08,85
2019-12-15,84
2019-12-22,87
2019-12-29,82
2020-01-05,84
