,Rail Transport
2023-01-01,47
2023-01-08,45
2023-01-15,0
2023-01-22,64
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,45
2023-03-05,0
2023-03-12,42
2023-03-19,40
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,43
2023-04-23,43
2023-04-30,78
2023-05-07,42
2023-05-14,40
2023-05-21,66
2023-05-28,49
2023-06-04,48
2023-06-11,56
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,64
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,47
2023-09-03,0
2023-09-10,46
2023-09-17,0
2023-09-24,0
2023-10-01,59
2023-10-08,53
2023-10-15,43
2023-10-22,0
2023-10-29,48
2023-11-05,45
2023-11-12,49
2023-11-19,0
2023-11-26,0
2023-12-03,43
2023-12-10,52
2023-12-17,100
2023-12-24,47
2023-12-31,0
2024-01-07,63
2024-01-14,0
2024-01-21,77
2024-01-28,77
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,80
2024-03-31,73
2024-04-07,0
2024-04-14,52
2024-04-21,70
2024-04-28,50
2024-05-05,50
2024-05-12,46
2024-05-19,76
2024-05-26,96
2024-06-02,61
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,69
2024-07-28,54
2024-08-04,0
2024-08-11,0
2024-08-18,72
2024-08-25,0
2024-09-01,52
2024-09-08,67
2024-09-15,80
2024-09-22,63
2024-09-29,0
2024-10-06,0
2024-10-13,78
2024-10-20,0
2024-10-27,0
2024-11-03,0
2024-11-10,74
2024-11-17,0
2024-11-24,0
2024-12-01,0
2024-12-08,56
2024-12-15,0
2024-12-22,66
2024-12-29,62
2025-01-05,75
2025-01-12,62
2025-01-19,61
2025-01-26,52
2025-02-02,0
2025-02-09,77
2025-02-16,49
2025-02-23,60
2025-03-02,0
2025-03-09,0
2025-03-16,71
2025-03-23,0
2025-03-30,83
2025-04-06,0
2025-04-13,88
2025-04-20,55
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,50
2025-05-25,51
2025-06-01,53
2025-06-08,53
2025-06-15,0
2025-06-22,0
2025-06-29,0
2025-07-06,62
2025-07-13,0
2025-07-20,54
2025-07-27,0
2025-08-03,0
2025-08-10,64
2025-08-17,55
2025-08-24,0
2025-08-31,0
2025-09-07,0
2025-09-14,0
2025-09-21,50
2025-09-28,0
2025-10-05,0
2025-10-12,0
2025-10-19,59
2025-10-26,73
2025-11-02,0
2025-11-09,49
2025-11-16,50
2025-11-23,69
2025-11-30,53
2025-12-07,0
2025-12-14,0
2025-12-21,59
2025-12-28,60
2026-01-04,83
