,Job
2014-12-28,55
2015-01-04,48
2015-01-11,61
2015-01-18,72
2015-01-25,67
2015-02-01,70
2015-02-08,65
2015-02-15,68
2015-02-22,68
2015-03-01,71
2015-03-08,71
2015-03-15,68
2015-03-22,71
2015-03-29,66
2015-04-05,61
2015-04-12,55
2015-04-19,77
2015-04-26,68
2015-05-03,71
2015-05-10,77
2015-05-17,70
2015-05-24,70
2015-05-31,70
2015-06-07,70
2015-06-14,71
2015-06-21,75
2015-06-28,66
2015-07-05,70
2015-07-12,67
2015-07-19,67
2015-07-26,55
2015-08-02,63
2015-08-09,58
2015-08-16,52
2015-08-23,61
2015-08-30,65
2015-09-06,69
2015-09-13,74
2015-09-20,67
2015-09-27,66
2015-10-04,67
2015-10-11,67
2015-10-18,77
2015-10-25,64
2015-11-01,71
2015-11-08,67
2015-11-15,70
2015-11-22,67
2015-11-29,73
2015-12-06,67
2015-12-13,67
2015-12-20,69
2015-12-27,63
2016-01-03,73
2016-01-10,66
2016-01-17,71
2016-01-24,66
2016-01-31,64
2016-02-07,67
2016-02-14,68
2016-02-21,61
2016-02-28,64
2016-03-06,62
2016-03-13,64
2016-03-20,59
2016-03-27,62
2016-04-03,57
2016-04-10,38
2016-04-17,61
2016-04-24,72
2016-05-01,63
2016-05-08,62
2016-05-15,59
2016-05-22,66
2016-05-29,67
2016-06-05,66
2016-06-12,62
2016-06-19,68
2016-06-26,65
2016-07-03,67
2016-07-10,63
2016-07-17,59
2016-07-24,59
2016-07-31,58
2016-08-07,60
2016-08-14,56
2016-08-21,60
2016-08-28,66
2016-09-04,64
2016-09-11,63
2016-09-18,69
2016-09-25,65
2016-10-02,72
2016-10-09,65
2016-10-16,63
2016-10-23,65
2016-10-30,61
2016-11-06,62
2016-11-13,66
2016-11-20,60
2016-11-27,60
2016-12-04,56
2016-12-11,57
2016-12-18,55
2016-12-25,50
2017-01-01,61
2017-01-08,65
2017-01-15,66
2017-01-22,62
2017-01-29,65
2017-02-05,61
2017-02-12,61
2017-02-19,64
2017-02-26,64
2017-03-05,60
2017-03-12,63
2017-03-19,66
2017-03-26,58
2017-04-02,55
2017-04-09,39
2017-04-16,63
2017-04-23,62
2017-04-30,58
2017-05-07,52
2017-05-14,59
2017-05-21,60
2017-05-28,59
2017-06-04,60
2017-06-11,69
2017-06-18,65
2017-06-25,59
2017-07-02,65
2017-07-09,65
2017-07-16,60
2017-07-23,62
2017-07-30,59
2017-08-06,60
2017-08-13,67
2017-08-20,57
2017-08-27,60
2017-09-03,65
2017-09-10,70
2017-09-17,66
2017-09-24,67
2017-10-01,58
2017-10-08,66
2017-10-15,66
2017-10-22,70
2017-10-29,62
2017-11-05,71
2017-11-12,63
2017-11-19,60
2017-11-26,51
2017-12-03,62
2017-12-10,61
2017-12-17,56
2017-12-24,56
2017-12-31,65
2018-01-07,69
2018-01-14,65
2018-01-21,64
2018-01-28,59
2018-02-04,61
2018-02-11,59
2018-02-18,70
2018-02-25,60
2018-03-04,64
2018-03-11,71
2018-03-18,70
2018-03-25,57
2018-04-01,66
2018-04-08,48
2018-04-15,60
2018-04-22,73
2018-04-29,64
2018-05-06,64
2018-05-13,69
2018-05-20,71
2018-05-27,72
2018-06-03,72
2018-06-10,66
2018-06-17,74
2018-06-24,63
2018-07-01,73
2018-07-08,71
2018-07-15,71
2018-07-22,66
2018-07-29,72
2018-08-05,68
2018-08-12,71
2018-08-19,73
2018-08-26,70
2018-09-02,74
2018-09-09,75
2018-09-16,67
2018-09-23,68
2018-09-30,67
2018-10-07,72
2018-10-14,82
2018-10-21,71
2018-10-28,67
2018-11-04,75
2018-11-11,63
2018-11-18,65
2018-11-25,75
2018-12-02,72
2018-12-09,71
2018-12-16,75
2018-12-23,58
2018-12-30,80
2019-01-06,85
2019-01-13,81
2019-01-20,81
2019-01-27,77
2019-02-03,73
2019-02-10,73
2019-02-17,73
2019-02-24,77
2019-03-03,81
2019-03-10,75
2019-03-17,70
2019-03-24,68
2019-03-31,67
2019-04-07,57
2019-04-14,62
2019-04-21,58
2019-04-28,71
2019-05-05,83
2019-05-12,67
2019-05-19,87
2019-05-26,93
2019-06-02,75
2019-06-09,80
2019-06-16,80
2019-06-23,85
2019-06-30,82
2019-07-07,90
2019-07-14,80
2019-07-21,82
2019-07-28,81
2019-08-04,79
2019-08-11,70
2019-08-18,66
2019-08-25,59
2019-09-01,86
2019-09-08,98
2019-09-15,100
2019-09-22,89
2019-09-29,85
2019-10-06,77
2019-10-13,86
2019-10-20,78
2019-10-27,73
2019-11-03,74
2019-11-10,62
2019-11-17,79
2019-11-24,77
2019-12-01,79
2019-12-08,70
2019-12-15,76
2019-12-22,64
2019-12-29,86
2020-01-05,82
