,Industrial Materials & Equipment
2014-12-28,17
2015-01-04,17
2015-01-11,25
2015-01-18,25
2015-01-25,16
2015-02-01,31
2015-02-08,28
2015-02-15,20
2015-02-22,17
2015-03-01,36
2015-03-08,24
2015-03-15,20
2015-03-22,28
2015-03-29,25
2015-04-05,25
2015-04-12,16
2015-04-19,27
2015-04-26,22
2015-05-03,26
2015-05-10,26
2015-05-17,19
2015-05-24,26
2015-05-31,21
2015-06-07,17
2015-06-14,13
2015-06-21,27
2015-06-28,23
2015-07-05,22
2015-07-12,24
2015-07-19,23
2015-07-26,27
2015-08-02,32
2015-08-09,33
2015-08-16,27
2015-08-23,37
2015-08-30,24
2015-09-06,33
2015-09-13,19
2015-09-20,27
2015-09-27,32
2015-10-04,24
2015-10-11,23
2015-10-18,28
2015-10-25,24
2015-11-01,29
2015-11-08,27
2015-11-15,34
2015-11-22,23
2015-11-29,28
2015-12-06,25
2015-12-13,21
2015-12-20,31
2015-12-27,23
2016-01-03,27
2016-01-10,10
2016-01-17,23
2016-01-24,29
2016-01-31,23
2016-02-07,31
2016-02-14,31
2016-02-21,21
2016-02-28,24
2016-03-06,28
2016-03-13,38
2016-03-20,34
2016-03-27,34
2016-04-03,28
2016-04-10,32
2016-04-17,33
2016-04-24,27
2016-05-01,32
2016-05-08,36
2016-05-15,33
2016-05-22,35
2016-05-29,35
2016-06-05,29
2016-06-12,27
2016-06-19,100
2016-06-26,30
2016-07-03,23
2016-07-10,37
2016-07-17,36
2016-07-24,45
2016-07-31,49
2016-08-07,34
2016-08-14,35
2016-08-21,53
2016-08-28,25
2016-09-04,33
2016-09-11,27
2016-09-18,12
2016-09-25,9
2016-10-02,0
2016-10-09,11
2016-10-16,10
2016-10-23,10
2016-10-30,12
2016-11-06,9
2016-11-13,0
2016-11-20,15
2016-11-27,12
2016-12-04,13
2016-12-11,0
2016-12-18,9
2016-12-25,9
2017-01-01,10
2017-01-08,12
2017-01-15,15
2017-01-22,0
2017-01-29,18
2017-02-05,32
2017-02-12,35
2017-02-19,31
2017-02-26,33
2017-03-05,32
2017-03-12,30
2017-03-19,30
2017-03-26,27
2017-04-02,27
2017-04-09,38
2017-04-16,38
2017-04-23,34
2017-04-30,31
2017-05-07,32
2017-05-14,29
2017-05-21,30
2017-05-28,17
2017-06-04,30
2017-06-11,31
2017-06-18,15
2017-06-25,23
2017-07-02,34
2017-07-09,34
2017-07-16,33
2017-07-23,24
2017-07-30,30
2017-08-06,39
2017-08-13,26
2017-08-20,31
2017-08-27,20
2017-09-03,18
2017-09-10,26
2017-09-17,34
2017-09-24,29
2017-10-01,25
2017-10-08,33
2017-10-15,30
2017-10-22,44
2017-10-29,30
2017-11-05,26
2017-11-12,27
2017-11-19,32
2017-11-26,22
2017-12-03,27
2017-12-10,24
2017-12-17,31
2017-12-24,38
2017-12-31,23
2018-01-07,32
2018-01-14,29
2018-01-21,33
2018-01-28,20
2018-02-04,25
2018-02-11,34
2018-02-18,30
2018-02-25,33
2018-03-04,32
2018-03-11,33
2018-03-18,37
2018-03-25,27
2018-04-01,31
2018-04-08,24
2018-04-15,35
2018-04-22,35
2018-04-29,26
2018-05-06,32
2018-05-13,22
2018-05-20,25
2018-05-27,33
2018-06-03,35
2018-06-10,29
2018-06-17,20
2018-06-24,35
2018-07-01,39
2018-07-08,28
2018-07-15,35
2018-07-22,36
2018-07-29,28
2018-08-05,38
2018-08-12,37
2018-08-19,23
2018-08-26,33
2018-09-02,32
2018-09-09,28
2018-09-16,29
2018-09-23,29
2018-09-30,34
2018-10-07,35
2018-10-14,41
2018-10-21,39
2018-10-28,40
2018-11-04,31
2018-11-11,32
2018-11-18,25
2018-11-25,37
2018-12-02,27
2018-12-09,30
2018-12-16,36
2018-12-23,30
2018-12-30,36
2019-01-06,40
2019-01-13,39
2019-01-20,40
2019-01-27,41
2019-02-03,28
2019-02-10,31
2019-02-17,42
2019-02-24,35
2019-03-03,41
2019-03-10,32
2019-03-17,35
2019-03-24,40
2019-03-31,27
2019-04-07,22
2019-04-14,31
2019-04-21,35
2019-04-28,38
2019-05-05,28
2019-05-12,28
2019-05-19,27
2019-05-26,24
2019-06-02,23
2019-06-09,28
2019-06-16,37
2019-06-23,23
2019-06-30,38
2019-07-07,34
2019-07-14,32
2019-07-21,31
2019-07-28,24
2019-08-04,32
2019-08-11,27
2019-08-18,34
2019-08-25,26
2019-09-01,29
2019-09-08,33
2019-09-15,34
2019-09-22,28
2019-09-29,29
2019-10-06,36
2019-10-13,32
2019-10-20,35
2019-10-27,29
2019-11-03,20
2019-11-10,29
2019-11-17,37
2019-11-24,34
2019-12-01,32
2019-12-08,28
2019-12-15,35
2019-12-22,38
2019-12-29,30
2020-01-05,36
