,Books & Literature
2023-01-01,89
2023-01-08,94
2023-01-15,86
2023-01-22,84
2023-01-29,90
2023-02-05,89
2023-02-12,91
2023-02-19,94
2023-02-26,91
2023-03-05,94
2023-03-12,82
2023-03-19,88
2023-03-26,86
2023-04-02,87
2023-04-09,75
2023-04-16,84
2023-04-23,89
2023-04-30,86
2023-05-07,93
2023-05-14,91
2023-05-21,89
2023-05-28,90
2023-06-04,87
2023-06-11,94
2023-06-18,96
2023-06-25,93
2023-07-02,93
2023-07-09,100
2023-07-16,91
2023-07-23,86
2023-07-30,88
2023-08-06,90
2023-08-13,91
2023-08-20,85
2023-08-27,88
2023-09-03,88
2023-09-10,86
2023-09-17,88
2023-09-24,96
2023-10-01,87
2023-10-08,86
2023-10-15,89
2023-10-22,82
2023-10-29,80
2023-11-05,80
2023-11-12,80
2023-11-19,79
2023-11-26,82
2023-12-03,82
2023-12-10,84
2023-12-17,83
2023-12-24,87
2023-12-31,90
2024-01-07,88
2024-01-14,84
2024-01-21,79
2024-01-28,81
2024-02-04,88
2024-02-11,89
2024-02-18,82
2024-02-25,82
2024-03-03,80
2024-03-10,79
2024-03-17,80
2024-03-24,78
2024-03-31,78
2024-04-07,67
2024-04-14,67
2024-04-21,74
2024-04-28,81
2024-05-05,80
2024-05-12,79
2024-05-19,70
2024-05-26,79
2024-06-02,81
2024-06-09,79
2024-06-16,74
2024-06-23,79
2024-06-30,81
2024-07-07,79
2024-07-14,79
2024-07-21,74
2024-07-28,79
2024-08-04,77
2024-08-11,80
2024-08-18,77
2024-08-25,80
2024-09-01,84
2024-09-08,80
2024-09-15,72
2024-09-22,76
2024-09-29,87
2024-10-06,79
2024-10-13,77
2024-10-20,82
2024-10-27,81
2024-11-03,79
2024-11-10,79
2024-11-17,79
2024-11-24,74
2024-12-01,73
2024-12-08,78
2024-12-15,74
2024-12-22,83
2024-12-29,81
2025-01-05,79
2025-01-12,80
2025-01-19,75
2025-01-26,75
2025-02-02,78
2025-02-09,71
2025-02-16,73
2025-02-23,77
2025-03-02,69
2025-03-09,71
2025-03-16,70
2025-03-23,72
2025-03-30,68
2025-04-06,66
2025-04-13,54
2025-04-20,71
2025-04-27,72
2025-05-04,68
2025-05-11,66
2025-05-18,71
2025-05-25,69
2025-06-01,69
2025-06-08,69
2025-06-15,71
2025-06-22,73
2025-06-29,70
2025-07-06,68
2025-07-13,72
2025-07-20,73
2025-07-27,74
2025-08-03,71
2025-08-10,68
2025-08-17,63
2025-08-24,67
2025-08-31,67
2025-09-07,63
2025-09-14,68
2025-09-21,74
2025-09-28,80
2025-10-05,74
2025-10-12,67
2025-10-19,66
2025-10-26,63
2025-11-02,63
2025-11-09,62
2025-11-16,64
2025-11-23,55
2025-11-30,55
2025-12-07,65
2025-12-14,67
2025-12-21,76
2025-12-28,70
2026-01-04,69
