,Developer Jobs
2023-01-01,81
2023-01-08,74
2023-01-15,77
2023-01-22,76
2023-01-29,78
2023-02-05,80
2023-02-12,77
2023-02-19,84
2023-02-26,75
2023-03-05,71
2023-03-12,79
2023-03-19,82
2023-03-26,77
2023-04-02,75
2023-04-09,93
2023-04-16,79
2023-04-23,80
2023-04-30,75
2023-05-07,79
2023-05-14,88
2023-05-21,79
2023-05-28,81
2023-06-04,82
2023-06-11,91
2023-06-18,90
2023-06-25,82
2023-07-02,92
2023-07-09,96
2023-07-16,95
2023-07-23,91
2023-07-30,100
2023-08-06,89
2023-08-13,77
2023-08-20,82
2023-08-27,75
2023-09-03,80
2023-09-10,82
2023-09-17,80
2023-09-24,82
2023-10-01,78
2023-10-08,79
2023-10-15,72
2023-10-22,62
2023-10-29,71
2023-11-05,64
2023-11-12,60
2023-11-19,68
2023-11-26,70
2023-12-03,68
2023-12-10,73
2023-12-17,72
2023-12-24,63
2023-12-31,68
2024-01-07,76
2024-01-14,75
2024-01-21,67
2024-01-28,75
2024-02-04,75
2024-02-11,73
2024-02-18,71
2024-02-25,74
2024-03-03,70
2024-03-10,71
2024-03-17,66
2024-03-24,67
2024-03-31,68
2024-04-07,66
2024-04-14,67
2024-04-21,67
2024-04-28,72
2024-05-05,65
2024-05-12,66
2024-05-19,72
2024-05-26,69
2024-06-02,66
2024-06-09,73
2024-06-16,77
2024-06-23,75
2024-06-30,78
2024-07-07,66
2024-07-14,78
2024-07-21,80
2024-07-28,81
2024-08-04,77
2024-08-11,71
2024-08-18,72
2024-08-25,100
2024-09-01,71
2024-09-08,68
2024-09-15,76
2024-09-22,67
2024-09-29,61
2024-10-06,56
2024-10-13,63
2024-10-20,66
2024-10-27,51
2024-11-03,59
2024-11-10,61
2024-11-17,60
2024-11-24,61
2024-12-01,63
2024-12-08,64
2024-12-15,63
2024-12-22,59
2024-12-29,58
2025-01-05,68
2025-01-12,63
2025-01-19,61
2025-01-26,65
2025-02-02,61
2025-02-09,60
2025-02-16,65
2025-02-23,59
2025-03-02,65
2025-03-09,57
2025-03-16,62
2025-03-23,60
2025-03-30,64
2025-04-06,58
2025-04-13,55
2025-04-20,62
2025-04-27,62
2025-05-04,56
2025-05-11,63
2025-05-18,66
2025-05-25,64
2025-06-01,59
2025-06-08,65
2025-06-15,62
2025-06-22,65
2025-06-29,64
2025-07-06,59
2025-07-13,65
2025-07-20,60
2025-07-27,62
2025-08-03,57
2025-08-10,55
2025-08-17,58
2025-08-24,52
2025-08-31,48
2025-09-07,51
2025-09-14,59
2025-09-21,52
2025-09-28,45
2025-10-05,51
2025-10-12,52
2025-10-19,42
2025-10-26,53
2025-11-02,59
2025-11-09,50
2025-11-16,51
2025-11-23,47
2025-11-30,49
2025-12-07,49
2025-12-14,49
2025-12-21,47
2025-12-28,45
2026-01-04,53
