,Boats & Watercraft
2014-12-28,48
2015-01-04,46
2015-01-11,42
2015-01-18,43
2015-01-25,42
2015-02-01,42
2015-02-08,43
2015-02-15,41
2015-02-22,48
2015-03-01,50
2015-03-08,60
2015-03-15,80
2015-03-22,71
2015-03-29,59
2015-04-05,80
2015-04-12,75
2015-04-19,72
2015-04-26,59
2015-05-03,60
2015-05-10,49
2015-05-17,50
2015-05-24,48
2015-05-31,47
2015-06-07,50
2015-06-14,55
2015-06-21,63
2015-06-28,70
2015-07-05,84
2015-07-12,76
2015-07-19,68
2015-07-26,63
2015-08-02,56
2015-08-09,60
2015-08-16,63
2015-08-23,59
2015-08-30,60
2015-09-06,62
2015-09-13,51
2015-09-20,47
2015-09-27,47
2015-10-04,49
2015-10-11,49
2015-10-18,44
2015-10-25,45
2015-11-01,44
2015-11-08,42
2015-11-15,44
2015-11-22,49
2015-11-29,48
2015-12-06,49
2015-12-13,54
2015-12-20,49
2015-12-27,50
2016-01-03,48
2016-01-10,50
2016-01-17,48
2016-01-24,48
2016-01-31,63
2016-02-07,63
2016-02-14,55
2016-02-21,50
2016-02-28,47
2016-03-06,47
2016-03-13,56
2016-03-20,80
2016-03-27,48
2016-04-03,58
2016-04-10,100
2016-04-17,82
2016-04-24,65
2016-05-01,58
2016-05-08,52
2016-05-15,48
2016-05-22,47
2016-05-29,51
2016-06-05,52
2016-06-12,50
2016-06-19,57
2016-06-26,54
2016-07-03,65
2016-07-10,65
2016-07-17,67
2016-07-24,63
2016-07-31,59
2016-08-07,52
2016-08-14,46
2016-08-21,56
2016-08-28,54
2016-09-04,49
2016-09-11,51
2016-09-18,49
2016-09-25,48
2016-10-02,46
2016-10-09,46
2016-10-16,52
2016-10-23,54
2016-10-30,50
2016-11-06,44
2016-11-13,48
2016-11-20,52
2016-11-27,57
2016-12-04,54
2016-12-11,57
2016-12-18,64
2016-12-25,65
2017-01-01,54
2017-01-08,53
2017-01-15,51
2017-01-22,54
2017-01-29,56
2017-02-05,56
2017-02-12,57
2017-02-19,60
2017-02-26,53
2017-03-05,55
2017-03-12,49
2017-03-19,51
2017-03-26,53
2017-04-02,54
2017-04-09,53
2017-04-16,56
2017-04-23,53
2017-04-30,52
2017-05-07,50
2017-05-14,53
2017-05-21,56
2017-05-28,56
2017-06-04,55
2017-06-11,59
2017-06-18,61
2017-06-25,62
2017-07-02,70
2017-07-09,64
2017-07-16,63
2017-07-23,60
2017-07-30,60
2017-08-06,55
2017-08-13,60
2017-08-20,55
2017-08-27,51
2017-09-03,49
2017-09-10,47
2017-09-17,48
2017-09-24,46
2017-10-01,44
2017-10-08,50
2017-10-15,46
2017-10-22,51
2017-10-29,49
2017-11-05,50
2017-11-12,53
2017-11-19,46
2017-11-26,46
2017-12-03,55
2017-12-10,48
2017-12-17,55
2017-12-24,56
2017-12-31,52
2018-01-07,52
2018-01-14,52
2018-01-21,50
2018-01-28,53
2018-02-04,51
2018-02-11,51
2018-02-18,53
2018-02-25,50
2018-03-04,58
2018-03-11,58
2018-03-18,56
2018-03-25,59
2018-04-01,61
2018-04-08,65
2018-04-15,69
2018-04-22,64
2018-04-29,59
2018-05-06,61
2018-05-13,64
2018-05-20,65
2018-05-27,66
2018-06-03,61
2018-06-10,63
2018-06-17,61
2018-06-24,61
2018-07-01,64
2018-07-08,62
2018-07-15,69
2018-07-22,69
2018-07-29,73
2018-08-05,68
2018-08-12,72
2018-08-19,70
2018-08-26,81
2018-09-02,83
2018-09-09,79
2018-09-16,80
2018-09-23,85
2018-09-30,79
2018-10-07,79
2018-10-14,83
2018-10-21,83
2018-10-28,87
2018-11-04,69
2018-11-11,82
2018-11-18,88
2018-11-25,82
2018-12-02,77
2018-12-09,77
2018-12-16,78
2018-12-23,83
2018-12-30,78
2019-01-06,72
2019-01-13,67
2019-01-20,73
2019-01-27,73
2019-02-03,71
2019-02-10,74
2019-02-17,72
2019-02-24,71
2019-03-03,74
2019-03-10,75
2019-03-17,79
2019-03-24,74
2019-03-31,68
2019-04-07,70
2019-04-14,66
2019-04-21,66
2019-04-28,70
2019-05-05,70
2019-05-12,73
2019-05-19,77
2019-05-26,81
2019-06-02,77
2019-06-09,73
2019-06-16,73
2019-06-23,78
2019-06-30,71
2019-07-07,70
2019-07-14,77
2019-07-21,77
2019-07-28,77
2019-08-04,75
2019-08-11,67
2019-08-18,74
2019-08-25,77
2019-09-01,71
2019-09-08,71
2019-09-15,71
2019-09-22,73
2019-09-29,74
2019-10-06,67
2019-10-13,68
2019-10-20,65
2019-10-27,62
2019-11-03,70
2019-11-10,71
2019-11-17,69
2019-11-24,67
2019-12-01,68
2019-12-08,63
2019-12-15,63
2019-12-22,67
2019-12-29,69
2020-01-05,66
