,Pharmaceuticals & Biotech
2023-01-01,60
2023-01-08,58
2023-01-15,67
2023-01-22,67
2023-01-29,66
2023-02-05,70
2023-02-12,65
2023-02-19,70
2023-02-26,70
2023-03-05,67
2023-03-12,67
2023-03-19,55
2023-03-26,71
2023-04-02,56
2023-04-09,45
2023-04-16,61
2023-04-23,50
2023-04-30,43
2023-05-07,52
2023-05-14,52
2023-05-21,60
2023-05-28,57
2023-06-04,65
2023-06-11,72
2023-06-18,61
2023-06-25,59
2023-07-02,72
2023-07-09,77
2023-07-16,64
2023-07-23,68
2023-07-30,65
2023-08-06,72
2023-08-13,68
2023-08-20,63
2023-08-27,68
2023-09-03,76
2023-09-10,64
2023-09-17,70
2023-09-24,61
2023-10-01,66
2023-10-08,65
2023-10-15,68
2023-10-22,62
2023-10-29,65
2023-11-05,59
2023-11-12,67
2023-11-19,69
2023-11-26,65
2023-12-03,62
2023-12-10,62
2023-12-17,61
2023-12-24,60
2023-12-31,66
2024-01-07,65
2024-01-14,62
2024-01-21,53
2024-01-28,74
2024-02-04,70
2024-02-11,68
2024-02-18,58
2024-02-25,70
2024-03-03,64
2024-03-10,70
2024-03-17,68
2024-03-24,76
2024-03-31,62
2024-04-07,46
2024-04-14,59
2024-04-21,66
2024-04-28,93
2024-05-05,82
2024-05-12,83
2024-05-19,52
2024-05-26,69
2024-06-02,72
2024-06-09,82
2024-06-16,70
2024-06-23,67
2024-06-30,75
2024-07-07,78
2024-07-14,72
2024-07-21,82
2024-07-28,71
2024-08-04,74
2024-08-11,79
2024-08-18,68
2024-08-25,68
2024-09-01,65
2024-09-08,67
2024-09-15,39
2024-09-22,66
2024-09-29,70
2024-10-06,65
2024-10-13,69
2024-10-20,60
2024-10-27,54
2024-11-03,70
2024-11-10,63
2024-11-17,54
2024-11-24,67
2024-12-01,63
2024-12-08,69
2024-12-15,77
2024-12-22,67
2024-12-29,69
2025-01-05,69
2025-01-12,61
2025-01-19,61
2025-01-26,76
2025-02-02,66
2025-02-09,65
2025-02-16,70
2025-02-23,65
2025-03-02,73
2025-03-09,55
2025-03-16,74
2025-03-23,68
2025-03-30,68
2025-04-06,53
2025-04-13,37
2025-04-20,61
2025-04-27,68
2025-05-04,52
2025-05-11,54
2025-05-18,57
2025-05-25,62
2025-06-01,64
2025-06-08,59
2025-06-15,76
2025-06-22,67
2025-06-29,69
2025-07-06,62
2025-07-13,73
2025-07-20,67
2025-07-27,64
2025-08-03,61
2025-08-10,59
2025-08-17,74
2025-08-24,63
2025-08-31,72
2025-09-07,57
2025-09-14,59
2025-09-21,56
2025-09-28,100
2025-10-05,73
2025-10-12,56
2025-10-19,57
2025-10-26,60
2025-11-02,71
2025-11-09,57
2025-11-16,64
2025-11-23,48
2025-11-30,47
2025-12-07,64
2025-12-14,65
2025-12-21,55
2025-12-28,58
