,Aviation
2014-12-28,34
2015-01-04,29
2015-01-11,28
2015-01-18,28
2015-01-25,28
2015-02-01,28
2015-02-08,27
2015-02-15,29
2015-02-22,28
2015-03-01,27
2015-03-08,26
2015-03-15,35
2015-03-22,30
2015-03-29,28
2015-04-05,30
2015-04-12,29
2015-04-19,28
2015-04-26,26
2015-05-03,26
2015-05-10,28
2015-05-17,27
2015-05-24,28
2015-05-31,27
2015-06-07,29
2015-06-14,31
2015-06-21,33
2015-06-28,36
2015-07-05,37
2015-07-12,36
2015-07-19,36
2015-07-26,35
2015-08-02,36
2015-08-09,34
2015-08-16,35
2015-08-23,31
2015-08-30,34
2015-09-06,32
2015-09-13,31
2015-09-20,30
2015-09-27,29
2015-10-04,31
2015-10-11,31
2015-10-18,27
2015-10-25,31
2015-11-01,30
2015-11-08,29
2015-11-15,30
2015-11-22,30
2015-11-29,29
2015-12-06,32
2015-12-13,32
2015-12-20,33
2015-12-27,31
2016-01-03,33
2016-01-10,30
2016-01-17,32
2016-01-24,30
2016-01-31,32
2016-02-07,31
2016-02-14,30
2016-02-21,31
2016-02-28,32
2016-03-06,34
2016-03-13,32
2016-03-20,33
2016-03-27,35
2016-04-03,33
2016-04-10,31
2016-04-17,31
2016-04-24,32
2016-05-01,33
2016-05-08,41
2016-05-15,38
2016-05-22,35
2016-05-29,35
2016-06-05,38
2016-06-12,34
2016-06-19,42
2016-06-26,37
2016-07-03,37
2016-07-10,36
2016-07-17,38
2016-07-24,39
2016-07-31,41
2016-08-07,37
2016-08-14,34
2016-08-21,34
2016-08-28,36
2016-09-04,38
2016-09-11,36
2016-09-18,34
2016-09-25,38
2016-10-02,34
2016-10-09,33
2016-10-16,36
2016-10-23,37
2016-10-30,34
2016-11-06,35
2016-11-13,32
2016-11-20,32
2016-11-27,38
2016-12-04,39
2016-12-11,42
2016-12-18,45
2016-12-25,52
2017-01-01,54
2017-01-08,46
2017-01-15,45
2017-01-22,42
2017-01-29,43
2017-02-05,44
2017-02-12,43
2017-02-19,41
2017-02-26,41
2017-03-05,42
2017-03-12,45
2017-03-19,42
2017-03-26,43
2017-04-02,40
2017-04-09,41
2017-04-16,38
2017-04-23,40
2017-04-30,37
2017-05-07,40
2017-05-14,39
2017-05-21,39
2017-05-28,44
2017-06-04,41
2017-06-11,44
2017-06-18,44
2017-06-25,42
2017-07-02,44
2017-07-09,44
2017-07-16,45
2017-07-23,44
2017-07-30,46
2017-08-06,42
2017-08-13,44
2017-08-20,43
2017-08-27,45
2017-09-03,46
2017-09-10,47
2017-09-17,49
2017-09-24,38
2017-10-01,40
2017-10-08,46
2017-10-15,33
2017-10-22,44
2017-10-29,48
2017-11-05,47
2017-11-12,48
2017-11-19,45
2017-11-26,42
2017-12-03,43
2017-12-10,55
2017-12-17,46
2017-12-24,49
2017-12-31,47
2018-01-07,47
2018-01-14,46
2018-01-21,43
2018-01-28,47
2018-02-04,53
2018-02-11,51
2018-02-18,52
2018-02-25,45
2018-03-04,47
2018-03-11,52
2018-03-18,56
2018-03-25,49
2018-04-01,49
2018-04-08,47
2018-04-15,44
2018-04-22,47
2018-04-29,44
2018-05-06,46
2018-05-13,46
2018-05-20,49
2018-05-27,49
2018-06-03,48
2018-06-10,51
2018-06-17,48
2018-06-24,60
2018-07-01,51
2018-07-08,52
2018-07-15,56
2018-07-22,57
2018-07-29,61
2018-08-05,60
2018-08-12,56
2018-08-19,57
2018-08-26,62
2018-09-02,64
2018-09-09,60
2018-09-16,68
2018-09-23,66
2018-09-30,62
2018-10-07,64
2018-10-14,52
2018-10-21,57
2018-10-28,62
2018-11-04,49
2018-11-11,62
2018-11-18,55
2018-11-25,61
2018-12-02,57
2018-12-09,57
2018-12-16,60
2018-12-23,64
2018-12-30,58
2019-01-06,60
2019-01-13,58
2019-01-20,59
2019-01-27,59
2019-02-03,62
2019-02-10,64
2019-02-17,65
2019-02-24,100
2019-03-03,83
2019-03-10,93
2019-03-17,75
2019-03-24,78
2019-03-31,59
2019-04-07,55
2019-04-14,65
2019-04-21,59
2019-04-28,52
2019-05-05,60
2019-05-12,64
2019-05-19,55
2019-05-26,74
2019-06-02,73
2019-06-09,73
2019-06-16,72
2019-06-23,76
2019-06-30,68
2019-07-07,72
2019-07-14,78
2019-07-21,77
2019-07-28,74
2019-08-04,69
2019-08-11,62
2019-08-18,74
2019-08-25,75
2019-09-01,70
2019-09-08,70
2019-09-15,71
2019-09-22,69
2019-09-29,59
2019-10-06,54
2019-10-13,64
2019-10-20,64
2019-10-27,60
2019-11-03,65
2019-11-10,65
2019-11-17,74
2019-11-24,66
2019-12-01,63
2019-12-08,64
2019-12-15,68
2019-12-22,65
2019-12-29,64
2020-01-05,63
