,Mental Health
2023-01-01,76
2023-01-08,86
2023-01-15,63
2023-01-22,66
2023-01-29,85
2023-02-05,64
2023-02-12,73
2023-02-19,72
2023-02-26,80
2023-03-05,64
2023-03-12,81
2023-03-19,64
2023-03-26,79
2023-04-02,94
2023-04-09,84
2023-04-16,65
2023-04-23,80
2023-04-30,67
2023-05-07,79
2023-05-14,74
2023-05-21,54
2023-05-28,69
2023-06-04,78
2023-06-11,71
2023-06-18,60
2023-06-25,48
2023-07-02,72
2023-07-09,67
2023-07-16,58
2023-07-23,52
2023-07-30,58
2023-08-06,82
2023-08-13,91
2023-08-20,79
2023-08-27,70
2023-09-03,71
2023-09-10,73
2023-09-17,87
2023-09-24,66
2023-10-01,71
2023-10-08,84
2023-10-15,79
2023-10-22,93
2023-10-29,79
2023-11-05,80
2023-11-12,86
2023-11-19,80
2023-11-26,87
2023-12-03,87
2023-12-10,78
2023-12-17,85
2023-12-24,88
2023-12-31,67
2024-01-07,81
2024-01-14,73
2024-01-21,80
2024-01-28,73
2024-02-04,75
2024-02-11,93
2024-02-18,73
2024-02-25,73
2024-03-03,98
2024-03-10,65
2024-03-17,79
2024-03-24,87
2024-03-31,87
2024-04-07,72
2024-04-14,81
2024-04-21,75
2024-04-28,91
2024-05-05,82
2024-05-12,65
2024-05-19,86
2024-05-26,94
2024-06-02,75
2024-06-09,84
2024-06-16,57
2024-06-23,93
2024-06-30,78
2024-07-07,83
2024-07-14,79
2024-07-21,84
2024-07-28,76
2024-08-04,97
2024-08-11,99
2024-08-18,91
2024-08-25,73
2024-09-01,75
2024-09-08,93
2024-09-15,99
2024-09-22,74
2024-09-29,79
2024-10-06,98
2024-10-13,98
2024-10-20,100
2024-10-27,91
2024-11-03,76
2024-11-10,89
2024-11-17,87
2024-11-24,91
2024-12-01,65
2024-12-08,61
2024-12-15,86
2024-12-22,75
2024-12-29,60
2025-01-05,69
2025-01-12,89
2025-01-19,72
2025-01-26,63
2025-02-02,78
2025-02-09,75
2025-02-16,94
2025-02-23,65
2025-03-02,63
2025-03-09,78
2025-03-16,68
2025-03-23,76
2025-03-30,62
2025-04-06,80
2025-04-13,84
2025-04-20,91
2025-04-27,93
2025-05-04,83
2025-05-11,70
2025-05-18,82
2025-05-25,53
2025-06-01,59
2025-06-08,92
2025-06-15,91
2025-06-22,75
2025-06-29,72
2025-07-06,62
2025-07-13,61
2025-07-20,65
2025-07-27,66
2025-08-03,73
2025-08-10,61
2025-08-17,58
2025-08-24,82
2025-08-31,66
2025-09-07,81
2025-09-14,59
2025-09-21,60
2025-09-28,69
2025-10-05,77
2025-10-12,78
2025-10-19,81
2025-10-26,69
2025-11-02,71
2025-11-09,62
2025-11-16,53
2025-11-23,52
2025-11-30,67
2025-12-07,71
2025-12-14,66
2025-12-21,70
2025-12-28,55
2026-01-04,58
