,Mental Health
2014-12-28,31
2015-01-04,32
2015-01-11,32
2015-01-18,33
2015-01-25,34
2015-02-01,36
2015-02-08,31
2015-02-15,36
2015-02-22,33
2015-03-01,33
2015-03-08,37
2015-03-15,36
2015-03-22,37
2015-03-29,39
2015-04-05,37
2015-04-12,36
2015-04-19,36
2015-04-26,33
2015-05-03,34
2015-05-10,38
2015-05-17,36
2015-05-24,43
2015-05-31,35
2015-06-07,34
2015-06-14,36
2015-06-21,43
2015-06-28,49
2015-07-05,48
2015-07-12,47
2015-07-19,48
2015-07-26,50
2015-08-02,52
2015-08-09,51
2015-08-16,50
2015-08-23,48
2015-08-30,50
2015-09-06,52
2015-09-13,48
2015-09-20,50
2015-09-27,49
2015-10-04,51
2015-10-11,48
2015-10-18,43
2015-10-25,47
2015-11-01,43
2015-11-08,37
2015-11-15,42
2015-11-22,44
2015-11-29,44
2015-12-06,43
2015-12-13,43
2015-12-20,44
2015-12-27,42
2016-01-03,41
2016-01-10,39
2016-01-17,41
2016-01-24,38
2016-01-31,40
2016-02-07,40
2016-02-14,42
2016-02-21,42
2016-02-28,42
2016-03-06,42
2016-03-13,55
2016-03-20,41
2016-03-27,45
2016-04-03,46
2016-04-10,42
2016-04-17,45
2016-04-24,47
2016-05-01,44
2016-05-08,43
2016-05-15,43
2016-05-22,47
2016-05-29,54
2016-06-05,48
2016-06-12,52
2016-06-19,47
2016-06-26,49
2016-07-03,46
2016-07-10,46
2016-07-17,48
2016-07-24,49
2016-07-31,49
2016-08-07,47
2016-08-14,46
2016-08-21,49
2016-08-28,51
2016-09-04,50
2016-09-11,49
2016-09-18,53
2016-09-25,50
2016-10-02,51
2016-10-09,46
2016-10-16,53
2016-10-23,45
2016-10-30,45
2016-11-06,46
2016-11-13,49
2016-11-20,50
2016-11-27,54
2016-12-04,51
2016-12-11,48
2016-12-18,55
2016-12-25,51
2017-01-01,49
2017-01-08,46
2017-01-15,49
2017-01-22,48
2017-01-29,49
2017-02-05,49
2017-02-12,51
2017-02-19,52
2017-02-26,53
2017-03-05,49
2017-03-12,50
2017-03-19,54
2017-03-26,56
2017-04-02,62
2017-04-09,54
2017-04-16,55
2017-04-23,53
2017-04-30,55
2017-05-07,55
2017-05-14,53
2017-05-21,58
2017-05-28,59
2017-06-04,55
2017-06-11,57
2017-06-18,60
2017-06-25,58
2017-07-02,61
2017-07-09,60
2017-07-16,62
2017-07-23,62
2017-07-30,63
2017-08-06,57
2017-08-13,60
2017-08-20,61
2017-08-27,59
2017-09-03,60
2017-09-10,61
2017-09-17,67
2017-09-24,57
2017-10-01,59
2017-10-08,65
2017-10-15,52
2017-10-22,60
2017-10-29,56
2017-11-05,61
2017-11-12,60
2017-11-19,60
2017-11-26,60
2017-12-03,58
2017-12-10,58
2017-12-17,59
2017-12-24,59
2017-12-31,59
2018-01-07,57
2018-01-14,58
2018-01-21,54
2018-01-28,61
2018-02-04,60
2018-02-11,60
2018-02-18,62
2018-02-25,58
2018-03-04,61
2018-03-11,65
2018-03-18,63
2018-03-25,67
2018-04-01,69
2018-04-08,68
2018-04-15,60
2018-04-22,69
2018-04-29,72
2018-05-06,63
2018-05-13,62
2018-05-20,62
2018-05-27,66
2018-06-03,64
2018-06-10,66
2018-06-17,67
2018-06-24,66
2018-07-01,67
2018-07-08,67
2018-07-15,73
2018-07-22,71
2018-07-29,75
2018-08-05,76
2018-08-12,77
2018-08-19,83
2018-08-26,93
2018-09-02,86
2018-09-09,79
2018-09-16,80
2018-09-23,92
2018-09-30,84
2018-10-07,90
2018-10-14,79
2018-10-21,85
2018-10-28,89
2018-11-04,70
2018-11-11,85
2018-11-18,86
2018-11-25,89
2018-12-02,80
2018-12-09,80
2018-12-16,81
2018-12-23,80
2018-12-30,74
2019-01-06,78
2019-01-13,73
2019-01-20,77
2019-01-27,84
2019-02-03,82
2019-02-10,77
2019-02-17,78
2019-02-24,81
2019-03-03,94
2019-03-10,98
2019-03-17,100
2019-03-24,93
2019-03-31,82
2019-04-07,75
2019-04-14,73
2019-04-21,72
2019-04-28,69
2019-05-05,70
2019-05-12,75
2019-05-19,76
2019-05-26,76
2019-06-02,72
2019-06-09,72
2019-06-16,76
2019-06-23,84
2019-06-30,75
2019-07-07,79
2019-07-14,82
2019-07-21,80
2019-07-28,82
2019-08-04,72
2019-08-11,69
2019-08-18,83
2019-08-25,81
2019-09-01,75
2019-09-08,81
2019-09-15,82
2019-09-22,81
2019-09-29,74
2019-10-06,78
2019-10-13,77
2019-10-20,72
2019-10-27,68
2019-11-03,77
2019-11-10,81
2019-11-17,83
2019-11-24,81
2019-12-01,77
2019-12-08,76
2019-12-15,76
2019-12-22,74
2019-12-29,76
2020-01-05,77
