,Consumer Electronics
2023-01-01,45
2023-01-08,46
2023-01-15,42
2023-01-22,46
2023-01-29,47
2023-02-05,46
2023-02-12,46
2023-02-19,43
2023-02-26,45
2023-03-05,43
2023-03-12,44
2023-03-19,48
2023-03-26,46
2023-04-02,44
2023-04-09,43
2023-04-16,43
2023-04-23,45
2023-04-30,43
2023-05-07,46
2023-05-14,45
2023-05-21,48
2023-05-28,46
2023-06-04,50
2023-06-11,48
2023-06-18,48
2023-06-25,51
2023-07-02,48
2023-07-09,50
2023-07-16,51
2023-07-23,48
2023-07-30,88
2023-08-06,87
2023-08-13,89
2023-08-20,58
2023-08-27,51
2023-09-03,50
2023-09-10,47
2023-09-17,47
2023-09-24,50
2023-10-01,47
2023-10-08,46
2023-10-15,47
2023-10-22,45
2023-10-29,47
2023-11-05,45
2023-11-12,47
2023-11-19,48
2023-11-26,48
2023-12-03,52
2023-12-10,54
2023-12-17,56
2023-12-24,55
2023-12-31,52
2024-01-07,49
2024-01-14,45
2024-01-21,47
2024-01-28,49
2024-02-04,47
2024-02-11,47
2024-02-18,47
2024-02-25,47
2024-03-03,46
2024-03-10,46
2024-03-17,47
2024-03-24,50
2024-03-31,51
2024-04-07,46
2024-04-14,47
2024-04-21,45
2024-04-28,48
2024-05-05,50
2024-05-12,52
2024-05-19,44
2024-05-26,49
2024-06-02,50
2024-06-09,49
2024-06-16,48
2024-06-23,48
2024-06-30,100
2024-07-07,93
2024-07-14,97
2024-07-21,64
2024-07-28,53
2024-08-04,53
2024-08-11,54
2024-08-18,52
2024-08-25,51
2024-09-01,52
2024-09-08,51
2024-09-15,49
2024-09-22,46
2024-09-29,49
2024-10-06,52
2024-10-13,51
2024-10-20,51
2024-10-27,53
2024-11-03,49
2024-11-10,51
2024-11-17,52
2024-11-24,59
2024-12-01,55
2024-12-08,56
2024-12-15,59
2024-12-22,59
2024-12-29,56
2025-01-05,52
2025-01-12,51
2025-01-19,52
2025-01-26,51
2025-02-02,49
2025-02-09,49
2025-02-16,49
2025-02-23,50
2025-03-02,51
2025-03-09,48
2025-03-16,51
2025-03-23,51
2025-03-30,51
2025-04-06,50
2025-04-13,42
2025-04-20,53
2025-04-27,49
2025-05-04,48
2025-05-11,46
2025-05-18,51
2025-05-25,49
2025-06-01,50
2025-06-08,49
2025-06-15,49
2025-06-22,51
2025-06-29,52
2025-07-06,50
2025-07-13,52
2025-07-20,50
2025-07-27,51
2025-08-03,52
2025-08-10,49
2025-08-17,50
2025-08-24,50
2025-08-31,51
2025-09-07,52
2025-09-14,51
2025-09-21,52
2025-09-28,50
2025-10-05,49
2025-10-12,51
2025-10-19,52
2025-10-26,48
2025-11-02,47
2025-11-09,52
2025-11-16,54
2025-11-23,51
2025-11-30,44
2025-12-07,51
2025-12-14,55
2025-12-21,62
2025-12-28,58
