,Agriculture & Forestry
2014-12-28,49
2015-01-04,42
2015-01-11,52
2015-01-18,51
2015-01-25,57
2015-02-01,48
2015-02-08,58
2015-02-15,67
2015-02-22,58
2015-03-01,60
2015-03-08,59
2015-03-15,58
2015-03-22,59
2015-03-29,59
2015-04-05,49
2015-04-12,45
2015-04-19,60
2015-04-26,63
2015-05-03,63
2015-05-10,72
2015-05-17,69
2015-05-24,65
2015-05-31,62
2015-06-07,64
2015-06-14,65
2015-06-21,63
2015-06-28,65
2015-07-05,64
2015-07-12,65
2015-07-19,65
2015-07-26,59
2015-08-02,64
2015-08-09,67
2015-08-16,52
2015-08-23,61
2015-08-30,63
2015-09-06,67
2015-09-13,65
2015-09-20,69
2015-09-27,62
2015-10-04,68
2015-10-11,69
2015-10-18,67
2015-10-25,67
2015-11-01,66
2015-11-08,64
2015-11-15,65
2015-11-22,63
2015-11-29,61
2015-12-06,62
2015-12-13,60
2015-12-20,62
2015-12-27,68
2016-01-03,71
2016-01-10,79
2016-01-17,71
2016-01-24,70
2016-01-31,64
2016-02-07,77
2016-02-14,82
2016-02-21,69
2016-02-28,78
2016-03-06,71
2016-03-13,68
2016-03-20,70
2016-03-27,71
2016-04-03,63
2016-04-10,48
2016-04-17,63
2016-04-24,71
2016-05-01,77
2016-05-08,73
2016-05-15,73
2016-05-22,67
2016-05-29,77
2016-06-05,77
2016-06-12,80
2016-06-19,79
2016-06-26,79
2016-07-03,86
2016-07-10,85
2016-07-17,73
2016-07-24,75
2016-07-31,77
2016-08-07,76
2016-08-14,74
2016-08-21,75
2016-08-28,79
2016-09-04,75
2016-09-11,75
2016-09-18,81
2016-09-25,82
2016-10-02,84
2016-10-09,83
2016-10-16,82
2016-10-23,81
2016-10-30,89
2016-11-06,81
2016-11-13,85
2016-11-20,81
2016-11-27,78
2016-12-04,74
2016-12-11,73
2016-12-18,75
2016-12-25,78
2017-01-01,80
2017-01-08,85
2017-01-15,82
2017-01-22,85
2017-01-29,77
2017-02-05,78
2017-02-12,80
2017-02-19,70
2017-02-26,81
2017-03-05,80
2017-03-12,84
2017-03-19,86
2017-03-26,80
2017-04-02,66
2017-04-09,60
2017-04-16,78
2017-04-23,73
2017-04-30,74
2017-05-07,66
2017-05-14,76
2017-05-21,76
2017-05-28,74
2017-06-04,66
2017-06-11,72
2017-06-18,73
2017-06-25,80
2017-07-02,78
2017-07-09,78
2017-07-16,84
2017-07-23,78
2017-07-30,77
2017-08-06,77
2017-08-13,84
2017-08-20,72
2017-08-27,70
2017-09-03,73
2017-09-10,81
2017-09-17,85
2017-09-24,84
2017-10-01,75
2017-10-08,83
2017-10-15,88
2017-10-22,80
2017-10-29,82
2017-11-05,81
2017-11-12,84
2017-11-19,82
2017-11-26,73
2017-12-03,77
2017-12-10,73
2017-12-17,75
2017-12-24,82
2017-12-31,77
2018-01-07,84
2018-01-14,81
2018-01-21,81
2018-01-28,73
2018-02-04,74
2018-02-11,80
2018-02-18,82
2018-02-25,76
2018-03-04,75
2018-03-11,70
2018-03-18,77
2018-03-25,67
2018-04-01,65
2018-04-08,53
2018-04-15,61
2018-04-22,71
2018-04-29,65
2018-05-06,72
2018-05-13,78
2018-05-20,76
2018-05-27,81
2018-06-03,85
2018-06-10,81
2018-06-17,80
2018-06-24,73
2018-07-01,84
2018-07-08,85
2018-07-15,91
2018-07-22,84
2018-07-29,78
2018-08-05,86
2018-08-12,87
2018-08-19,81
2018-08-26,83
2018-09-02,83
2018-09-09,88
2018-09-16,83
2018-09-23,89
2018-09-30,82
2018-10-07,91
2018-10-14,89
2018-10-21,77
2018-10-28,87
2018-11-04,80
2018-11-11,75
2018-11-18,76
2018-11-25,79
2018-12-02,78
2018-12-09,81
2018-12-16,79
2018-12-23,83
2018-12-30,85
2019-01-06,90
2019-01-13,92
2019-01-20,90
2019-01-27,90
2019-02-03,79
2019-02-10,90
2019-02-17,87
2019-02-24,88
2019-03-03,88
2019-03-10,90
2019-03-17,92
2019-03-24,90
2019-03-31,77
2019-04-07,63
2019-04-14,73
2019-04-21,60
2019-04-28,65
2019-05-05,70
2019-05-12,62
2019-05-19,75
2019-05-26,78
2019-06-02,80
2019-06-09,83
2019-06-16,91
2019-06-23,93
2019-06-30,85
2019-07-07,87
2019-07-14,89
2019-07-21,89
2019-07-28,84
2019-08-04,87
2019-08-11,81
2019-08-18,88
2019-08-25,90
2019-09-01,96
2019-09-08,100
2019-09-15,100
2019-09-22,89
2019-09-29,78
2019-10-06,81
2019-10-13,81
2019-10-20,89
2019-10-27,83
2019-11-03,79
2019-11-10,73
2019-11-17,81
2019-11-24,81
2019-12-01,83
2019-12-08,83
2019-12-15,89
2019-12-22,90
2019-12-29,89
2020-01-05,99
