,Economy News
2023-01-01,51
2023-01-08,52
2023-01-15,67
2023-01-22,62
2023-01-29,62
2023-02-05,66
2023-02-12,56
2023-02-19,61
2023-02-26,77
2023-03-05,67
2023-03-12,59
2023-03-19,55
2023-03-26,54
2023-04-02,40
2023-04-09,44
2023-04-16,45
2023-04-23,51
2023-04-30,52
2023-05-07,52
2023-05-14,58
2023-05-21,67
2023-05-28,100
2023-06-04,60
2023-06-11,53
2023-06-18,55
2023-06-25,57
2023-07-02,43
2023-07-09,55
2023-07-16,48
2023-07-23,58
2023-07-30,45
2023-08-06,57
2023-08-13,59
2023-08-20,40
2023-08-27,52
2023-09-03,39
2023-09-10,43
2023-09-17,63
2023-09-24,44
2023-10-01,43
2023-10-08,50
2023-10-15,46
2023-10-22,50
2023-10-29,42
2023-11-05,45
2023-11-12,52
2023-11-19,40
2023-11-26,47
2023-12-03,41
2023-12-10,41
2023-12-17,53
2023-12-24,44
2023-12-31,56
2024-01-07,68
2024-01-14,48
2024-01-21,45
2024-01-28,45
2024-02-04,53
2024-02-11,47
2024-02-18,44
2024-02-25,43
2024-03-03,40
2024-03-10,46
2024-03-17,49
2024-03-24,52
2024-03-31,43
2024-04-07,28
2024-04-14,50
2024-04-21,46
2024-04-28,47
2024-05-05,50
2024-05-12,55
2024-05-19,43
2024-05-26,42
2024-06-02,49
2024-06-09,43
2024-06-16,48
2024-06-23,43
2024-06-30,46
2024-07-07,49
2024-07-14,49
2024-07-21,49
2024-07-28,42
2024-08-04,73
2024-08-11,58
2024-08-18,34
2024-08-25,49
2024-09-01,51
2024-09-08,52
2024-09-15,53
2024-09-22,39
2024-09-29,52
2024-10-06,43
2024-10-13,44
2024-10-20,46
2024-10-27,51
2024-11-03,40
2024-11-10,35
2024-11-17,36
2024-11-24,50
2024-12-01,46
2024-12-08,42
2024-12-15,40
2024-12-22,47
2024-12-29,43
2025-01-05,47
2025-01-12,52
2025-01-19,46
2025-01-26,40
2025-02-02,41
2025-02-09,34
2025-02-16,44
2025-02-23,40
2025-03-02,55
2025-03-09,60
2025-03-16,45
2025-03-23,29
2025-03-30,51
2025-04-06,41
2025-04-13,45
2025-04-20,46
2025-04-27,37
2025-05-04,48
2025-05-11,43
2025-05-18,33
2025-05-25,43
2025-06-01,44
2025-06-08,44
2025-06-15,55
2025-06-22,53
2025-06-29,30
2025-07-06,31
2025-07-13,36
2025-07-20,38
2025-07-27,48
2025-08-03,34
2025-08-10,45
2025-08-17,32
2025-08-24,40
2025-08-31,40
2025-09-07,43
2025-09-14,41
2025-09-21,31
2025-09-28,33
2025-10-05,35
2025-10-12,37
2025-10-19,40
2025-10-26,37
2025-11-02,43
2025-11-09,36
2025-11-16,44
2025-11-23,65
2025-11-30,56
2025-12-07,44
2025-12-14,58
2025-12-21,40
2025-12-28,40
