,Textiles & Nonwovens
2023-01-01,52
2023-01-08,55
2023-01-15,69
2023-01-22,55
2023-01-29,46
2023-02-05,39
2023-02-12,50
2023-02-19,67
2023-02-26,44
2023-03-05,57
2023-03-12,25
2023-03-19,41
2023-03-26,38
2023-04-02,49
2023-04-09,70
2023-04-16,56
2023-04-23,31
2023-04-30,66
2023-05-07,53
2023-05-14,53
2023-05-21,62
2023-05-28,58
2023-06-04,63
2023-06-11,74
2023-06-18,31
2023-06-25,27
2023-07-02,61
2023-07-09,55
2023-07-16,59
2023-07-23,38
2023-07-30,44
2023-08-06,33
2023-08-13,70
2023-08-20,52
2023-08-27,64
2023-09-03,49
2023-09-10,74
2023-09-17,54
2023-09-24,53
2023-10-01,72
2023-10-08,75
2023-10-15,55
2023-10-22,65
2023-10-29,54
2023-11-05,81
2023-11-12,58
2023-11-19,79
2023-11-26,68
2023-12-03,65
2023-12-10,47
2023-12-17,54
2023-12-24,80
2023-12-31,64
2024-01-07,53
2024-01-14,87
2024-01-21,47
2024-01-28,55
2024-02-04,74
2024-02-11,66
2024-02-18,69
2024-02-25,82
2024-03-03,63
2024-03-10,64
2024-03-17,73
2024-03-24,68
2024-03-31,67
2024-04-07,77
2024-04-14,70
2024-04-21,65
2024-04-28,60
2024-05-05,53
2024-05-12,49
2024-05-19,64
2024-05-26,70
2024-06-02,66
2024-06-09,90
2024-06-16,64
2024-06-23,72
2024-06-30,63
2024-07-07,57
2024-07-14,100
2024-07-21,75
2024-07-28,47
2024-08-04,66
2024-08-11,60
2024-08-18,62
2024-08-25,61
2024-09-01,61
2024-09-08,35
2024-09-15,64
2024-09-22,55
2024-09-29,78
2024-10-06,52
2024-10-13,74
2024-10-20,68
2024-10-27,63
2024-11-03,77
2024-11-10,42
2024-11-17,57
2024-11-24,63
2024-12-01,68
2024-12-08,41
2024-12-15,68
2024-12-22,83
2024-12-29,66
2025-01-05,63
2025-01-12,46
2025-01-19,51
2025-01-26,53
2025-02-02,50
2025-02-09,75
2025-02-16,81
2025-02-23,84
2025-03-02,49
2025-03-09,33
2025-03-16,60
2025-03-23,50
2025-03-30,75
2025-04-06,71
2025-04-13,67
2025-04-20,91
2025-04-27,71
2025-05-04,43
2025-05-11,56
2025-05-18,76
2025-05-25,53
2025-06-01,83
2025-06-08,88
2025-06-15,67
2025-06-22,31
2025-06-29,86
2025-07-06,77
2025-07-13,67
2025-07-20,34
2025-07-27,60
2025-08-03,61
2025-08-10,71
2025-08-17,76
2025-08-24,63
2025-08-31,52
2025-09-07,62
2025-09-14,64
2025-09-21,51
2025-09-28,73
2025-10-05,66
2025-10-12,41
2025-10-19,73
2025-10-26,53
2025-11-02,51
2025-11-09,95
2025-11-16,91
2025-11-23,76
2025-11-30,72
2025-12-07,83
2025-12-14,97
2025-12-21,90
2025-12-28,85
2026-01-04,99
