,Newspapers
2014-12-28,86
2015-01-04,100
2015-01-11,88
2015-01-18,77
2015-01-25,83
2015-02-01,83
2015-02-08,77
2015-02-15,86
2015-02-22,94
2015-03-01,86
2015-03-08,85
2015-03-15,91
2015-03-22,81
2015-03-29,83
2015-04-05,75
2015-04-12,79
2015-04-19,76
2015-04-26,78
2015-05-03,70
2015-05-10,83
2015-05-17,72
2015-05-24,66
2015-05-31,75
2015-06-07,70
2015-06-14,63
2015-06-21,65
2015-06-28,81
2015-07-05,79
2015-07-12,90
2015-07-19,76
2015-07-26,65
2015-08-02,77
2015-08-09,72
2015-08-16,87
2015-08-23,74
2015-08-30,78
2015-09-06,72
2015-09-13,71
2015-09-20,63
2015-09-27,75
2015-10-04,69
2015-10-11,64
2015-10-18,82
2015-10-25,88
2015-11-01,75
2015-11-08,84
2015-11-15,80
2015-11-22,70
2015-11-29,62
2015-12-06,63
2015-12-13,67
2015-12-20,63
2015-12-27,73
2016-01-03,73
2016-01-10,70
2016-01-17,68
2016-01-24,76
2016-01-31,69
2016-02-07,78
2016-02-14,77
2016-02-21,72
2016-02-28,71
2016-03-06,78
2016-03-13,74
2016-03-20,77
2016-03-27,82
2016-04-03,75
2016-04-10,74
2016-04-17,73
2016-04-24,72
2016-05-01,76
2016-05-08,82
2016-05-15,100
2016-05-22,81
2016-05-29,74
2016-06-05,66
2016-06-12,68
2016-06-19,77
2016-06-26,81
2016-07-03,71
2016-07-10,84
2016-07-17,86
2016-07-24,70
2016-07-31,75
2016-08-07,57
2016-08-14,75
2016-08-21,76
2016-08-28,43
2016-09-04,67
2016-09-11,53
2016-09-18,37
2016-09-25,28
2016-10-02,26
2016-10-09,27
2016-10-16,26
2016-10-23,20
2016-10-30,23
2016-11-06,29
2016-11-13,22
2016-11-20,19
2016-11-27,20
2016-12-04,27
2016-12-11,21
2016-12-18,22
2016-12-25,18
2017-01-01,22
2017-01-08,28
2017-01-15,25
2017-01-22,25
2017-01-29,38
2017-02-05,78
2017-02-12,73
2017-02-19,68
2017-02-26,56
2017-03-05,57
2017-03-12,59
2017-03-19,56
2017-03-26,74
2017-04-02,61
2017-04-09,71
2017-04-16,69
2017-04-23,64
2017-04-30,52
2017-05-07,60
2017-05-14,53
2017-05-21,56
2017-05-28,48
2017-06-04,49
2017-06-11,46
2017-06-18,52
2017-06-25,47
2017-07-02,59
2017-07-09,60
2017-07-16,58
2017-07-23,61
2017-07-30,60
2017-08-06,56
2017-08-13,61
2017-08-20,70
2017-08-27,52
2017-09-03,49
2017-09-10,61
2017-09-17,51
2017-09-24,59
2017-10-01,51
2017-10-08,55
2017-10-15,45
2017-10-22,49
2017-10-29,54
2017-11-05,51
2017-11-12,51
2017-11-19,45
2017-11-26,53
2017-12-03,46
2017-12-10,48
2017-12-17,52
2017-12-24,43
2017-12-31,43
2018-01-07,44
2018-01-14,49
2018-01-21,49
2018-01-28,54
2018-02-04,68
2018-02-11,63
2018-02-18,57
2018-02-25,57
2018-03-04,55
2018-03-11,62
2018-03-18,47
2018-03-25,54
2018-04-01,54
2018-04-08,61
2018-04-15,51
2018-04-22,55
2018-04-29,42
2018-05-06,51
2018-05-13,57
2018-05-20,49
2018-05-27,48
2018-06-03,48
2018-06-10,39
2018-06-17,44
2018-06-24,51
2018-07-01,45
2018-07-08,49
2018-07-15,53
2018-07-22,48
2018-07-29,48
2018-08-05,51
2018-08-12,61
2018-08-19,41
2018-08-26,45
2018-09-02,43
2018-09-09,51
2018-09-16,44
2018-09-23,48
2018-09-30,36
2018-10-07,92
2018-10-14,51
2018-10-21,46
2018-10-28,45
2018-11-04,64
2018-11-11,51
2018-11-18,43
2018-11-25,39
2018-12-02,44
2018-12-09,46
2018-12-16,49
2018-12-23,57
2018-12-30,60
2019-01-06,45
2019-01-13,44
2019-01-20,47
2019-01-27,42
2019-02-03,51
2019-02-10,57
2019-02-17,53
2019-02-24,63
2019-03-03,57
2019-03-10,53
2019-03-17,55
2019-03-24,50
2019-03-31,63
2019-04-07,46
2019-04-14,62
2019-04-21,63
2019-04-28,51
2019-05-05,49
2019-05-12,51
2019-05-19,62
2019-05-26,54
2019-06-02,43
2019-06-09,46
2019-06-16,48
2019-06-23,44
2019-06-30,54
2019-07-07,48
2019-07-14,56
2019-07-21,54
2019-07-28,47
2019-08-04,57
2019-08-11,45
2019-08-18,54
2019-08-25,58
2019-09-01,49
2019-09-08,45
2019-09-15,46
2019-09-22,49
2019-09-29,47
2019-10-06,51
2019-10-13,49
2019-10-20,56
2019-10-27,57
2019-11-03,51
2019-11-10,48
2019-11-17,48
2019-11-24,53
2019-12-01,47
2019-12-08,46
2019-12-15,54
2019-12-22,61
2019-12-29,49
2020-01-05,61
