,Fast Food
2014-12-28,0
2015-01-04,0
2015-01-11,40
2015-01-18,0
2015-01-25,0
2015-02-01,36
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,35
2015-04-12,0
2015-04-19,0
2015-04-26,0
2015-05-03,45
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,40
2015-06-07,34
2015-06-14,0
2015-06-21,39
2015-06-28,48
2015-07-05,53
2015-07-12,34
2015-07-19,35
2015-07-26,0
2015-08-02,37
2015-08-09,53
2015-08-16,41
2015-08-23,30
2015-08-30,0
2015-09-06,47
2015-09-13,30
2015-09-20,0
2015-09-27,47
2015-10-04,0
2015-10-11,37
2015-10-18,0
2015-10-25,35
2015-11-01,0
2015-11-08,0
2015-11-15,33
2015-11-22,0
2015-11-29,34
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,30
2016-01-17,0
2016-01-24,41
2016-01-31,33
2016-02-07,0
2016-02-14,47
2016-02-21,40
2016-02-28,31
2016-03-06,57
2016-03-13,32
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,35
2016-04-24,42
2016-05-01,34
2016-05-08,45
2016-05-15,34
2016-05-22,44
2016-05-29,36
2016-06-05,56
2016-06-12,52
2016-06-19,56
2016-06-26,60
2016-07-03,48
2016-07-10,46
2016-07-17,40
2016-07-24,0
2016-07-31,45
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,38
2016-09-04,0
2016-09-11,0
2016-09-18,48
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,34
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,56
2017-02-19,33
2017-02-26,27
2017-03-05,30
2017-03-12,41
2017-03-19,0
2017-03-26,31
2017-04-02,37
2017-04-09,34
2017-04-16,37
2017-04-23,38
2017-04-30,47
2017-05-07,51
2017-05-14,0
2017-05-21,0
2017-05-28,45
2017-06-04,64
2017-06-11,41
2017-06-18,0
2017-06-25,41
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,41
2017-07-30,0
2017-08-06,0
2017-08-13,31
2017-08-20,0
2017-08-27,0
2017-09-03,32
2017-09-10,39
2017-09-17,0
2017-09-24,0
2017-10-01,43
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,48
2017-11-05,35
2017-11-12,46
2017-11-19,0
2017-11-26,0
2017-12-03,36
2017-12-10,0
2017-12-17,34
2017-12-24,32
2017-12-31,42
2018-01-07,29
2018-01-14,34
2018-01-21,31
2018-01-28,29
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,44
2018-03-04,32
2018-03-11,40
2018-03-18,37
2018-03-25,44
2018-04-01,47
2018-04-08,0
2018-04-15,0
2018-04-22,34
2018-04-29,49
2018-05-06,50
2018-05-13,31
2018-05-20,65
2018-05-27,60
2018-06-03,47
2018-06-10,55
2018-06-17,0
2018-06-24,41
2018-07-01,43
2018-07-08,90
2018-07-15,36
2018-07-22,100
2018-07-29,78
2018-08-05,38
2018-08-12,31
2018-08-19,41
2018-08-26,38
2018-09-02,32
2018-09-09,42
2018-09-16,30
2018-09-23,53
2018-09-30,45
2018-10-07,51
2018-10-14,32
2018-10-21,57
2018-10-28,49
2018-11-04,34
2018-11-11,39
2018-11-18,50
2018-11-25,45
2018-12-02,35
2018-12-09,41
2018-12-16,35
2018-12-23,61
2018-12-30,36
2019-01-06,29
2019-01-13,25
2019-01-20,47
2019-01-27,30
2019-02-03,40
2019-02-10,50
2019-02-17,79
2019-02-24,53
2019-03-03,60
2019-03-10,49
2019-03-17,46
2019-03-24,47
2019-03-31,47
2019-04-07,36
2019-04-14,53
2019-04-21,46
2019-04-28,54
2019-05-05,51
2019-05-12,40
2019-05-19,65
2019-05-26,49
2019-06-02,76
2019-06-09,47
2019-06-16,33
2019-06-23,59
2019-06-30,49
2019-07-07,45
2019-07-14,45
2019-07-21,51
2019-07-28,42
2019-08-04,56
2019-08-11,45
2019-08-18,37
2019-08-25,48
2019-09-01,36
2019-09-08,39
2019-09-15,71
2019-09-22,41
2019-09-29,28
2019-10-06,60
2019-10-13,50
2019-10-20,49
2019-10-27,0
2019-11-03,53
2019-11-10,47
2019-11-17,45
2019-11-24,60
2019-12-01,27
2019-12-08,62
2019-12-15,39
2019-12-22,79
2019-12-29,68
2020-01-05,57
