,Fast Food
2023-01-01,40
2023-01-08,36
2023-01-15,36
2023-01-22,36
2023-01-29,37
2023-02-05,37
2023-02-12,36
2023-02-19,34
2023-02-26,37
2023-03-05,37
2023-03-12,36
2023-03-19,36
2023-03-26,36
2023-04-02,37
2023-04-09,37
2023-04-16,37
2023-04-23,39
2023-04-30,38
2023-05-07,39
2023-05-14,37
2023-05-21,37
2023-05-28,39
2023-06-04,41
2023-06-11,39
2023-06-18,40
2023-06-25,43
2023-07-02,40
2023-07-09,40
2023-07-16,40
2023-07-23,38
2023-07-30,38
2023-08-06,37
2023-08-13,40
2023-08-20,35
2023-08-27,37
2023-09-03,36
2023-09-10,35
2023-09-17,38
2023-09-24,40
2023-10-01,40
2023-10-08,37
2023-10-15,34
2023-10-22,36
2023-10-29,34
2023-11-05,34
2023-11-12,34
2023-11-19,35
2023-11-26,43
2023-12-03,85
2023-12-10,84
2023-12-17,89
2023-12-24,100
2023-12-31,93
2024-01-07,84
2024-01-14,79
2024-01-21,76
2024-01-28,87
2024-02-04,83
2024-02-11,80
2024-02-18,66
2024-02-25,74
2024-03-03,32
2024-03-10,32
2024-03-17,33
2024-03-24,37
2024-03-31,35
2024-04-07,34
2024-04-14,36
2024-04-21,35
2024-04-28,36
2024-05-05,34
2024-05-12,35
2024-05-19,38
2024-05-26,39
2024-06-02,35
2024-06-09,37
2024-06-16,38
2024-06-23,35
2024-06-30,36
2024-07-07,35
2024-07-14,38
2024-07-21,38
2024-07-28,39
2024-08-04,35
2024-08-11,41
2024-08-18,37
2024-08-25,38
2024-09-01,35
2024-09-08,34
2024-09-15,35
2024-09-22,33
2024-09-29,35
2024-10-06,33
2024-10-13,48
2024-10-20,74
2024-10-27,71
2024-11-03,77
2024-11-10,72
2024-11-17,81
2024-11-24,66
2024-12-01,67
2024-12-08,71
2024-12-15,76
2024-12-22,89
2024-12-29,49
2025-01-05,29
2025-01-12,28
2025-01-19,28
2025-01-26,27
2025-02-02,26
2025-02-09,29
2025-02-16,26
2025-02-23,26
2025-03-02,26
2025-03-09,27
2025-03-16,27
2025-03-23,26
2025-03-30,27
2025-04-06,27
2025-04-13,29
2025-04-20,30
2025-04-27,29
2025-05-04,28
2025-05-11,30
2025-05-18,30
2025-05-25,34
2025-06-01,33
2025-06-08,33
2025-06-15,31
2025-06-22,34
2025-06-29,30
2025-07-06,30
2025-07-13,30
2025-07-20,30
2025-07-27,29
2025-08-03,31
2025-08-10,31
2025-08-17,30
2025-08-24,49
2025-08-31,80
2025-09-07,77
2025-09-14,74
2025-09-21,63
2025-09-28,69
2025-10-05,81
2025-10-12,90
2025-10-19,90
2025-10-26,94
2025-11-02,28
2025-11-09,30
2025-11-16,26
2025-11-23,26
2025-11-30,31
2025-12-07,28
2025-12-14,28
2025-12-21,34
2025-12-28,33
2026-01-04,27
