,Home Improvement
2014-12-28,24
2015-01-04,22
2015-01-11,20
2015-01-18,20
2015-01-25,20
2015-02-01,22
2015-02-08,23
2015-02-15,26
2015-02-22,27
2015-03-01,25
2015-03-08,28
2015-03-15,30
2015-03-22,34
2015-03-29,30
2015-04-05,30
2015-04-12,27
2015-04-19,32
2015-04-26,28
2015-05-03,30
2015-05-10,29
2015-05-17,32
2015-05-24,31
2015-05-31,26
2015-06-07,26
2015-06-14,24
2015-06-21,26
2015-06-28,30
2015-07-05,30
2015-07-12,30
2015-07-19,30
2015-07-26,29
2015-08-02,31
2015-08-09,30
2015-08-16,31
2015-08-23,28
2015-08-30,30
2015-09-06,30
2015-09-13,29
2015-09-20,30
2015-09-27,29
2015-10-04,31
2015-10-11,32
2015-10-18,29
2015-10-25,31
2015-11-01,29
2015-11-08,24
2015-11-15,26
2015-11-22,27
2015-11-29,25
2015-12-06,27
2015-12-13,28
2015-12-20,29
2015-12-27,27
2016-01-03,27
2016-01-10,25
2016-01-17,25
2016-01-24,27
2016-01-31,27
2016-02-07,28
2016-02-14,28
2016-02-21,30
2016-02-28,30
2016-03-06,32
2016-03-13,34
2016-03-20,35
2016-03-27,37
2016-04-03,38
2016-04-10,41
2016-04-17,40
2016-04-24,38
2016-05-01,38
2016-05-08,36
2016-05-15,39
2016-05-22,36
2016-05-29,37
2016-06-05,35
2016-06-12,32
2016-06-19,32
2016-06-26,32
2016-07-03,33
2016-07-10,31
2016-07-17,33
2016-07-24,34
2016-07-31,33
2016-08-07,34
2016-08-14,29
2016-08-21,34
2016-08-28,33
2016-09-04,32
2016-09-11,34
2016-09-18,36
2016-09-25,33
2016-10-02,36
2016-10-09,33
2016-10-16,36
2016-10-23,33
2016-10-30,31
2016-11-06,33
2016-11-13,32
2016-11-20,31
2016-11-27,33
2016-12-04,33
2016-12-11,34
2016-12-18,35
2016-12-25,36
2017-01-01,35
2017-01-08,33
2017-01-15,31
2017-01-22,33
2017-01-29,35
2017-02-05,35
2017-02-12,35
2017-02-19,38
2017-02-26,37
2017-03-05,38
2017-03-12,36
2017-03-19,42
2017-03-26,49
2017-04-02,49
2017-04-09,47
2017-04-16,49
2017-04-23,45
2017-04-30,40
2017-05-07,41
2017-05-14,47
2017-05-21,50
2017-05-28,42
2017-06-04,45
2017-06-11,43
2017-06-18,43
2017-06-25,44
2017-07-02,44
2017-07-09,39
2017-07-16,41
2017-07-23,41
2017-07-30,40
2017-08-06,38
2017-08-13,41
2017-08-20,40
2017-08-27,38
2017-09-03,39
2017-09-10,41
2017-09-17,43
2017-09-24,41
2017-10-01,41
2017-10-08,43
2017-10-15,33
2017-10-22,38
2017-10-29,40
2017-11-05,39
2017-11-12,39
2017-11-19,38
2017-11-26,39
2017-12-03,38
2017-12-10,38
2017-12-17,38
2017-12-24,42
2017-12-31,39
2018-01-07,39
2018-01-14,37
2018-01-21,37
2018-01-28,40
2018-02-04,40
2018-02-11,41
2018-02-18,46
2018-02-25,41
2018-03-04,44
2018-03-11,48
2018-03-18,49
2018-03-25,56
2018-04-01,51
2018-04-08,49
2018-04-15,54
2018-04-22,56
2018-04-29,56
2018-05-06,52
2018-05-13,52
2018-05-20,56
2018-05-27,57
2018-06-03,52
2018-06-10,53
2018-06-17,52
2018-06-24,52
2018-07-01,50
2018-07-08,51
2018-07-15,47
2018-07-22,49
2018-07-29,50
2018-08-05,52
2018-08-12,51
2018-08-19,50
2018-08-26,56
2018-09-02,58
2018-09-09,58
2018-09-16,63
2018-09-23,65
2018-09-30,63
2018-10-07,63
2018-10-14,60
2018-10-21,68
2018-10-28,67
2018-11-04,50
2018-11-11,58
2018-11-18,58
2018-11-25,61
2018-12-02,56
2018-12-09,56
2018-12-16,61
2018-12-23,63
2018-12-30,58
2019-01-06,55
2019-01-13,53
2019-01-20,53
2019-01-27,53
2019-02-03,51
2019-02-10,55
2019-02-17,56
2019-02-24,56
2019-03-03,56
2019-03-10,61
2019-03-17,60
2019-03-24,70
2019-03-31,70
2019-04-07,70
2019-04-14,66
2019-04-21,62
2019-04-28,71
2019-05-05,66
2019-05-12,66
2019-05-19,66
2019-05-26,77
2019-06-02,76
2019-06-09,77
2019-06-16,78
2019-06-23,88
2019-06-30,100
2019-07-07,69
2019-07-14,62
2019-07-21,64
2019-07-28,57
2019-08-04,54
2019-08-11,52
2019-08-18,57
2019-08-25,61
2019-09-01,54
2019-09-08,58
2019-09-15,57
2019-09-22,56
2019-09-29,59
2019-10-06,55
2019-10-13,56
2019-10-20,52
2019-10-27,45
2019-11-03,51
2019-11-10,51
2019-11-17,52
2019-11-24,50
2019-12-01,50
2019-12-08,48
2019-12-15,50
2019-12-22,54
2019-12-29,52
2020-01-05,50
