,Social Services
2014-12-28,78
2015-01-04,65
2015-01-11,63
2015-01-18,72
2015-01-25,67
2015-02-01,58
2015-02-08,62
2015-02-15,69
2015-02-22,73
2015-03-01,55
2015-03-08,67
2015-03-15,74
2015-03-22,73
2015-03-29,70
2015-04-05,66
2015-04-12,55
2015-04-19,76
2015-04-26,70
2015-05-03,71
2015-05-10,67
2015-05-17,78
2015-05-24,70
2015-05-31,62
2015-06-07,65
2015-06-14,76
2015-06-21,71
2015-06-28,74
2015-07-05,74
2015-07-12,75
2015-07-19,75
2015-07-26,73
2015-08-02,79
2015-08-09,74
2015-08-16,76
2015-08-23,83
2015-08-30,69
2015-09-06,70
2015-09-13,74
2015-09-20,71
2015-09-27,75
2015-10-04,74
2015-10-11,76
2015-10-18,75
2015-10-25,66
2015-11-01,66
2015-11-08,74
2015-11-15,75
2015-11-22,73
2015-11-29,79
2015-12-06,70
2015-12-13,67
2015-12-20,67
2015-12-27,78
2016-01-03,95
2016-01-10,83
2016-01-17,99
2016-01-24,84
2016-01-31,75
2016-02-07,87
2016-02-14,84
2016-02-21,81
2016-02-28,76
2016-03-06,76
2016-03-13,81
2016-03-20,69
2016-03-27,91
2016-04-03,73
2016-04-10,46
2016-04-17,75
2016-04-24,81
2016-05-01,82
2016-05-08,79
2016-05-15,71
2016-05-22,80
2016-05-29,82
2016-06-05,81
2016-06-12,80
2016-06-19,79
2016-06-26,85
2016-07-03,84
2016-07-10,81
2016-07-17,93
2016-07-24,83
2016-07-31,88
2016-08-07,89
2016-08-14,85
2016-08-21,90
2016-08-28,83
2016-09-04,89
2016-09-11,82
2016-09-18,82
2016-09-25,89
2016-10-02,89
2016-10-09,89
2016-10-16,90
2016-10-23,79
2016-10-30,83
2016-11-06,92
2016-11-13,87
2016-11-20,91
2016-11-27,85
2016-12-04,80
2016-12-11,71
2016-12-18,80
2016-12-25,87
2017-01-01,87
2017-01-08,98
2017-01-15,95
2017-01-22,81
2017-01-29,100
2017-02-05,87
2017-02-12,88
2017-02-19,94
2017-02-26,86
2017-03-05,74
2017-03-12,91
2017-03-19,86
2017-03-26,79
2017-04-02,77
2017-04-09,49
2017-04-16,79
2017-04-23,82
2017-04-30,86
2017-05-07,73
2017-05-14,92
2017-05-21,80
2017-05-28,74
2017-06-04,77
2017-06-11,79
2017-06-18,78
2017-06-25,80
2017-07-02,86
2017-07-09,84
2017-07-16,75
2017-07-23,75
2017-07-30,82
2017-08-06,68
2017-08-13,70
2017-08-20,77
2017-08-27,68
2017-09-03,66
2017-09-10,76
2017-09-17,68
2017-09-24,70
2017-10-01,72
2017-10-08,71
2017-10-15,71
2017-10-22,74
2017-10-29,74
2017-11-05,76
2017-11-12,76
2017-11-19,77
2017-11-26,70
2017-12-03,73
2017-12-10,77
2017-12-17,82
2017-12-24,72
2017-12-31,90
2018-01-07,84
2018-01-14,88
2018-01-21,79
2018-01-28,81
2018-02-04,82
2018-02-11,74
2018-02-18,76
2018-02-25,71
2018-03-04,66
2018-03-11,69
2018-03-18,80
2018-03-25,68
2018-04-01,73
2018-04-08,53
2018-04-15,63
2018-04-22,65
2018-04-29,68
2018-05-06,70
2018-05-13,80
2018-05-20,71
2018-05-27,73
2018-06-03,70
2018-06-10,70
2018-06-17,82
2018-06-24,70
2018-07-01,75
2018-07-08,69
2018-07-15,88
2018-07-22,85
2018-07-29,94
2018-08-05,87
2018-08-12,83
2018-08-19,75
2018-08-26,72
2018-09-02,72
2018-09-09,75
2018-09-16,84
2018-09-23,82
2018-09-30,82
2018-10-07,94
2018-10-14,89
2018-10-21,76
2018-10-28,71
2018-11-04,74
2018-11-11,66
2018-11-18,62
2018-11-25,70
2018-12-02,64
2018-12-09,78
2018-12-16,75
2018-12-23,69
2018-12-30,84
2019-01-06,82
2019-01-13,75
2019-01-20,70
2019-01-27,73
2019-02-03,70
2019-02-10,86
2019-02-17,81
2019-02-24,74
2019-03-03,81
2019-03-10,84
2019-03-17,74
2019-03-24,79
2019-03-31,77
2019-04-07,58
2019-04-14,51
2019-04-21,64
2019-04-28,54
2019-05-05,70
2019-05-12,61
2019-05-19,76
2019-05-26,60
2019-06-02,72
2019-06-09,66
2019-06-16,70
2019-06-23,73
2019-06-30,79
2019-07-07,84
2019-07-14,81
2019-07-21,84
2019-07-28,79
2019-08-04,82
2019-08-11,72
2019-08-18,63
2019-08-25,73
2019-09-01,67
2019-09-08,66
2019-09-15,73
2019-09-22,64
2019-09-29,73
2019-10-06,67
2019-10-13,64
2019-10-20,63
2019-10-27,70
2019-11-03,66
2019-11-10,57
2019-11-17,67
2019-11-24,72
2019-12-01,62
2019-12-08,64
2019-12-15,74
2019-12-22,68
2019-12-29,90
2020-01-05,82
