,Office Supplies
2023-01-01,76
2023-01-08,76
2023-01-15,77
2023-01-22,79
2023-01-29,76
2023-02-05,76
2023-02-12,82
2023-02-19,82
2023-02-26,79
2023-03-05,81
2023-03-12,77
2023-03-19,82
2023-03-26,75
2023-04-02,68
2023-04-09,56
2023-04-16,67
2023-04-23,76
2023-04-30,65
2023-05-07,78
2023-05-14,79
2023-05-21,81
2023-05-28,70
2023-06-04,75
2023-06-11,89
2023-06-18,81
2023-06-25,86
2023-07-02,80
2023-07-09,86
2023-07-16,88
2023-07-23,81
2023-07-30,75
2023-08-06,82
2023-08-13,81
2023-08-20,85
2023-08-27,88
2023-09-03,82
2023-09-10,79
2023-09-17,88
2023-09-24,83
2023-10-01,85
2023-10-08,80
2023-10-15,85
2023-10-22,78
2023-10-29,80
2023-11-05,80
2023-11-12,81
2023-11-19,80
2023-11-26,78
2023-12-03,85
2023-12-10,92
2023-12-17,82
2023-12-24,74
2023-12-31,86
2024-01-07,86
2024-01-14,83
2024-01-21,81
2024-01-28,90
2024-02-04,90
2024-02-11,100
2024-02-18,90
2024-02-25,90
2024-03-03,92
2024-03-10,91
2024-03-17,88
2024-03-24,92
2024-03-31,78
2024-04-07,60
2024-04-14,63
2024-04-21,80
2024-04-28,80
2024-05-05,81
2024-05-12,81
2024-05-19,77
2024-05-26,88
2024-06-02,86
2024-06-09,91
2024-06-16,82
2024-06-23,88
2024-06-30,90
2024-07-07,83
2024-07-14,94
2024-07-21,88
2024-07-28,87
2024-08-04,89
2024-08-11,95
2024-08-18,89
2024-08-25,93
2024-09-01,98
2024-09-08,89
2024-09-15,70
2024-09-22,88
2024-09-29,92
2024-10-06,87
2024-10-13,92
2024-10-20,89
2024-10-27,95
2024-11-03,84
2024-11-10,79
2024-11-17,90
2024-11-24,99
2024-12-01,91
2024-12-08,95
2024-12-15,91
2024-12-22,88
2024-12-29,90
2025-01-05,92
2025-01-12,88
2025-01-19,93
2025-01-26,94
2025-02-02,96
2025-02-09,84
2025-02-16,94
2025-02-23,90
2025-03-02,92
2025-03-09,79
2025-03-16,88
2025-03-23,89
2025-03-30,84
2025-04-06,72
2025-04-13,63
2025-04-20,87
2025-04-27,82
2025-05-04,81
2025-05-11,74
2025-05-18,90
2025-05-25,91
2025-06-01,90
2025-06-08,85
2025-06-15,92
2025-06-22,94
2025-06-29,94
2025-07-06,86
2025-07-13,87
2025-07-20,97
2025-07-27,90
2025-08-03,90
2025-08-10,90
2025-08-17,86
2025-08-24,90
2025-08-31,79
2025-09-07,84
2025-09-14,88
2025-09-21,91
2025-09-28,89
2025-10-05,90
2025-10-12,91
2025-10-19,87
2025-10-26,83
2025-11-02,88
2025-11-09,90
2025-11-16,92
2025-11-23,78
2025-11-30,71
2025-12-07,85
2025-12-14,97
2025-12-21,91
2025-12-28,94
