,College Financing
2023-01-01,60
2023-01-08,58
2023-01-15,61
2023-01-22,60
2023-01-29,64
2023-02-05,59
2023-02-12,60
2023-02-19,59
2023-02-26,63
2023-03-05,54
2023-03-12,56
2023-03-19,57
2023-03-26,60
2023-04-02,54
2023-04-09,53
2023-04-16,47
2023-04-23,50
2023-04-30,48
2023-05-07,48
2023-05-14,50
2023-05-21,49
2023-05-28,52
2023-06-04,56
2023-06-11,63
2023-06-18,59
2023-06-25,60
2023-07-02,62
2023-07-09,70
2023-07-16,69
2023-07-23,79
2023-07-30,81
2023-08-06,72
2023-08-13,71
2023-08-20,67
2023-08-27,62
2023-09-03,59
2023-09-10,68
2023-09-17,67
2023-09-24,91
2023-10-01,77
2023-10-08,76
2023-10-15,66
2023-10-22,53
2023-10-29,62
2023-11-05,60
2023-11-12,61
2023-11-19,63
2023-11-26,74
2023-12-03,70
2023-12-10,78
2023-12-17,88
2023-12-24,95
2023-12-31,77
2024-01-07,72
2024-01-14,60
2024-01-21,52
2024-01-28,59
2024-02-04,58
2024-02-11,63
2024-02-18,76
2024-02-25,79
2024-03-03,77
2024-03-10,74
2024-03-17,65
2024-03-24,55
2024-03-31,55
2024-04-07,49
2024-04-14,46
2024-04-21,42
2024-04-28,46
2024-05-05,45
2024-05-12,48
2024-05-19,44
2024-05-26,48
2024-06-02,46
2024-06-09,48
2024-06-16,50
2024-06-23,50
2024-06-30,49
2024-07-07,47
2024-07-14,50
2024-07-21,58
2024-07-28,53
2024-08-04,54
2024-08-11,51
2024-08-18,52
2024-08-25,58
2024-09-01,57
2024-09-08,55
2024-09-15,53
2024-09-22,61
2024-09-29,57
2024-10-06,48
2024-10-13,58
2024-10-20,61
2024-10-27,62
2024-11-03,65
2024-11-10,65
2024-11-17,63
2024-11-24,71
2024-12-01,64
2024-12-08,78
2024-12-15,69
2024-12-22,65
2024-12-29,56
2025-01-05,54
2025-01-12,49
2025-01-19,50
2025-01-26,57
2025-02-02,52
2025-02-09,55
2025-02-16,48
2025-02-23,48
2025-03-02,48
2025-03-09,49
2025-03-16,54
2025-03-23,50
2025-03-30,47
2025-04-06,41
2025-04-13,40
2025-04-20,43
2025-04-27,43
2025-05-04,42
2025-05-11,45
2025-05-18,46
2025-05-25,48
2025-06-01,48
2025-06-08,46
2025-06-15,54
2025-06-22,49
2025-06-29,53
2025-07-06,50
2025-07-13,52
2025-07-20,52
2025-07-27,55
2025-08-03,52
2025-08-10,49
2025-08-17,59
2025-08-24,67
2025-08-31,68
2025-09-07,66
2025-09-14,77
2025-09-21,100
2025-09-28,70
2025-10-05,85
2025-10-12,87
2025-10-19,65
2025-10-26,80
2025-11-02,68
2025-11-09,77
2025-11-16,68
2025-11-23,82
2025-11-30,62
2025-12-07,58
2025-12-14,65
2025-12-21,66
2025-12-28,54
2026-01-04,53
