,Rail Transport
2014-12-28,13
2015-01-04,10
2015-01-11,10
2015-01-18,9
2015-01-25,10
2015-02-01,10
2015-02-08,10
2015-02-15,11
2015-02-22,10
2015-03-01,10
2015-03-08,10
2015-03-15,9
2015-03-22,11
2015-03-29,12
2015-04-05,13
2015-04-12,12
2015-04-19,9
2015-04-26,9
2015-05-03,11
2015-05-10,9
2015-05-17,10
2015-05-24,11
2015-05-31,11
2015-06-07,10
2015-06-14,11
2015-06-21,10
2015-06-28,10
2015-07-05,11
2015-07-12,11
2015-07-19,11
2015-07-26,10
2015-08-02,12
2015-08-09,12
2015-08-16,8
2015-08-23,13
2015-08-30,11
2015-09-06,10
2015-09-13,12
2015-09-20,12
2015-09-27,8
2015-10-04,10
2015-10-11,10
2015-10-18,11
2015-10-25,10
2015-11-01,10
2015-11-08,10
2015-11-15,9
2015-11-22,11
2015-11-29,13
2015-12-06,10
2015-12-13,11
2015-12-20,14
2015-12-27,13
2016-01-03,12
2016-01-10,10
2016-01-17,10
2016-01-24,13
2016-01-31,9
2016-02-07,9
2016-02-14,10
2016-02-21,7
2016-02-28,8
2016-03-06,10
2016-03-13,10
2016-03-20,11
2016-03-27,12
2016-04-03,10
2016-04-10,10
2016-04-17,11
2016-04-24,10
2016-05-01,7
2016-05-08,7
2016-05-15,8
2016-05-22,7
2016-05-29,9
2016-06-05,8
2016-06-12,9
2016-06-19,6
2016-06-26,8
2016-07-03,9
2016-07-10,10
2016-07-17,9
2016-07-24,10
2016-07-31,25
2016-08-07,87
2016-08-14,100
2016-08-21,30
2016-08-28,15
2016-09-04,11
2016-09-11,12
2016-09-18,8
2016-09-25,9
2016-10-02,11
2016-10-09,10
2016-10-16,9
2016-10-23,8
2016-10-30,10
2016-11-06,10
2016-11-13,9
2016-11-20,10
2016-11-27,13
2016-12-04,11
2016-12-11,12
2016-12-18,13
2016-12-25,13
2017-01-01,12
2017-01-08,10
2017-01-15,10
2017-01-22,8
2017-01-29,9
2017-02-05,9
2017-02-12,11
2017-02-19,8
2017-02-26,9
2017-03-05,10
2017-03-12,7
2017-03-19,7
2017-03-26,8
2017-04-02,9
2017-04-09,7
2017-04-16,10
2017-04-23,9
2017-04-30,11
2017-05-07,12
2017-05-14,8
2017-05-21,9
2017-05-28,9
2017-06-04,10
2017-06-11,8
2017-06-18,8
2017-06-25,6
2017-07-02,10
2017-07-09,9
2017-07-16,8
2017-07-23,10
2017-07-30,10
2017-08-06,12
2017-08-13,11
2017-08-20,10
2017-08-27,10
2017-09-03,9
2017-09-10,8
2017-09-17,9
2017-09-24,8
2017-10-01,9
2017-10-08,11
2017-10-15,7
2017-10-22,7
2017-10-29,10
2017-11-05,9
2017-11-12,10
2017-11-19,10
2017-11-26,9
2017-12-03,10
2017-12-10,14
2017-12-17,9
2017-12-24,11
2017-12-31,9
2018-01-07,9
2018-01-14,10
2018-01-21,9
2018-01-28,12
2018-02-04,9
2018-02-11,9
2018-02-18,9
2018-02-25,9
2018-03-04,8
2018-03-11,8
2018-03-18,11
2018-03-25,10
2018-04-01,8
2018-04-08,8
2018-04-15,9
2018-04-22,10
2018-04-29,8
2018-05-06,10
2018-05-13,9
2018-05-20,9
2018-05-27,10
2018-06-03,9
2018-06-10,8
2018-06-17,6
2018-06-24,10
2018-07-01,10
2018-07-08,9
2018-07-15,8
2018-07-22,10
2018-07-29,10
2018-08-05,13
2018-08-12,12
2018-08-19,9
2018-08-26,9
2018-09-02,10
2018-09-09,8
2018-09-16,10
2018-09-23,6
2018-09-30,10
2018-10-07,10
2018-10-14,9
2018-10-21,8
2018-10-28,9
2018-11-04,9
2018-11-11,8
2018-11-18,8
2018-11-25,8
2018-12-02,11
2018-12-09,10
2018-12-16,12
2018-12-23,11
2018-12-30,9
2019-01-06,11
2019-01-13,10
2019-01-20,10
2019-01-27,10
2019-02-03,10
2019-02-10,11
2019-02-17,10
2019-02-24,9
2019-03-03,8
2019-03-10,8
2019-03-17,11
2019-03-24,10
2019-03-31,11
2019-04-07,14
2019-04-14,14
2019-04-21,7
2019-04-28,7
2019-05-05,6
2019-05-12,6
2019-05-19,9
2019-05-26,8
2019-06-02,8
2019-06-09,6
2019-06-16,9
2019-06-23,9
2019-06-30,9
2019-07-07,9
2019-07-14,11
2019-07-21,11
2019-07-28,11
2019-08-04,12
2019-08-11,12
2019-08-18,11
2019-08-25,15
2019-09-01,11
2019-09-08,12
2019-09-15,10
2019-09-22,10
2019-09-29,9
2019-10-06,10
2019-10-13,10
2019-10-20,9
2019-10-27,10
2019-11-03,10
2019-11-10,9
2019-11-17,10
2019-11-24,12
2019-12-01,11
2019-12-08,11
2019-12-15,14
2019-12-22,14
2019-12-29,10
2020-01-05,13
