,Outsourcing
2014-12-28,15
2015-01-04,16
2015-01-11,15
2015-01-18,17
2015-01-25,15
2015-02-01,18
2015-02-08,16
2015-02-15,16
2015-02-22,16
2015-03-01,16
2015-03-08,17
2015-03-15,18
2015-03-22,17
2015-03-29,19
2015-04-05,18
2015-04-12,18
2015-04-19,17
2015-04-26,18
2015-05-03,18
2015-05-10,19
2015-05-17,19
2015-05-24,18
2015-05-31,19
2015-06-07,19
2015-06-14,18
2015-06-21,21
2015-06-28,24
2015-07-05,23
2015-07-12,23
2015-07-19,25
2015-07-26,24
2015-08-02,24
2015-08-09,21
2015-08-16,23
2015-08-23,22
2015-08-30,23
2015-09-06,23
2015-09-13,21
2015-09-20,23
2015-09-27,22
2015-10-04,22
2015-10-11,22
2015-10-18,19
2015-10-25,21
2015-11-01,20
2015-11-08,16
2015-11-15,20
2015-11-22,20
2015-11-29,19
2015-12-06,20
2015-12-13,21
2015-12-20,20
2015-12-27,21
2016-01-03,20
2016-01-10,19
2016-01-17,20
2016-01-24,20
2016-01-31,21
2016-02-07,21
2016-02-14,20
2016-02-21,21
2016-02-28,20
2016-03-06,21
2016-03-13,21
2016-03-20,19
2016-03-27,23
2016-04-03,21
2016-04-10,20
2016-04-17,19
2016-04-24,21
2016-05-01,21
2016-05-08,21
2016-05-15,21
2016-05-22,23
2016-05-29,23
2016-06-05,23
2016-06-12,22
2016-06-19,22
2016-06-26,23
2016-07-03,22
2016-07-10,23
2016-07-17,25
2016-07-24,25
2016-07-31,25
2016-08-07,25
2016-08-14,23
2016-08-21,25
2016-08-28,25
2016-09-04,25
2016-09-11,28
2016-09-18,27
2016-09-25,27
2016-10-02,27
2016-10-09,24
2016-10-16,28
2016-10-23,26
2016-10-30,27
2016-11-06,29
2016-11-13,27
2016-11-20,29
2016-11-27,29
2016-12-04,28
2016-12-11,29
2016-12-18,31
2016-12-25,30
2017-01-01,30
2017-01-08,28
2017-01-15,28
2017-01-22,30
2017-01-29,31
2017-02-05,30
2017-02-12,28
2017-02-19,30
2017-02-26,29
2017-03-05,29
2017-03-12,28
2017-03-19,30
2017-03-26,33
2017-04-02,35
2017-04-09,31
2017-04-16,30
2017-04-23,29
2017-04-30,28
2017-05-07,27
2017-05-14,28
2017-05-21,31
2017-05-28,29
2017-06-04,31
2017-06-11,33
2017-06-18,33
2017-06-25,33
2017-07-02,34
2017-07-09,36
2017-07-16,35
2017-07-23,34
2017-07-30,34
2017-08-06,31
2017-08-13,31
2017-08-20,27
2017-08-27,27
2017-09-03,29
2017-09-10,31
2017-09-17,29
2017-09-24,28
2017-10-01,27
2017-10-08,30
2017-10-15,24
2017-10-22,31
2017-10-29,31
2017-11-05,29
2017-11-12,28
2017-11-19,28
2017-11-26,30
2017-12-03,31
2017-12-10,31
2017-12-17,31
2017-12-24,32
2017-12-31,32
2018-01-07,32
2018-01-14,35
2018-01-21,34
2018-01-28,36
2018-02-04,33
2018-02-11,32
2018-02-18,32
2018-02-25,33
2018-03-04,33
2018-03-11,35
2018-03-18,43
2018-03-25,71
2018-04-01,57
2018-04-08,47
2018-04-15,41
2018-04-22,43
2018-04-29,39
2018-05-06,40
2018-05-13,37
2018-05-20,38
2018-05-27,40
2018-06-03,39
2018-06-10,38
2018-06-17,39
2018-06-24,38
2018-07-01,39
2018-07-08,40
2018-07-15,41
2018-07-22,41
2018-07-29,43
2018-08-05,39
2018-08-12,39
2018-08-19,40
2018-08-26,43
2018-09-02,40
2018-09-09,39
2018-09-16,40
2018-09-23,41
2018-09-30,41
2018-10-07,42
2018-10-14,36
2018-10-21,45
2018-10-28,50
2018-11-04,37
2018-11-11,45
2018-11-18,44
2018-11-25,47
2018-12-02,42
2018-12-09,41
2018-12-16,42
2018-12-23,43
2018-12-30,43
2019-01-06,42
2019-01-13,39
2019-01-20,51
2019-01-27,100
2019-02-03,82
2019-02-10,66
2019-02-17,61
2019-02-24,57
2019-03-03,56
2019-03-10,60
2019-03-17,53
2019-03-24,59
2019-03-31,51
2019-04-07,42
2019-04-14,39
2019-04-21,42
2019-04-28,40
2019-05-05,38
2019-05-12,40
2019-05-19,42
2019-05-26,41
2019-06-02,38
2019-06-09,41
2019-06-16,41
2019-06-23,44
2019-06-30,41
2019-07-07,40
2019-07-14,42
2019-07-21,44
2019-07-28,42
2019-08-04,38
2019-08-11,35
2019-08-18,43
2019-08-25,43
2019-09-01,42
2019-09-08,39
2019-09-15,41
2019-09-22,45
2019-09-29,45
2019-10-06,43
2019-10-13,48
2019-10-20,49
2019-10-27,51
2019-11-03,52
2019-11-10,52
2019-11-17,55
2019-11-24,57
2019-12-01,52
2019-12-08,53
2019-12-15,52
2019-12-22,58
2019-12-29,61
2020-01-05,61
