,Computer Security
2014-12-28,68
2015-01-04,69
2015-01-11,87
2015-01-18,68
2015-01-25,74
2015-02-01,93
2015-02-08,74
2015-02-15,78
2015-02-22,62
2015-03-01,86
2015-03-08,82
2015-03-15,62
2015-03-22,77
2015-03-29,75
2015-04-05,66
2015-04-12,67
2015-04-19,71
2015-04-26,79
2015-05-03,79
2015-05-10,52
2015-05-17,85
2015-05-24,74
2015-05-31,66
2015-06-07,62
2015-06-14,64
2015-06-21,56
2015-06-28,70
2015-07-05,97
2015-07-12,77
2015-07-19,85
2015-07-26,79
2015-08-02,98
2015-08-09,84
2015-08-16,80
2015-08-23,86
2015-08-30,93
2015-09-06,63
2015-09-13,72
2015-09-20,59
2015-09-27,79
2015-10-04,80
2015-10-11,80
2015-10-18,68
2015-10-25,62
2015-11-01,80
2015-11-08,79
2015-11-15,73
2015-11-22,62
2015-11-29,79
2015-12-06,71
2015-12-13,65
2015-12-20,73
2015-12-27,54
2016-01-03,74
2016-01-10,56
2016-01-17,79
2016-01-24,79
2016-01-31,64
2016-02-07,76
2016-02-14,78
2016-02-21,70
2016-02-28,68
2016-03-06,75
2016-03-13,78
2016-03-20,78
2016-03-27,84
2016-04-03,64
2016-04-10,86
2016-04-17,80
2016-04-24,82
2016-05-01,84
2016-05-08,65
2016-05-15,80
2016-05-22,88
2016-05-29,75
2016-06-05,68
2016-06-12,59
2016-06-19,77
2016-06-26,52
2016-07-03,75
2016-07-10,84
2016-07-17,84
2016-07-24,73
2016-07-31,90
2016-08-07,69
2016-08-14,79
2016-08-21,100
2016-08-28,57
2016-09-04,73
2016-09-11,52
2016-09-18,37
2016-09-25,25
2016-10-02,24
2016-10-09,30
2016-10-16,22
2016-10-23,24
2016-10-30,28
2016-11-06,39
2016-11-13,37
2016-11-20,28
2016-11-27,17
2016-12-04,26
2016-12-11,17
2016-12-18,20
2016-12-25,32
2017-01-01,23
2017-01-08,34
2017-01-15,25
2017-01-22,28
2017-01-29,33
2017-02-05,80
2017-02-12,74
2017-02-19,61
2017-02-26,70
2017-03-05,70
2017-03-12,68
2017-03-19,73
2017-03-26,52
2017-04-02,70
2017-04-09,64
2017-04-16,65
2017-04-23,56
2017-04-30,78
2017-05-07,66
2017-05-14,65
2017-05-21,48
2017-05-28,46
2017-06-04,60
2017-06-11,53
2017-06-18,59
2017-06-25,52
2017-07-02,54
2017-07-09,53
2017-07-16,58
2017-07-23,54
2017-07-30,42
2017-08-06,57
2017-08-13,70
2017-08-20,57
2017-08-27,30
2017-09-03,54
2017-09-10,75
2017-09-17,59
2017-09-24,50
2017-10-01,55
2017-10-08,54
2017-10-15,65
2017-10-22,60
2017-10-29,60
2017-11-05,71
2017-11-12,56
2017-11-19,60
2017-11-26,43
2017-12-03,60
2017-12-10,56
2017-12-17,51
2017-12-24,62
2017-12-31,67
2018-01-07,59
2018-01-14,56
2018-01-21,57
2018-01-28,67
2018-02-04,61
2018-02-11,65
2018-02-18,58
2018-02-25,65
2018-03-04,60
2018-03-11,65
2018-03-18,78
2018-03-25,66
2018-04-01,79
2018-04-08,45
2018-04-15,60
2018-04-22,48
2018-04-29,65
2018-05-06,63
2018-05-13,60
2018-05-20,63
2018-05-27,59
2018-06-03,57
2018-06-10,59
2018-06-17,66
2018-06-24,58
2018-07-01,64
2018-07-08,77
2018-07-15,57
2018-07-22,56
2018-07-29,62
2018-08-05,52
2018-08-12,55
2018-08-19,48
2018-08-26,66
2018-09-02,79
2018-09-09,47
2018-09-16,54
2018-09-23,53
2018-09-30,59
2018-10-07,65
2018-10-14,68
2018-10-21,59
2018-10-28,60
2018-11-04,53
2018-11-11,60
2018-11-18,55
2018-11-25,57
2018-12-02,54
2018-12-09,58
2018-12-16,52
2018-12-23,54
2018-12-30,54
2019-01-06,47
2019-01-13,54
2019-01-20,68
2019-01-27,60
2019-02-03,69
2019-02-10,67
2019-02-17,70
2019-02-24,66
2019-03-03,59
2019-03-10,58
2019-03-17,75
2019-03-24,72
2019-03-31,64
2019-04-07,60
2019-04-14,63
2019-04-21,67
2019-04-28,51
2019-05-05,54
2019-05-12,51
2019-05-19,51
2019-05-26,55
2019-06-02,51
2019-06-09,57
2019-06-16,65
2019-06-23,69
2019-06-30,69
2019-07-07,63
2019-07-14,69
2019-07-21,68
2019-07-28,48
2019-08-04,49
2019-08-11,36
2019-08-18,59
2019-08-25,68
2019-09-01,50
2019-09-08,58
2019-09-15,58
2019-09-22,59
2019-09-29,59
2019-10-06,54
2019-10-13,61
2019-10-20,51
2019-10-27,65
2019-11-03,57
2019-11-10,47
2019-11-17,52
2019-11-24,47
2019-12-01,47
2019-12-08,62
2019-12-15,42
2019-12-22,69
2019-12-29,60
2020-01-05,58
