,Financial Planning
2023-01-01,45
2023-01-08,72
2023-01-15,55
2023-01-22,72
2023-01-29,56
2023-02-05,62
2023-02-12,65
2023-02-19,72
2023-02-26,61
2023-03-05,59
2023-03-12,52
2023-03-19,69
2023-03-26,62
2023-04-02,47
2023-04-09,36
2023-04-16,58
2023-04-23,58
2023-04-30,46
2023-05-07,65
2023-05-14,64
2023-05-21,66
2023-05-28,67
2023-06-04,65
2023-06-11,84
2023-06-18,69
2023-06-25,68
2023-07-02,89
2023-07-09,75
2023-07-16,89
2023-07-23,92
2023-07-30,70
2023-08-06,87
2023-08-13,90
2023-08-20,69
2023-08-27,65
2023-09-03,74
2023-09-10,70
2023-09-17,74
2023-09-24,49
2023-10-01,66
2023-10-08,76
2023-10-15,64
2023-10-22,59
2023-10-29,61
2023-11-05,48
2023-11-12,65
2023-11-19,74
2023-11-26,72
2023-12-03,65
2023-12-10,70
2023-12-17,56
2023-12-24,42
2023-12-31,63
2024-01-07,69
2024-01-14,66
2024-01-21,81
2024-01-28,75
2024-02-04,85
2024-02-11,85
2024-02-18,63
2024-02-25,100
2024-03-03,65
2024-03-10,69
2024-03-17,74
2024-03-24,72
2024-03-31,58
2024-04-07,46
2024-04-14,50
2024-04-21,56
2024-04-28,66
2024-05-05,70
2024-05-12,60
2024-05-19,53
2024-05-26,75
2024-06-02,73
2024-06-09,61
2024-06-16,52
2024-06-23,77
2024-06-30,83
2024-07-07,71
2024-07-14,68
2024-07-21,94
2024-07-28,75
2024-08-04,66
2024-08-11,63
2024-08-18,69
2024-08-25,73
2024-09-01,64
2024-09-08,70
2024-09-15,47
2024-09-22,58
2024-09-29,55
2024-10-06,47
2024-10-13,69
2024-10-20,61
2024-10-27,62
2024-11-03,68
2024-11-10,50
2024-11-17,46
2024-11-24,57
2024-12-01,62
2024-12-08,63
2024-12-15,72
2024-12-22,46
2024-12-29,60
2025-01-05,73
2025-01-12,62
2025-01-19,86
2025-01-26,58
2025-02-02,65
2025-02-09,53
2025-02-16,72
2025-02-23,70
2025-03-02,59
2025-03-09,75
2025-03-16,71
2025-03-23,81
2025-03-30,64
2025-04-06,45
2025-04-13,39
2025-04-20,67
2025-04-27,64
2025-05-04,52
2025-05-11,42
2025-05-18,66
2025-05-25,65
2025-06-01,78
2025-06-08,49
2025-06-15,70
2025-06-22,85
2025-06-29,82
2025-07-06,59
2025-07-13,82
2025-07-20,71
2025-07-27,75
2025-08-03,72
2025-08-10,80
2025-08-17,65
2025-08-24,77
2025-08-31,63
2025-09-07,53
2025-09-14,58
2025-09-21,81
2025-09-28,68
2025-10-05,57
2025-10-12,88
2025-10-19,60
2025-10-26,62
2025-11-02,54
2025-11-09,74
2025-11-16,71
2025-11-23,66
2025-11-30,41
2025-12-07,45
2025-12-14,60
2025-12-21,39
2025-12-28,57
