,job
2023-01-01,3
2023-01-08,2
2023-01-15,2
2023-01-22,3
2023-01-29,2
2023-02-05,3
2023-02-12,2
2023-02-19,3
2023-02-26,5
2023-03-05,17
2023-03-12,23
2023-03-19,24
2023-03-26,18
2023-04-02,18
2023-04-09,15
2023-04-16,20
2023-04-23,18
2023-04-30,18
2023-05-07,21
2023-05-14,23
2023-05-21,18
2023-05-28,15
2023-06-04,18
2023-06-11,18
2023-06-18,18
2023-06-25,12
2023-07-02,12
2023-07-09,8
2023-07-16,90
2023-07-23,88
2023-07-30,100
2023-08-06,92
2023-08-13,96
2023-08-20,94
2023-08-27,86
2023-09-03,93
2023-09-10,79
2023-09-17,87
2023-09-24,78
2023-10-01,75
2023-10-08,66
2023-10-15,71
2023-10-22,65
2023-10-29,65
2023-11-05,66
2023-11-12,79
2023-11-19,72
2023-11-26,78
2023-12-03,90
2023-12-10,82
2023-12-17,70
2023-12-24,69
2023-12-31,88
2024-01-07,78
2024-01-14,80
2024-01-21,58
2024-01-28,28
2024-02-04,68
2024-02-11,60
2024-02-18,62
2024-02-25,62
2024-03-03,71
2024-03-10,64
2024-03-17,64
2024-03-24,63
2024-03-31,66
2024-04-07,54
2024-04-14,67
2024-04-21,69
2024-04-28,66
2024-05-05,71
2024-05-12,62
2024-05-19,59
2024-05-26,66
2024-06-02,64
2024-06-09,57
2024-06-16,60
2024-06-23,66
2024-06-30,74
2024-07-07,64
2024-07-14,70
2024-07-21,77
2024-07-28,68
2024-08-04,66
2024-08-11,68
2024-08-18,59
2024-08-25,71
2024-09-01,67
2024-09-08,67
2024-09-15,55
2024-09-22,65
2024-09-29,77
2024-10-06,73
2024-10-13,61
2024-10-20,14
2024-10-27,15
2024-11-03,14
2024-11-10,12
2024-11-17,14
2024-11-24,12
2024-12-01,15
2024-12-08,15
2024-12-15,14
2024-12-22,15
2024-12-29,45
2025-01-05,80
2025-01-12,72
2025-01-19,57
2025-01-26,40
2025-02-02,70
2025-02-09,64
2025-02-16,70
2025-02-23,63
2025-03-02,62
2025-03-09,61
2025-03-16,58
2025-03-23,57
2025-03-30,57
2025-04-06,48
2025-04-13,49
2025-04-20,63
2025-04-27,71
2025-05-04,69
2025-05-11,73
2025-05-18,77
2025-05-25,74
2025-06-01,76
2025-06-08,72
2025-06-15,75
2025-06-22,69
2025-06-29,70
2025-07-06,68
2025-07-13,70
2025-07-20,67
2025-07-27,65
2025-08-03,66
2025-08-10,63
2025-08-17,66
2025-08-24,73
2025-08-31,63
2025-09-07,62
2025-09-14,60
2025-09-21,58
2025-09-28,60
2025-10-05,60
2025-10-12,65
2025-10-19,58
2025-10-26,66
2025-11-02,71
2025-11-09,69
2025-11-16,67
2025-11-23,61
2025-11-30,57
2025-12-07,62
2025-12-14,62
2025-12-21,60
2025-12-28,64
