,Vehicle Shopping
2014-12-28,43
2015-01-04,35
2015-01-11,39
2015-01-18,40
2015-01-25,49
2015-02-01,52
2015-02-08,49
2015-02-15,49
2015-02-22,49
2015-03-01,44
2015-03-08,58
2015-03-15,85
2015-03-22,93
2015-03-29,92
2015-04-05,80
2015-04-12,47
2015-04-19,54
2015-04-26,49
2015-05-03,50
2015-05-10,53
2015-05-17,54
2015-05-24,53
2015-05-31,55
2015-06-07,65
2015-06-14,61
2015-06-21,53
2015-06-28,49
2015-07-05,48
2015-07-12,45
2015-07-19,44
2015-07-26,44
2015-08-02,76
2015-08-09,84
2015-08-16,80
2015-08-23,80
2015-08-30,56
2015-09-06,50
2015-09-13,47
2015-09-20,49
2015-09-27,44
2015-10-04,53
2015-10-11,55
2015-10-18,47
2015-10-25,46
2015-11-01,40
2015-11-08,45
2015-11-15,46
2015-11-22,51
2015-11-29,46
2015-12-06,49
2015-12-13,43
2015-12-20,43
2015-12-27,44
2016-01-03,41
2016-01-10,44
2016-01-17,77
2016-01-24,82
2016-01-31,86
2016-02-07,92
2016-02-14,69
2016-02-21,46
2016-02-28,47
2016-03-06,43
2016-03-13,39
2016-03-20,42
2016-03-27,50
2016-04-03,50
2016-04-10,36
2016-04-17,46
2016-04-24,49
2016-05-01,47
2016-05-08,50
2016-05-15,41
2016-05-22,53
2016-05-29,97
2016-06-05,79
2016-06-12,76
2016-06-19,94
2016-06-26,99
2016-07-03,99
2016-07-10,100
2016-07-17,66
2016-07-24,50
2016-07-31,52
2016-08-07,52
2016-08-14,53
2016-08-21,45
2016-08-28,48
2016-09-04,51
2016-09-11,44
2016-09-18,48
2016-09-25,51
2016-10-02,49
2016-10-09,43
2016-10-16,47
2016-10-23,43
2016-10-30,44
2016-11-06,44
2016-11-13,75
2016-11-20,87
2016-11-27,79
2016-12-04,86
2016-12-11,67
2016-12-18,53
2016-12-25,49
2017-01-01,46
2017-01-08,46
2017-01-15,45
2017-01-22,49
2017-01-29,45
2017-02-05,46
2017-02-12,45
2017-02-19,44
2017-02-26,43
2017-03-05,43
2017-03-12,44
2017-03-19,44
2017-03-26,45
2017-04-02,41
2017-04-09,33
2017-04-16,44
2017-04-23,39
2017-04-30,40
2017-05-07,39
2017-05-14,39
2017-05-21,37
2017-05-28,39
2017-06-04,38
2017-06-11,42
2017-06-18,45
2017-06-25,38
2017-07-02,40
2017-07-09,39
2017-07-16,41
2017-07-23,36
2017-07-30,38
2017-08-06,39
2017-08-13,43
2017-08-20,38
2017-08-27,38
2017-09-03,39
2017-09-10,36
2017-09-17,38
2017-09-24,36
2017-10-01,39
2017-10-08,34
2017-10-15,36
2017-10-22,34
2017-10-29,35
2017-11-05,37
2017-11-12,46
2017-11-19,43
2017-11-26,38
2017-12-03,37
2017-12-10,37
2017-12-17,39
2017-12-24,39
2017-12-31,38
2018-01-07,41
2018-01-14,39
2018-01-21,40
2018-01-28,37
2018-02-04,42
2018-02-11,36
2018-02-18,37
2018-02-25,36
2018-03-04,39
2018-03-11,35
2018-03-18,38
2018-03-25,38
2018-04-01,36
2018-04-08,31
2018-04-15,33
2018-04-22,38
2018-04-29,37
2018-05-06,47
2018-05-13,44
2018-05-20,46
2018-05-27,38
2018-06-03,42
2018-06-10,44
2018-06-17,44
2018-06-24,41
2018-07-01,46
2018-07-08,47
2018-07-15,44
2018-07-22,42
2018-07-29,44
2018-08-05,40
2018-08-12,42
2018-08-19,37
2018-08-26,37
2018-09-02,38
2018-09-09,36
2018-09-16,40
2018-09-23,39
2018-09-30,40
2018-10-07,42
2018-10-14,41
2018-10-21,35
2018-10-28,37
2018-11-04,34
2018-11-11,35
2018-11-18,35
2018-11-25,34
2018-12-02,40
2018-12-09,34
2018-12-16,36
2018-12-23,43
2018-12-30,39
2019-01-06,42
2019-01-13,39
2019-01-20,40
2019-01-27,39
2019-02-03,36
2019-02-10,40
2019-02-17,39
2019-02-24,34
2019-03-03,37
2019-03-10,41
2019-03-17,39
2019-03-24,39
2019-03-31,34
2019-04-07,29
2019-04-14,49
2019-04-21,47
2019-04-28,35
2019-05-05,35
2019-05-12,31
2019-05-19,35
2019-05-26,36
2019-06-02,34
2019-06-09,40
2019-06-16,40
2019-06-23,36
2019-06-30,37
2019-07-07,40
2019-07-14,40
2019-07-21,40
2019-07-28,41
2019-08-04,62
2019-08-11,53
2019-08-18,44
2019-08-25,43
2019-09-01,37
2019-09-08,35
2019-09-15,34
2019-09-22,39
2019-09-29,38
2019-10-06,40
2019-10-13,37
2019-10-20,37
2019-10-27,34
2019-11-03,38
2019-11-10,32
2019-11-17,31
2019-11-24,42
2019-12-01,46
2019-12-08,36
2019-12-15,39
2019-12-22,40
2019-12-29,36
2020-01-05,34
