,Dyes & Pigments
2014-12-28,34.0
2015-01-04,29.0
2015-01-11,31.0
2015-01-18,36.0
2015-01-25,31.0
2015-02-01,23.0
2015-02-08,37.0
2015-02-15,32.0
2015-02-22,31.0
2015-03-01,30.0
2015-03-08,33.0
2015-03-15,32.0
2015-03-22,26.0
2015-03-29,32.0
2015-04-05,36.0
2015-04-12,31.0
2015-04-19,44.0
2015-04-26,35.0
2015-05-03,44.0
2015-05-10,44.0
2015-05-17,31.0
2015-05-24,29.0
2015-05-31,39.0
2015-06-07,34.0
2015-06-14,35.0
2015-06-21,34.0
2015-06-28,35.0
2015-07-05,49.0
2015-07-12,36.0
2015-07-19,44.0
2015-07-26,32.0
2015-08-02,32.0
2015-08-09,37.0
2015-08-16,38.0
2015-08-23,42.0
2015-08-30,38.0
2015-09-06,30.0
2015-09-13,46.0
2015-09-20,43.0
2015-09-27,49.0
2015-10-04,56.0
2015-10-11,42.0
2015-10-18,42.0
2015-10-25,46.0
2015-11-01,40.0
2015-11-08,47.0
2015-11-15,36.0
2015-11-22,37.0
2015-11-29,51.0
2015-12-06,46.0
2015-12-13,48.0
2015-12-20,47.0
2015-12-27,62.0
2016-01-03,47.0
2016-01-10,60.0
2016-01-17,63.0
2016-01-24,55.0
2016-01-31,61.0
2016-02-07,61.0
2016-02-14,44.0
2016-02-21,54.0
2016-02-28,66.0
2016-03-06,72.0
2016-03-13,71.0
2016-03-20,61.0
2016-03-27,73.0
2016-04-03,78.0
2016-04-10,69.0
2016-04-17,80.0
2016-04-24,97.0
2016-05-01,93.0
2016-05-08,94.0
2016-05-15,77.0
2016-05-22,64.0
2016-05-29,80.0
2016-06-05,78.0
2016-06-12,100.0
2016-06-19,96.0
2016-06-26,57.0
2016-07-03,49.0
2016-07-10,40.0
2016-07-17,50.0
2016-07-24,45.0
2016-07-31,31.0
2016-08-07,50.0
2016-08-14,45.0
2016-08-21,40.0
2016-08-28,51.0
2016-09-04,41.0
2016-09-11,61.0
2016-09-18,42.0
2016-09-25,44.0
2016-10-02,59.0
2016-10-09,55.0
2016-10-16,44.0
2016-10-23,62.0
2016-10-30,53.0
2016-11-06,44.0
2016-11-13,50.0
2016-11-20,37.0
2016-11-27,42.0
2016-12-04,43.0
2016-12-11,39.0
2016-12-18,38.0
2016-12-25,45.0
2017-01-01,57.0
2017-01-08,37.0
2017-01-15,37.0
2017-01-22,36.0
2017-01-29,41.0
2017-02-05,38.0
2017-02-12,47.0
2017-02-19,59.0
2017-02-26,49.0
2017-03-05,47.0
2017-03-12,59.0
2017-03-19,48.0
2017-03-26,52.0
2017-04-02,45.0
2017-04-09,27.0
2017-04-16,50.0
2017-04-23,59.0
2017-04-30,45.0
2017-05-07,36.0
2017-05-14,51.0
2017-05-21,46.0
2017-05-28,31.0
2017-06-04,45.0
2017-06-11,49.0
2017-06-18,33.0
2017-06-25,35.0
2017-07-02,61.0
2017-07-09,45.0
2017-07-16,64.0
2017-07-23,43.0
2017-07-30,49.0
2017-08-06,53.0
2017-08-13,37.0
2017-08-20,36.0
2017-08-27,34.0
2017-09-03,51.0
2017-09-10,41.0
2017-09-17,47.0
2017-09-24,43.0
2017-10-01,43.0
2017-10-08,46.0
2017-10-15,57.0
2017-10-22,41.0
2017-10-29,46.0
2017-11-05,42.0
2017-11-12,47.0
2017-11-19,57.0
2017-11-26,44.0
2017-12-03,37.0
2017-12-10,42.0
2017-12-17,38.0
2017-12-24,36.0
2017-12-31,42.0
2018-01-07,43.0
2018-01-14,45.0
2018-01-21,52.0
2018-01-28,31.0
2018-02-04,50.0
2018-02-11,48.0
2018-02-18,55.0
2018-02-25,42.0
2018-03-04,50.0
2018-03-11,47.0
2018-03-18,41.0
2018-03-25,37.0
2018-04-01,34.0
2018-04-08,27.0
2018-04-15,32.0
2018-04-22,31.0
2018-04-29,31.0
2018-05-06,57.0
2018-05-13,42.0
2018-05-20,49.0
2018-05-27,36.0
2018-06-03,54.0
2018-06-10,59.0
2018-06-17,43.0
2018-06-24,48.0
2018-07-01,45.0
2018-07-08,49.0
2018-07-15,61.0
2018-07-22,44.0
2018-07-29,55.0
2018-08-05,56.0
2018-08-12,43.0
2018-08-19,37.0
2018-08-26,45.0
2018-09-02,52.0
2018-09-09,52.0
2018-09-16,45.0
2018-09-23,50.0
2018-09-30,47.0
2018-10-07,54.0
2018-10-14,66.0
2018-10-21,38.0
2018-10-28,53.0
2018-11-04,49.0
2018-11-11,42.0
2018-11-18,43.0
2018-11-25,47.0
2018-12-02,49.0
2018-12-09,55.0
2018-12-16,36.0
2018-12-23,42.0
2018-12-30,43.0
2019-01-06,38.0
2019-01-13,39.0
2019-01-20,52.0
2019-01-27,48.0
2019-02-03,34.0
2019-02-10,43.0
2019-02-17,49.0
2019-02-24,55.0
2019-03-03,50.0
2019-03-10,45.0
2019-03-17,40.0
