,Sports
2020-05-24,9.076027397260273
2020-05-31,9.076027397260273
2020-06-07,9.076027397260273
2020-06-14,10.372602739726027
2020-06-21,10.372602739726027
2020-06-28,10.372602739726027
2020-07-05,12.965753424657533
2020-07-12,14.262328767123286
2020-07-19,12.965753424657533
2020-07-26,12.965753424657533
2020-08-02,12.965753424657533
2020-08-09,12.965753424657533
2020-08-16,12.965753424657533
2020-08-23,12.965753424657533
2020-08-30,14.262328767123286
2020-09-06,12.965753424657533
2020-09-13,16.855479452054794
2020-09-20,27.22808219178082
2020-09-27,25.931506849315067
2020-10-04,31.11780821917808
2020-10-11,29.821232876712326
2020-10-18,33.71095890410959
2020-10-25,35.00753424657534
2020-11-01,31.11780821917808
2020-11-08,20.745205479452054
2020-11-15,12.965753424657533
2020-11-22,23.338356164383562
2020-11-29,29.821232876712326
2020-12-06,22.041780821917808
2020-12-13,20.745205479452054
2020-12-20,19.4486301369863
2020-12-27,28.524657534246572
2021-01-03,25.931506849315067
2021-01-10,31.11780821917808
2021-01-17,38.8972602739726
2021-01-24,29.821232876712326
2021-01-31,20.745205479452054
2021-02-07,27.22808219178082
2021-02-14,23.338356164383562
2021-02-21,19.4486301369863
2021-02-28,29.821232876712326
2021-03-07,35.00753424657534
2021-03-14,33.71095890410959
2021-03-21,44.083561643835615
2021-03-28,44.083561643835615
2021-04-04,22.041780821917808
2021-04-11,24.634931506849313
2021-04-18,45.380136986301366
2021-04-25,51.863013698630134
2021-05-02,27.22808219178082
2021-05-09,14.262328767123286
2021-05-16,14.262328767123286
2021-05-23,33.71095890410959
2021-05-30,19.4486301369863
2021-06-06,20.745205479452054
2021-06-13,23.338356164383562
2021-06-20,46.676712328767124
2021-06-27,47.973287671232875
2021-07-04,32.41438356164383
2021-07-11,29.821232876712326
2021-07-18,42.78698630136986
2021-07-25,45.380136986301366
2021-08-01,35.00753424657534
2021-08-08,32.41438356164383
2021-08-15,27.22808219178082
2021-08-22,32.41438356164383
2021-08-29,42.78698630136986
2021-09-05,47.973287671232875
2021-09-12,28.524657534246572
2021-09-19,33.71095890410959
2021-09-26,35.00753424657534
2021-10-03,38.8972602739726
2021-10-10,38.8972602739726
2021-10-17,59.64246575342465
2021-10-24,86.87054794520547
2021-10-31,81.68424657534246
2021-11-07,41.49041095890411
2021-11-14,25.931506849315067
2021-11-21,42.78698630136986
2021-11-28,44.083561643835615
2021-12-05,27.22808219178082
2021-12-12,25.931506849315067
2021-12-19,22.041780821917808
2021-12-26,24.634931506849313
2022-01-02,24.634931506849313
2022-01-09,25.931506849315067
2022-01-16,35.00753424657534
2022-01-23,27.22808219178082
2022-01-30,22.041780821917808
2022-02-06,28.524657534246572
2022-02-13,37.60068493150685
2022-02-20,38.8972602739726
2022-02-27,35.00753424657534
2022-03-06,31.11780821917808
2022-03-13,29.821232876712326
2022-03-20,25.931506849315067
2022-03-27,44.083561643835615
2022-04-03,37.60068493150685
2022-04-10,38.8972602739726
2022-04-17,40.193835616438356
2022-04-24,40.193835616438356
2022-05-01,41.49041095890411
2022-05-08,37.60068493150685
2022-05-15,60.93904109589041
2022-05-22,62.23561643835616
2022-05-29,32.41438356164383
2022-06-05,40.193835616438356
2022-06-12,51.863013698630134
2022-06-19,58.3458904109589
2022-06-26,44.083561643835615
2022-07-03,51.863013698630134
2022-07-10,54.45616438356164
2022-07-17,60.93904109589041
2022-07-24,63.53219178082191
2022-07-31,31.11780821917808
2022-08-07,25.931506849315067
2022-08-14,24.634931506849313
2022-08-21,31.11780821917808
2022-08-28,60.93904109589041
2022-09-04,73.90479452054794
2022-09-11,45.380136986301366
2022-09-18,35.00753424657534
2022-09-25,35.00753424657534
2022-10-02,33.71095890410959
2022-10-09,42.78698630136986
2022-10-16,92.05684931506849
2022-10-23,121.87808219178082
2022-10-30,115.39520547945204
2022-11-06,59.64246575342465
2022-11-13,42.78698630136986
2022-11-20,64.82876712328766
2022-11-27,71.31164383561644
2022-12-04,67.42191780821918
2022-12-11,49.269863013698625
2022-12-18,42.78698630136986
2022-12-25,24.634931506849313
2023-01-01,46.676712328767124
2023-01-08,46.676712328767124
2023-01-15,38.8972602739726
2023-01-22,31.11780821917808
2023-01-29,27.22808219178082
2023-02-05,28.524657534246572
2023-02-12,33.71095890410959
2023-02-19,28.524657534246572
2023-02-26,28.524657534246572
2023-03-05,42.78698630136986
2023-03-12,41.49041095890411
2023-03-19,36.30410958904109
2023-03-26,38.8972602739726
2023-04-02,51.863013698630134
2023-04-09,36.30410958904109
2023-04-16,54.45616438356164
2023-04-23,67.42191780821918
2023-04-30,45.380136986301366
2023-05-07,45.380136986301366
2023-05-14,45.380136986301366
2023-05-21,45.380136986301366
2023-05-28,46.676712328767124
2023-06-04,45.380136986301366
2023-06-11,33.71095890410959
2023-06-18,47.973287671232875
2023-06-25,60.93904109589041
2023-07-02,53.159589041095884
2023-07-09,41.49041095890411
2023-07-16,60.93904109589041
2023-07-23,45.380136986301366
2023-07-30,33.71095890410959
2023-08-06,29.821232876712326
2023-08-13,27.22808219178082
2023-08-20,27.22808219178082
2023-08-27,55.75273972602739
2023-09-03,72.60821917808218
2023-09-10,129.65753424657532
2023-09-17,47.973287671232875
2023-09-24,45.380136986301366
2023-10-01,71.31164383561644
2023-10-08,99.83630136986301
2023-10-15,93.35342465753425
2023-10-22,116.6917808219178
2023-10-29,111.50547945205479
2023-11-05,107.61575342465753
2023-11-12,62.23561643835616
2023-11-19,51.863013698630134
2023-11-26,28.524657534246572
2023-12-03,23.338356164383562
2023-12-10,25.931506849315067
2023-12-17,24.634931506849313
2023-12-24,24.634931506849313
2023-12-31,27.22808219178082
2024-01-07,29.821232876712326
2024-01-14,31.11780821917808
2024-01-21,29.821232876712326
2024-01-28,36.30410958904109
2024-02-04,36.30410958904109
2024-02-11,38.8972602739726
2024-02-18,31.11780821917808
2024-02-25,24.634931506849313
2024-03-03,45.380136986301366
2024-03-10,46.676712328767124
2024-03-17,55.75273972602739
2024-03-24,60.93904109589041
2024-03-31,59.64246575342465
2024-04-07,33.71095890410959
2024-04-14,41.49041095890411
2024-04-21,41.49041095890411
2024-04-28,41.49041095890411
2024-05-05,44.083561643835615
2024-05-12,44.083561643835615
2024-05-19,36.30410958904109
2024-05-26,41.49041095890411
2024-06-02,71.31164383561644
2024-06-09,73.90479452054794
2024-06-16,59.64246575342465
2024-06-23,75.2013698630137
2024-06-30,31.11780821917808
2024-07-07,32.41438356164383
2024-07-14,29.821232876712326
2024-07-21,41.49041095890411
2024-07-28,57.049315068493144
2024-08-04,53.159589041095884
2024-08-11,28.524657534246572
2024-08-18,59.64246575342465
2024-08-25,51.863013698630134
2024-09-01,46.676712328767124
2024-09-08,35.00753424657534
2024-09-15,38.8972602739726
2024-09-22,45.380136986301366
2024-09-29,29.821232876712326
2024-10-06,33.71095890410959
2024-10-13,44.083561643835615
2024-10-20,54.45616438356164
2024-10-27,29.821232876712326
2024-11-03,27.22808219178082
2024-11-10,37.60068493150685
2024-11-17,32.41438356164383
2024-11-24,49.269863013698625
2024-12-01,41.49041095890411
2024-12-08,35.00753424657534
2024-12-15,28.524657534246572
2024-12-22,31.11780821917808
2024-12-29,41.49041095890411
2025-01-05,36.30410958904109
2025-01-12,20.745205479452054
2025-01-19,27.22808219178082
2025-01-26,37.60068493150685
2025-02-02,28.524657534246572
2025-02-09,32.41438356164383
2025-02-16,29.821232876712326
2025-02-23,37.60068493150685
2025-03-02,32.41438356164383
2025-03-09,25.931506849315067
2025-03-16,20.745205479452054
2025-03-23,33.71095890410959
2025-03-30,32.41438356164383
2025-04-06,35.00753424657534
2025-04-13,33.71095890410959
2025-04-20,36.30410958904109
2025-04-27,36.30410958904109
2025-05-04,28.524657534246572
2025-05-11,19.4486301369863
2025-05-18,31.11780821917808
2025-05-25,33.71095890410959
2025-06-01,32.41438356164383
2025-06-08,28.524657534246572
2025-06-15,45.380136986301366
2025-06-22,45.380136986301366
2025-06-29,45.380136986301366
2025-07-06,45.380136986301366
2025-07-13,37.60068493150685
2025-07-20,31.11780821917808
2025-07-27,32.41438356164383
2025-08-03,27.22808219178082
2025-08-10,20.745205479452054
2025-08-17,19.4486301369863
2025-08-24,22.041780821917808
2025-08-31,25.931506849315067
2025-09-07,33.71095890410959
2025-09-14,55.75273972602739
2025-09-21,54.45616438356164
2025-09-28,42.78698630136986
2025-10-05,27.22808219178082
2025-10-12,31.11780821917808
2025-10-19,33.71095890410959
2025-10-26,32.41438356164383
2025-11-02,27.22808219178082
2025-11-09,37.60068493150685
2025-11-16,40.193835616438356
2025-11-23,32.41438356164383
2025-11-30,29.821232876712326
2025-12-07,25.931506849315067
2025-12-14,29.821232876712326
2025-12-21,23.338356164383562
2025-12-28,19.4486301369863
