,Business Operations
2019-03-17,82.0
2019-03-24,72.0
2019-03-31,67.0
2019-04-07,62.0
2019-04-14,74.0
2019-04-21,74.0
2019-04-28,63.0
2019-05-05,49.0
2019-05-12,59.0
2019-05-19,58.0
2019-05-26,54.0
2019-06-02,42.0
2019-06-09,72.0
2019-06-16,70.0
2019-06-23,68.0
2019-06-30,66.0
2019-07-07,65.0
2019-07-14,70.0
2019-07-21,82.0
2019-07-28,69.0
2019-08-04,65.0
2019-08-11,43.0
2019-08-18,62.0
2019-08-25,69.0
2019-09-01,56.0
2019-09-08,76.0
2019-09-15,68.0
2019-09-22,75.0
2019-09-29,67.0
2019-10-06,69.0
2019-10-13,83.0
2019-10-20,84.0
2019-10-27,64.0
2019-11-03,72.0
2019-11-10,59.0
2019-11-17,81.0
2019-11-24,67.0
2019-12-01,64.0
2019-12-08,61.0
2019-12-15,53.0
2019-12-22,61.0
2019-12-29,53.0
2020-01-05,58.51646830888459
2020-01-12,64.17935233877665
2020-01-19,88.71851646830889
2020-01-26,79.2803764184888
2020-02-02,77.39274840852478
2020-02-09,76.44893440354276
2020-02-16,81.16800442845282
2020-02-23,80.2241904234708
2020-03-01,71.72986437863273
2020-03-08,66.06698034874067
2020-03-15,63.235538333794636
2020-03-22,50.96595626902852
2020-03-29,50.96595626902852
2020-04-05,50.0221422640465
2020-04-12,39.6401882092444
2020-04-19,25.48297813451426
2020-04-26,26.426792139496268
2020-05-03,35.86493218931636
2020-05-10,35.86493218931636
2020-05-17,36.80874619429837
2020-05-24,39.6401882092444
2020-05-31,51.909770274010526
2020-06-07,51.909770274010526
2020-06-14,50.96595626902852
2020-06-21,56.62884029892057
2020-06-28,56.62884029892057
2020-07-05,55.68502629393856
2020-07-12,68.89842236368669
2020-07-19,71.72986437863273
2020-07-26,47.19070024910047
2020-08-02,78.33656241350678
2020-08-09,69.84223636866871
2020-08-16,58.51646830888459
2020-08-23,48.13451425408248
2020-08-30,46.246886244118464
2020-09-06,53.797398283974545
2020-09-13,52.853584278992535
2020-09-20,53.797398283974545
2020-09-27,53.797398283974545
2020-10-04,66.06698034874067
2020-10-11,59.4602823138666
2020-10-18,51.909770274010526
2020-10-25,67.95460835870469
2020-11-01,68.89842236368669
2020-11-08,67.95460835870469
2020-11-15,61.34791032383062
2020-11-22,60.40409631884861
2020-11-29,50.96595626902852
2020-12-06,61.34791032383062
2020-12-13,63.235538333794636
2020-12-20,50.96595626902852
2020-12-27,60.40409631884861
2021-01-03,58.51646830888459
2021-01-10,60.40409631884861
2021-01-17,79.2803764184888
2021-01-24,74.56130639357875
2021-01-31,75.50512039856076
2021-02-07,65.12316634375865
2021-02-14,71.72986437863273
2021-02-21,79.2803764184888
2021-02-28,87.77470246332689
2021-03-07,75.50512039856076
2021-03-14,85.88707445336287
2021-03-21,71.72986437863273
2021-03-28,83.05563243841684
2021-04-04,73.61749238859674
2021-04-11,55.68502629393856
2021-04-18,70.78605037365071
2021-04-25,59.4602823138666
2021-05-02,59.4602823138666
2021-05-09,50.96595626902852
2021-05-16,69.84223636866871
2021-05-23,63.235538333794636
2021-05-30,62.29172432881263
2021-06-06,74.56130639357875
2021-06-13,67.95460835870469
2021-06-20,57.57265430390258
2021-06-27,61.34791032383062
2021-07-04,55.68502629393856
2021-07-11,67.01079435372267
2021-07-18,42.47163022419043
2021-07-25,50.0221422640465
2021-08-01,64.17935233877665
2021-08-08,72.67367838361473
2021-08-15,73.61749238859674
2021-08-22,72.67367838361473
2021-08-29,75.50512039856076
2021-09-05,70.78605037365071
2021-09-12,65.12316634375865
2021-09-19,69.84223636866871
2021-09-26,73.61749238859674
2021-10-03,71.72986437863273
2021-10-10,76.44893440354276
2021-10-17,67.01079435372267
2021-10-24,83.05563243841684
2021-10-31,84.94326044838085
2021-11-07,69.84223636866871
2021-11-14,90.60614447827291
2021-11-21,94.38140049820095
2021-11-28,76.44893440354276
2021-12-05,83.99944644339885
2021-12-12,77.39274840852478
2021-12-19,77.39274840852478
2021-12-26,63.235538333794636
2022-01-02,68.89842236368669
2022-01-09,75.50512039856076
2022-01-16,67.95460835870469
2022-01-23,75.50512039856076
2022-01-30,77.39274840852478
2022-02-06,78.33656241350678
2022-02-13,89.66233047329091
2022-02-20,90.60614447827291
2022-02-27,83.05563243841684
2022-03-06,78.33656241350678
2022-03-13,81.16800442845282
2022-03-20,90.60614447827291
2022-03-27,83.05563243841684
2022-04-03,72.67367838361473
2022-04-10,84.94326044838085
2022-04-17,88.71851646830889
2022-04-24,83.99944644339885
2022-05-01,64.17935233877665
2022-05-08,92.49377248823693
2022-05-15,82.11181843343483
2022-05-22,88.71851646830889
2022-05-29,76.44893440354276
2022-06-05,82.11181843343483
2022-06-12,85.88707445336287
2022-06-19,80.2241904234708
2022-06-26,78.33656241350678
2022-07-03,59.4602823138666
2022-07-10,56.62884029892057
2022-07-17,67.01079435372267
2022-07-24,59.4602823138666
2022-07-31,79.2803764184888
2022-08-07,75.50512039856076
2022-08-14,79.2803764184888
2022-08-21,81.16800442845282
2022-08-28,80.2241904234708
2022-09-04,77.39274840852478
2022-09-11,86.83088845834487
2022-09-18,85.88707445336287
2022-09-25,78.33656241350678
2022-10-02,74.56130639357875
2022-10-09,77.39274840852478
2022-10-16,83.05563243841684
2022-10-23,90.60614447827291
2022-10-30,70.78605037365071
2022-11-06,79.2803764184888
2022-11-13,76.44893440354276
2022-11-20,75.50512039856076
2022-11-27,73.61749238859674
2022-12-04,74.56130639357875
2022-12-11,69.84223636866871
2022-12-18,77.39274840852478
2022-12-25,67.95460835870469
2023-01-01,59.4602823138666
2023-01-08,67.01079435372267
2023-01-15,70.78605037365071
2023-01-22,75.50512039856076
2023-01-29,77.39274840852478
2023-02-05,69.84223636866871
2023-02-12,81.16800442845282
2023-02-19,82.11181843343483
2023-02-26,79.2803764184888
2023-03-05,73.61749238859674
2023-03-12,79.2803764184888
2023-03-19,65.12316634375865
2023-03-26,60.40409631884861
2023-04-02,61.34791032383062
2023-04-09,68.89842236368669
2023-04-16,54.741212288956554
2023-04-23,64.17935233877665
2023-04-30,71.72986437863273
2023-05-07,67.95460835870469
2023-05-14,84.94326044838085
2023-05-21,77.39274840852478
2023-05-28,66.06698034874067
2023-06-04,74.56130639357875
2023-06-11,70.78605037365071
2023-06-18,73.61749238859674
2023-06-25,36.80874619429837
2023-07-02,51.909770274010526
2023-07-09,62.29172432881263
2023-07-16,67.01079435372267
2023-07-23,59.4602823138666
2023-07-30,67.01079435372267
2023-08-06,81.16800442845282
2023-08-13,74.56130639357875
2023-08-20,81.16800442845282
2023-08-27,86.83088845834487
2023-09-03,76.44893440354276
2023-09-10,69.84223636866871
2023-09-17,77.39274840852478
2023-09-24,66.06698034874067
2023-10-01,66.06698034874067
2023-10-08,71.72986437863273
2023-10-15,69.84223636866871
2023-10-22,74.56130639357875
2023-10-29,77.39274840852478
2023-11-05,76.44893440354276
2023-11-12,79.2803764184888
2023-11-19,89.66233047329091
2023-11-26,90.60614447827291
2023-12-03,81.16800442845282
2023-12-10,83.05563243841684
2023-12-17,87.77470246332689
2023-12-24,78.33656241350678
2023-12-31,55.68502629393856
2024-01-07,74.56230302927565
2024-01-14,75.56990171886046
2024-01-21,82.62309254595411
2024-01-28,81.6154938563693
2024-02-04,95.72187551055659
2024-02-11,92.69907944180217
2024-02-18,73.55470433969084
2024-02-25,82.62309254595411
2024-03-03,77.58509909803007
2024-03-10,62.47111875425798
2024-03-17,69.52430958135163
2024-03-24,89.67628337304775
2024-03-31,68.51671089176682
2024-04-07,47.35713841048589
2024-04-14,81.6154938563693
2024-04-21,85.64588861470853
2024-04-28,68.51671089176682
2024-05-05,82.62309254595411
2024-05-12,79.60029647719969
2024-05-19,82.62309254595411
2024-05-26,87.66108599387813
2024-06-02,80.60789516678449
2024-06-09,63.47871744384279
2024-06-16,46.349539720901085
2024-06-23,81.6154938563693
2024-06-30,88.66868468346294
2024-07-07,87.66108599387813
2024-07-14,89.67628337304775
2024-07-21,83.6306912355389
2024-07-28,84.63828992512371
2024-08-04,87.66108599387813
2024-08-11,84.63828992512371
2024-08-18,91.69148075221736
2024-08-25,83.6306912355389
2024-09-01,69.52430958135163
2024-09-08,81.6154938563693
2024-09-15,79.60029647719969
2024-09-22,84.63828992512371
2024-09-29,85.64588861470853
2024-10-06,89.67628337304775
2024-10-13,89.67628337304775
2024-10-20,91.69148075221736
2024-10-27,88.66868468346294
2024-11-03,67.50911220218201
2024-11-10,77.58509909803007
2024-11-17,89.67628337304775
2024-11-24,90.68388206263255
2024-12-01,75.56990171886046
2024-12-08,80.60789516678449
2024-12-15,77.58509909803007
2024-12-22,83.6306912355389
2024-12-29,64.4863161334276
2025-01-05,77.58509909803007
2025-01-12,81.6154938563693
2025-01-19,79.60029647719969
2025-01-26,84.63828992512371
2025-02-02,82.62309254595411
2025-02-09,75.56990171886046
2025-02-16,73.55470433969084
2025-02-23,70.53190827093643
2025-03-02,64.4863161334276
2025-03-09,76.57750040844526
2025-03-16,62.47111875425798
2025-03-23,55.417927927164335
2025-03-30,57.43312530633395
2025-04-06,79.60029647719969
2025-04-13,93.70667813138697
2025-04-20,85.64588861470853
2025-04-27,74.56230302927565
2025-05-04,87.66108599387813
2025-05-11,75.56990171886046
2025-05-18,86.65348730429332
2025-05-25,84.63828992512371
2025-06-01,67.50911220218201
2025-06-08,76.57750040844526
2025-06-15,73.55470433969084
2025-06-22,74.56230302927565
2025-06-29,73.55470433969084
2025-07-06,83.6306912355389
2025-07-13,86.65348730429332
2025-07-20,67.50911220218201
2025-07-27,65.4939148230124
2025-08-03,64.4863161334276
2025-08-10,78.59269778761488
2025-08-17,83.6306912355389
2025-08-24,76.57750040844526
2025-08-31,73.55470433969084
2025-09-07,76.57750040844526
2025-09-14,77.58509909803007
2025-09-21,76.57750040844526
2025-09-28,83.6306912355389
2025-10-05,67.50911220218201
2025-10-12,100.75986895848061
2025-10-19,87.66108599387813
2025-10-26,70.53190827093643
2025-11-02,74.56230302927565
2025-11-09,75.56990171886046
2025-11-16,74.56230302927565
2025-11-23,77.58509909803007
2025-11-30,82.62309254595411
2025-12-07,81.6154938563693
2025-12-14,75.56990171886046
2025-12-21,77.58509909803007
2025-12-28,57.43312530633395
2026-01-04,74.56230302927565
